id,session,identifier,title,jurisdiction_id,media_type,url,note
1e41f442-d20e-4b58-8dd5-6c4af9716711,30,HB 70,An Act approving and ratifying the sale of royalty oil by the State of Alaska to Petro Star Inc.; and providing for an effective date.,ocd-jurisdiction/country:us/state:ak/government,text/html,https://www.akleg.gov/basis/Bill/Text/30?hsid=HB0070A,HB0070A
fe699542-5ed9-42c1-80ca-b1ead80e9105,30,HB 204,An Act relating to overtaking and passing certain stationary vehicles.,ocd-jurisdiction/country:us/state:ak/government,text/html,https://www.akleg.gov/basis/Bill/Text/30?hsid=HB0204A,HB0204A
0c625056-1d5d-49bf-8cff-326ac387fd07,30,SB 155,"An Act relating to the registration and regulation of real estate appraisal management companies; relating to the establishment of fees by the Department of Commerce, Community, and Economic Development; relating to the Board of Certified Real Estate Appraisers; relating to real estate appraisers; and providing for an effective date.",ocd-jurisdiction/country:us/state:ak/government,text/html,https://www.akleg.gov/basis/Bill/Text/30?hsid=SB0155Z,SB0155Z
1ce4f299-a743-4ce4-a379-68ecfd604a43,30,SB 27,An Act relating to the establishment of the Task Force on Reading Proficiency and Reading Instruction for All Students and on the Effects of Dyslexia on Some Students.,ocd-jurisdiction/country:us/state:ak/government,text/html,https://www.akleg.gov/basis/Bill/Text/30?hsid=SB0027A,SB0027A
7769a679-6e1a-47db-890b-620716b8de24,30,SB 100,An Act relating to municipal liens; relating to service areas in second class boroughs; relating to a municipal tax exemption or deferral for economic development property; relating to a municipal tax exemption for a fire protection system; and providing for an effective date.,ocd-jurisdiction/country:us/state:ak/government,text/html,https://www.akleg.gov/basis/Bill/Text/30?hsid=SB0100B,SB0100B
a7238033-bf17-4635-9aae-a317aceb5e9d,30,HB 267,"An Act requiring the release of certain records relating to big game hunters, guided hunts, and guided sport fishing activities to municipalities for verification of taxes payable; and providing for an effective date.",ocd-jurisdiction/country:us/state:ak/government,text/html,https://www.akleg.gov/basis/Bill/Text/30?hsid=HB0267A,HB0267A
4f4fbd9e-0ca4-4360-a764-200fd3c01f58,30,SB 59,An Act relating to a veteran's designation on an identification card or a driver's license for Hmong veterans and Lao veterans.,ocd-jurisdiction/country:us/state:ak/government,text/html,https://www.akleg.gov/basis/Bill/Text/30?hsid=SB0059A,SB0059A
968ea829-8ffa-441f-a2b8-b4b15b3a3b53,30,SB 92,An Act relating to abandoned and derelict vessels; relating to the registration of vessels; relating to certificates of title for vessels; relating to the duties of the Department of Administration; relating to the duties of the Department of Natural Resources; establishing the derelict vessel prevention program; establishing the derelict vessel prevention program fund; relating to the authority of certain persons to enforce laws relating to derelict vessels; and providing for an effective date.,ocd-jurisdiction/country:us/state:ak/government,text/html,https://www.akleg.gov/basis/Bill/Text/30?hsid=SB0092A,SB0092A
f92fa315-99a1-41e6-81df-a79b7113cd12,30,HB 212,An Act relating to funding for school construction and major maintenance; relating to the regional educational attendance area and small municipal school district fund; and providing for an effective date.,ocd-jurisdiction/country:us/state:ak/government,text/html,https://www.akleg.gov/basis/Bill/Text/30?hsid=HB0212Z,HB0212Z
4cc07345-c797-4088-9ae7-485da9da659f,30,HB 379,An Act relating to claims against protection and indemnity insurance policies of vessel owners.,ocd-jurisdiction/country:us/state:ak/government,text/html,https://www.akleg.gov/basis/Bill/Text/30?hsid=HB0379A,HB0379A
70d1c571-586f-45d7-a64e-0e5e164a6da1,30,HB 196,An Act relating to a tax on certain opioids; relating to the alcohol and other drug abuse treatment and prevention fund; and providing for an effective date.,ocd-jurisdiction/country:us/state:ak/government,text/html,https://www.akleg.gov/basis/Bill/Text/30?hsid=HB0196A,HB0196A
fadc0522-f54c-439e-8bf5-29a8482678f4,30,HB 10,"An Act relating to the duties of the Department of Health and Social Services; relating to child-in-need-of-aid proceedings; relating to child protection; and amending Rules 6(a), 6(b)(2) and (3), 10(c)(2) and (3), 10(e)(2), 10.1, 15(f)(2), 17(c), 17(d)(2), 17.1(b), 17.1(d)(3), 17.2(a), 17.2(e), 17.2(f), 17.3, 18(c), and 19.1(c), Alaska Child in Need of Aid Rules of Procedure, and repealing Rules 17.1(a), 17.1(c), and 17.1(d)(2), Alaska Child in Need of Aid Rules of Procedure.",ocd-jurisdiction/country:us/state:ak/government,text/html,https://www.akleg.gov/basis/Bill/Text/30?hsid=HB0010A,HB0010A
e950f23d-6edf-43b1-aa49-d580d9c441bb,30,HB 59,An Act making appropriations for the operating and capital expenses of the state's integrated comprehensive mental health program; and providing for an effective date.,ocd-jurisdiction/country:us/state:ak/government,text/html,https://www.akleg.gov/basis/Bill/Text/30?hsid=HB0059B,HB0059B
316001b1-6b9f-409d-aaf2-97b6c44d83af,30,HB 3,"An Act relating to the employment rights of employees in the state who are members of the National Guard of another state, territory, or district of the United States.",ocd-jurisdiction/country:us/state:ak/government,text/html,https://www.akleg.gov/basis/Bill/Text/30?hsid=HB0003B,HB0003B
1eb47a61-604f-44f0-a01a-b56fc54ef71b,30,SB 14,An Act relating to transportation network companies and transportation network company drivers; and providing for an effective date.,ocd-jurisdiction/country:us/state:ak/government,text/html,https://www.akleg.gov/basis/Bill/Text/30?hsid=SB0014D,SB0014D
44d37bb3-8281-460f-925d-ea9f4ed28b19,30,HB 101,An Act creating an affirmative defense and an exemption from payment of fines and restitution for a person who reports the person's own first-time unlawful taking of certain big game animals.,ocd-jurisdiction/country:us/state:ak/government,text/html,https://www.akleg.gov/basis/Bill/Text/30?hsid=HB0101A,HB0101A
e16cf137-d981-4e88-a87a-500c3c718d46,30,HB 321,"An Act making supplemental appropriations, capital appropriations, and other appropriations; making appropriations to capitalize funds; amending appropriations; and providing for an effective date.",ocd-jurisdiction/country:us/state:ak/government,text/html,https://www.akleg.gov/basis/Bill/Text/30?hsid=HB0321Z,HB0321Z
b8a44c40-10f4-45f7-96da-8bcd82fc78aa,30,SB 213,An Act relating to insurance; relating to credit for reinsurance; insurance standard valuation; and providing for an effective date.,ocd-jurisdiction/country:us/state:ak/government,text/html,https://www.akleg.gov/basis/Bill/Text/30?hsid=SB0213A,SB0213A
