id,session,identifier,title,jurisdiction_id,media_type,url,note
37a34cdf-265c-4f4c-8c4c-1d487f84c86b,2019,HB 1290,TO AMEND THE PROVISIONS OF THE ARKANSAS CODE CONCERNING THE PRACTICE OF PHARMACY; AND TO AUTHORIZE PHARMACISTS TO PROVIDE ACCESS TO AND ADMINISTRATION OF ORAL CONTRACEPTIVES.,ocd-jurisdiction/country:us/state:ar/government,application/pdf,ftp://www.arkleg.state.ar.us/Bills/2019R/Public/Searchable/HB1290.pdf,HB 1290
6967d3ae-5ed9-41a4-b0c5-2758ccf6a303,2019,HB 1229,TO AMEND THE LAW CONCERNING PROCUREMENT REQUIREMENTS RELATING TO INFORMATION TECHNOLOGY ACCESS FOR THE BLIND.,ocd-jurisdiction/country:us/state:ar/government,application/pdf,ftp://www.arkleg.state.ar.us/Bills/2019R/Public/Searchable/HB1229.pdf,HB 1229
7a86573f-555e-49f3-bf05-94976e29587f,2019,SB 263,TO AMEND THE AMUSEMENT RIDE AND AMUSEMENT ATTRACTION SAFETY INSURANCE ACT; TO AMEND THE FREQUENCY OF INFLATABLE ATTRACTION INSPECTIONS; AND TO REMOVE THE REQUIREMENT FOR AN INSURER TO INSPECT AN INFLATABLE ATTRACTION.,ocd-jurisdiction/country:us/state:ar/government,application/pdf,ftp://www.arkleg.state.ar.us/Bills/2019R/Public/Searchable/SB263.pdf,SB 263
aef7aaa1-6e46-4326-9961-23544d267750,2019,SB 250,TO AMEND THE LAW CONCERNING EDUCATIONAL NEGLECT; AND TO AMEND THE LAW CONCERNING REPORTS OF EDUCATIONAL NEGLECT MADE TO THE CHILD ABUSE HOTLINE.,ocd-jurisdiction/country:us/state:ar/government,application/pdf,ftp://www.arkleg.state.ar.us/Bills/2019R/Public/Searchable/SB250.pdf,SB 250
964e314c-37d2-493b-a5da-af6ac636e997,2019,HB 1086,AN ACT FOR THE ARKANSAS VETERANS' CHILD WELFARE SERVICE OFFICE APPROPRIATION FOR THE 2019-2020 FISCAL YEAR.,ocd-jurisdiction/country:us/state:ar/government,application/pdf,ftp://www.arkleg.state.ar.us/Bills/2019R/Public/Searchable/HB1086.pdf,HB 1086
7bb401d6-6a3d-43a5-aa7b-7eebf7807f67,2019,SB 653,TO CREATE THE STRONG FAMILIES ACT; AND TO CREATE AN INCOME TAX CREDIT FOR EMPLOYERS THAT PROVIDE PAID FAMILY AND MEDICAL LEAVE FOR CERTAIN EMPLOYEES.,ocd-jurisdiction/country:us/state:ar/government,application/pdf,ftp://www.arkleg.state.ar.us/Bills/2019R/Public/Searchable/SB653.pdf,SB 653
c914ede3-fa40-4621-a370-5250f16dc3c4,2018F,HB 1010,AN ACT FOR THE VETERINARY MEDICAL EXAMINING BOARD APPROPRIATION FOR THE 2018-2019 FISCAL YEAR.,ocd-jurisdiction/country:us/state:ar/government,application/pdf,ftp://www.arkleg.state.ar.us/Bills/2018F/Public/Searchable/HB1010.pdf,HB 1010
399f0146-7a71-4b48-a55a-f2c5a9748013,2018F,HR 1010,TO AUTHORIZE THE INTRODUCTION OF A NONAPPROPRIATION BILL CONCERNING THE ASSESSMENT FEE ON HOSPITALS.,ocd-jurisdiction/country:us/state:ar/government,application/pdf,ftp://www.arkleg.state.ar.us/Bills/2018F/Public/Searchable/HR1010.pdf,HR 1010
b48657ef-7154-48ef-9ad1-2d3a4e3ef85e,2019,HB 1022,CONCERNING THE CIVIL AND CRIMINAL LIABILITY OF MANDATED REPORTERS WHO ACT IN GOOD FAITH.,ocd-jurisdiction/country:us/state:ar/government,application/pdf,ftp://www.arkleg.state.ar.us/Bills/2019R/Public/Searchable/HB1022.pdf,HB 1022
8d2666ff-3cef-4fbc-a2a6-6e99cb5704f3,2019,HB 1739,TO AMEND THE LAW CONCERNING THE PROCESS OF PROVIDING REDEMPTION DEEDS BY THE COMMISSIONER OF STATE LANDS; AND TO EXPAND THE FORMS OF ACCEPTABLE PAYMENT.,ocd-jurisdiction/country:us/state:ar/government,application/pdf,ftp://www.arkleg.state.ar.us/Bills/2019R/Public/Searchable/HB1739.pdf,HB 1739
9fb6f528-4e14-48f8-9e73-28df9c41c73d,2019,HB 1108,TO CREATE AN EXEMPTION FROM THE INCOME TAX FOR SERVICE PAY AND ALLOWANCES OF FOREIGN SERVICE PERSONNEL; AND TO REPEAL OBSOLETE PROVISIONS OF THE INCOME TAX LAWS.,ocd-jurisdiction/country:us/state:ar/government,application/pdf,ftp://www.arkleg.state.ar.us/Bills/2019R/Public/Searchable/HB1108.pdf,HB 1108
ab29c81f-e8d6-4b48-9218-ea28b8cc4dca,2018F,SB 11,AN ACT FOR THE ARKANSAS FIRE PROTECTION LICENSING BOARD APPROPRIATION FOR THE 2018-2019 FISCAL YEAR.,ocd-jurisdiction/country:us/state:ar/government,application/pdf,ftp://www.arkleg.state.ar.us/Bills/2018F/Public/Searchable/SB11.pdf,SB 11
1d9a967d-1197-43aa-84aa-c88cc6f878c8,2019,SB 645,CONCERNING SUBURBAN IMPROVEMENT DISTRICTS AND REAL PROPERTY.,ocd-jurisdiction/country:us/state:ar/government,application/pdf,ftp://www.arkleg.state.ar.us/Bills/2019R/Public/Searchable/SB645.pdf,SB 645
5f1c59e4-d318-49b9-be9e-7b862e192d48,2019,SB 349,TO REQUIRE THE DEPARTMENT OF EDUCATION TO PROVIDE CERTAIN LEVELS OF SUPPORT TO CERTAIN PUBLIC SCHOOL DISTRICTS BASED ON READING SCORES; AND TO AMEND THE PURPOSES ON WHICH NATIONAL SCHOOL LUNCH STATE CATEGORICAL FUNDS MAY BE SPENT.,ocd-jurisdiction/country:us/state:ar/government,application/pdf,ftp://www.arkleg.state.ar.us/Bills/2019R/Public/Searchable/SB349.pdf,SB 349
117f3c2f-1292-45a0-bec3-072aec742f24,2019,HB 1376,TO AMEND THE LAW CONCERNING THE SALE OF COUNTY PROPERTY.,ocd-jurisdiction/country:us/state:ar/government,application/pdf,ftp://www.arkleg.state.ar.us/Bills/2019R/Public/Searchable/HB1376.pdf,HB 1376
79e484fa-b38d-49ad-ac8e-13fb318fadc0,2018F,HR 1004,"TO AUTHORIZE THE INTRODUCTION OF A NONAPPROPRIATION BILL TO AMEND THE REVENUE STABILIZATION LAW AND TO CREATE FUNDS, TO REPEAL FUNDS, AND TO MAKE TRANSFERS TO AND FROM FUNDS AND FUND ACCOUNTS.",ocd-jurisdiction/country:us/state:ar/government,application/pdf,ftp://www.arkleg.state.ar.us/Bills/2018F/Public/Searchable/HR1004.pdf,HR 1004
84fee4e1-5d23-4157-87ec-7784dd517a03,2019,SB 214,TO AMEND THE LAW REGARDING THE ARKANSAS TEACHER RETIREMENT SYSTEM.,ocd-jurisdiction/country:us/state:ar/government,application/pdf,ftp://www.arkleg.state.ar.us/Bills/2019R/Public/Searchable/SB214.pdf,SB 214
b5941c1e-fb3e-40d3-8f5c-9d64683ec94b,2019,HB 1106,AN ACT FOR THE DEPARTMENT OF FINANCE AND ADMINISTRATION - REVENUE SERVICES DIVISION APPROPRIATION FOR THE 2019-2020 FISCAL YEAR.,ocd-jurisdiction/country:us/state:ar/government,application/pdf,http://www.arkleg.state.ar.us/assembly/2019/2019R/Amendments/HB1106-H1.pdf,Amendment H1
38bcd78a-28f0-4ce5-892e-a2ca7511d8db,2018F,SB 27,AN ACT FOR THE ARKANSAS FAIR HOUSING COMMISSION APPROPRIATION FOR THE 2018-2019 FISCAL YEAR.,ocd-jurisdiction/country:us/state:ar/government,application/pdf,ftp://www.arkleg.state.ar.us/Bills/2018F/Public/Searchable/SB27.pdf,SB 27
