id,session,identifier,title,jurisdiction_id,media_type,url,note
f27781a3-9d86-4800-9b7a-5278da423a4d,54th-1st-regular,SB 1336,housing fund; seriously mentally ill,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/54leg/1R/bills/SB1336S.htm,Senate Engrossed Version
7bdde025-ebf5-4c4d-974b-36dddb9269d3,53rd-2nd-regular,SB 1088,children; veterans; disabilities; tuition waivers,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/53leg/2R/bills/SB1088P.htm,Introduced Version
3410f910-830f-409f-8f61-5d62b39647a4,53rd-1st-regular,HB 2154,supervised prisoners; violations; graduated sanctions..,ocd-jurisdiction/country:us/state:az/government,text/html,http://www.azleg.gov/legtext/53leg/1R/bills/HB2154P.htm,Introduced Version
cb6511a2-40e4-4724-bb32-6c109afcd1f8,53rd-1st-regular,SB 1254,schools; admissions; desegregation,ocd-jurisdiction/country:us/state:az/government,text/html,http://www.azleg.gov/legtext/53leg/1R/laws/0146.htm,Chaptered Version
44d7387d-17c3-4acc-b9fa-0c9ad8596248,53rd-1st-regular,HB 2290,provisional licenses; criminal convictions.,ocd-jurisdiction/country:us/state:az/government,text/html,http://www.azleg.gov/legtext/53leg/1R/bills/HB2290S.htm,Senate Engrossed Version
b94ccb5a-e11b-46f5-a1d0-ab895ccc2b61,53rd-2nd-regular,SB 1367,voting; ranking; ballot format,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/53leg/2R/bills/SB1367P.htm,Introduced Version
ba372c0e-7e39-486c-b92f-4c28ebb7f630,53rd-2nd-regular,HB 2306,towing companies; insurance companies; owners,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/53leg/2R/laws/0236.htm,Chaptered Version
c1595c18-1c77-43ec-a1cf-d544df58734c,54th-1st-regular,HCR 2016,marriage requirement; repeal,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/54leg/1R/bills/HCR2016P.htm,Introduced Version
c054fb1e-04f4-4d61-a9ad-6d18b337849f,54th-1st-regular,SB 1494,marijuana; testing; advisory council; library,ocd-jurisdiction/country:us/state:az/government,application/pdf,https://apps.azleg.gov/BillStatus/GetDocumentPdf/471779,HOUSE - Floor Amend to Bill - Friese - passed
7a1af9c4-8edb-4b99-acb9-74971d99e4dd,54th-1st-regular,HB 2504,highway safety fee; vehicle valuation,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/54leg/1R/bills/HB2504P.htm,Introduced Version
897032e7-dadc-4016-bca7-d8682b55850e,54th-1st-regular,HB 2382,driving on suspended license; towing,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/54leg/1R/adopted/H.2382TRANSPORTATION.DOCX.htm,HOUSE - Transportation - Strike Everything
897032e7-dadc-4016-bca7-d8682b55850e,54th-1st-regular,HB 2382,driving on suspended license; towing,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/54leg/1R/proposed/H.2382CAMPBELL SE2.DOCX.htm,HOUSE - Transportation - Strike Everything
f929d052-7116-47b3-98f0-c5afde3dbeef,53rd-2nd-regular,HR 2003,Don Shooter; expulsion,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/53leg/2R/bills/HR2003P.htm,Introduced Version
cddfb981-c364-4943-8215-9e3c3b6b2b72,53rd-2nd-regular,SB 1271,construction contracts; indemnification; liability provisions,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/53leg/2R/bills/SB1271P.htm,Introduced Version
f5b71bdb-1c5b-4397-b1da-314f7f9a552c,53rd-1st-regular,HB 2156,county transportation excise tax; rates,ocd-jurisdiction/country:us/state:az/government,text/html,http://www.azleg.gov/legtext/53leg/1R/bills/HB2156P.htm,Introduced Version
8dfe243d-6139-41db-b1a2-26adf7ae2584,53rd-2nd-regular,HB 2193,juveniles; maximum sentence; commutation,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/53leg/2R/bills/HB2193P.htm,Introduced Version
a36ad185-a565-4bdd-9945-f0982be2e8a7,53rd-2nd-regular,SCM 1016,NAFTA; urging renegotiation; ratification,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/53leg/2R/bills/SCM1016P.htm,Introduced Version
868ec4b3-72d5-4730-827b-18577a3d6c58,54th-1st-regular,SB 1241,state parks board; heritage fund,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/54leg/1R/bills/SB1241P.htm,Introduced Version
4aa803eb-aee6-4703-99d4-b03ef226fe58,53rd-2nd-regular,HB 2663,K-12 education; budget reconciliation; 2018-2019.,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/53leg/2R/laws/0285.htm,Chaptered Version
3a387cb4-fcb9-4840-a7a1-421a13ddf401,53rd-2nd-regular,SB 1035,municipal courts; maximum revenue; transfer,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/53leg/2R/bills/SB1035P.htm,Introduced Version
1149d982-4158-47cb-875e-6aac68ad7e40,54th-1st-regular,HB 2151,satisfaction of judgment; justice courts,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/54leg/1R/laws/0202.htm,Chaptered Version
0ca348fc-25a1-4f67-8eff-7023b5d07170,53rd-2nd-regular,HR 2003,Don Shooter; expulsion,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/53leg/2R/bills/HR2003H.htm,House Engrossed Version
95830b87-628d-4fd5-ba90-b0987d2184a0,53rd-2nd-regular,HB 2517,misclassification; tax fraud; task force,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/53leg/2R/bills/HB2517P.htm,Introduced Version
9f5de0ee-1170-4ef0-a157-6511f03c73eb,53rd-2nd-regular,SB 1517,state dinosaur; Sonorasaurus,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/53leg/2R/bills/SB1517P.htm,Introduced Version
db8f5a70-6e33-4755-8a96-49c6649cbdc6,53rd-2nd-regular,HB 2529,sober living homes; certification.,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/53leg/2R/bills/HB2529C.htm,Conference Engrossed Version
b53c2025-0ac9-44ab-8df7-dcf2fcf11f59,53rd-2nd-regular,SB 1374,state law; local government violations,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/53leg/2R/bills/SB1374P.htm,Introduced Version
00c85399-6ff8-4509-a463-9f8b5fea8c8e,54th-1st-regular,HB 2002,educators; ethics; professional responsibility,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/54leg/1R/bills/HB2002P.htm,Introduced Version
cb081f35-4774-4f7a-9445-5eeb7510b399,53rd-1st-regular,HB 2256,technical correction; state museum,ocd-jurisdiction/country:us/state:az/government,text/html,http://www.azleg.gov/legtext/53leg/1R/bills/HB2256P.htm,Introduced Version
2b3d0b64-4232-4bd2-8dc2-7f740798194c,54th-1st-regular,HB 2250,STO scholarship; means testing,ocd-jurisdiction/country:us/state:az/government,text/html,https://www.azleg.gov/legtext/54leg/1R/bills/HB2250P.htm,Introduced Version
