id,session,identifier,title,jurisdiction_id,media_type,url,note
12d72942-f99a-4bb4-b68f-2d3fbb1dc3f8,20172018,SB 1287,Medi-Cal: medically necessary services.,ocd-jurisdiction/country:us/state:ca/government,application/pdf,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=201720180SB1287&version=20170SB128793ENR,08/31/18 - Enrolled
30187685-7d94-4f48-a4d2-f4442748f4aa,20172018,AB 297,Alcoholic beverages: licenses: wine and food cultural museum and educational center.,ocd-jurisdiction/country:us/state:ca/government,text/html,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB297,AB297
9643ff96-9563-410a-8096-90d5e598d44b,20192020,AB 283,CalWORKs: school attendance: immunizations.,ocd-jurisdiction/country:us/state:ca/government,application/pdf,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=201920200AB283&version=20190AB28397AMD,06/20/19 - Amended Senate
2187119e-8f34-4b75-be21-ab41885cf027,20172018,SB 1410,Public utilities: inspection and audit of books and records.,ocd-jurisdiction/country:us/state:ca/government,application/pdf,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=201720180SB1410&version=20170SB141098AMD,08/09/18 - Amended Assembly
6c5c0285-c7c5-44b7-9509-2e2922aac08c,20192020,SB 426,"California State University, Dominguez Hills: Dymally Fellows Project.",ocd-jurisdiction/country:us/state:ca/government,text/html,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200SB426,SB426
56b190bf-75c1-4776-9392-e05c0bc22a44,20172018,AB 811,Juveniles: rights: computing technology.,ocd-jurisdiction/country:us/state:ca/government,application/pdf,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=201720180AB811&version=20170AB81192ENR,09/15/17 - Enrolled
1cc3d5fb-d95a-4006-bf40-f7c77b5a5434,20192020,SCR 63,Relative to Ovarian Cancer Awareness Month of 2019.,ocd-jurisdiction/country:us/state:ca/government,text/html,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200SCR63,SCR63
0a27fd44-8c69-43e5-ab09-dc3bfbcc970d,20192020,SB 438,Emergency medical services: dispatch.,ocd-jurisdiction/country:us/state:ca/government,application/pdf,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=201920200SB438&version=20190SB43896AMD,06/18/19 - Amended Assembly
f5cdd6a6-7e0c-44ae-952c-db05988cb099,20172018,AB 2864,Coastal resources: oil spills.,ocd-jurisdiction/country:us/state:ca/government,text/html,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180AB2864,AB2864
f7f21a88-6543-4cc5-8fc5-29bb46d3cd61,20192020,AB 1696,The California International Trade and Investment Office Act of 2019.,ocd-jurisdiction/country:us/state:ca/government,text/html,http://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201920200AB1696,AB1696
