id,session,identifier,title,jurisdiction_id,media_type,url,note
42745eb2-02a9-454a-a84a-53a746bd53f2,2017A,HB 17-1228,Pet Animal Care Technology Platform Regulation,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2017A/bills/2017a_1228sblt_01.pdf,PA3 (04/24/2017)
bd3e5a3a-e182-45ce-9023-39c2bf869982,2018A,SB 18-276,Increase General Fund Reserve,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2018A/bills/2018a_276_rer.pdf,Rerevised (05/09/2018)
79484dbd-9413-4fdd-86aa-cda245c81645,2017A,HB 17-1356,Treat Economic Development Income Tax Credits Differently,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2017A/bills/2017a_1356_enr.pdf,Final Act (05/23/2017)
9e511e9e-95a6-4e35-93dc-a4ed9ce12ac4,2019A,HB 19-1238,Clarification Of Manufactured Housing Standards,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2019A/bills/2019a_1238_ren.pdf,Reengrossed (03/25/2019)
f0d37780-0101-427c-9e07-2ea72d10b10b,2017A,SB 17-294,Revisor's Bill,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://coga.prod.acquia-sites.com/sites/default/files/html-attachments/h_jud_2017a_20170504t133152z0__hearing_summary/17HouseJud0504AttachA.pdf,Amendment L.004
7cae51e4-db27-4379-8517-1fb8b3eaae72,2018A,HB 18-1254,Public Trustee Deed Of Trust Foreclosure Sales,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2018A/bills/2018a_1254_eng.pdf,Engrossed (03/15/2018)
0dfc13b0-0e37-4d47-8618-75c6a59f7e6f,2019A,HB 19-1299,Local Government Retirement Plan Contribution Rates,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2019A/bills/2019a_1299_enr.pdf,Final Act (05/13/2019)
659e01b7-7c2f-4508-8e9f-1a7bd6abf413,2017A,HB 17-1242,New Transportation Infrastructure Funding Revenue,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://coga.prod.acquia-sites.com/sites/default/files/html-attachments/h_tra_2017a_20170322t141713z0__hearing_summary/170322%20AttachBB.pdf,Amendment L.043
471940b1-3115-42c6-97aa-d582e9520793,2019A,SB 19-249,License Business Selling Its Used Motor Vehicles,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2019A/bills/2019a_249sbltapp.pdf,PA2 (04/26/2019)
70b588db-c0e3-400a-9767-34a464f31c12,2019A,SB 19-058,Enactment of CRS 2018,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2019A/bills/2019a_058_rn2.pdf,Reengrossed (01/23/2019)
011bbd9b-d43d-41e5-b97a-988e1e758edd,2017A,HB 17-1087,Office Of Public Guardianship Pilot Program,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://coga.prod.acquia-sites.com/sites/default/files/html-attachments/h_jud_2017a_20170223t133534z0__hearing_summary/17HouseJud0223AttachC.pdf,Amendment L.003
637258e7-ea9e-46dc-a3f0-fadc6615ba17,2019A,HB 19-1119,Peace Officer Internal Investigation Open Records,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2019A/bills/2019a_1119_ren.pdf,Reengrossed (02/26/2019)
f5b8f6f7-f55e-45a4-8fea-0252a5f3bd8e,2019A,SB 19-148,Sunset Process Seed Potato Advisory Committee,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2019A/bills/2019a_148_eng.pdf,Engrossed (03/11/2019)
df12b6cb-8ebb-4514-a5ca-d498754d517d,2019A,SB 19-192,Front Range Waste Diversion Enterprise Grant Program,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2019A/bills/2019a_192_enr.pdf,Final Act (05/13/2019)
24c65dcf-12d7-4992-922d-f40b30e6a3c4,2017A,HB 17-1321,Parks And Wildlife Financial Sustainability,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2017a/bills/cr/2017A_HB1321_S_FIN_001.pdf,Committee Amendment
40a411ce-d840-4660-8b14-14c23e219b49,2017A,HB 17-1231,Market Conduct Examinations Insurance Companies,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2017A/bills/2017a_1231_rev.pdf,Revised (05/09/2017)
b0132ef4-39a1-433d-bc54-99acf75e73a2,2018A,HJR 18-1014,Holocaust Awareness Week,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2018A/bills/2018a_hjr1014_01.pdf,Introduced (04/09/2018)
cd36d539-c84f-4dc3-83b2-f98c57d7ca9b,2017A,SB 17-113,Cap Employer Contribution Rates For PERA Public Employees' Retirement Association Employers,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2017A/bills/2017a_113_01.pdf,Introduced (01/27/2017)
36bfb9d6-2489-4d96-afda-3861f499688a,2018A,HB 18-1350,Machine Tool Sales Tax Exemption For Scrap Metal,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2018A/bills/2018a_1350_ren.pdf,Reengrossed (04/30/2018)
5c2e71d0-9403-405c-aa0c-f161c94ed6be,2017A,SB 17-226,Relocate Title 12 Regulation Of Financial Institutions,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2017a/bills/cr/2017a_sb226_s_jud_001.pdf,Committee Amendment
48b97f14-eca7-4aed-ae4e-dff2280eaf9f,2017A,SB 17-264,Funding For Behavioral Mental Health Disorder Services,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2017A/bills/2017a_264_enr.pdf,Final Act (05/01/2017)
089dde95-05f0-40d2-9029-20bba4e6aeed,2017A,SB 17-203,Prohibit Carrier From Requiring Alternative Drug,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2017A/bills/2017a_203hie_01.pdf,PA2 (04/12/2017)
4ce9f2f0-1d42-4c4b-85a7-51c1a0849f68,2017A,HB 17-1103,Sales And Use Tax Exemption For Historic Aircraft,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2017a/bills/cr/2017a_hb1103_s_fin_001.pdf,Committee Amendment
2de6d6fb-f43a-4340-9e00-d5f243ad5a17,2019A,HB 19-1060,Repeal Colorado Department Of Public Health And Environment Facility Life Safety Statutes,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2019A/bills/2019a_1060_rer.pdf,Rerevised (02/15/2019)
e3d47e68-63ef-4334-b880-6a1039b1b90a,2017A,SB 17-258,Using Open Educational Resources In Higher Education,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2017A/bills/2017a_258_rer.pdf,Rerevised (04/10/2017)
52dd6508-516b-4ed0-8f7a-622111127c73,2017A,HB 17-1370,Retail Sales Of Alcohol Beverages,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://coga.prod.acquia-sites.com/sites/default/files/html-attachments/h_fin_2017a_20170503t104332z0__hearing_summary/17HouseFin0503AttachA.pdf,Amendment L.001
7856fe22-77ac-4076-99ab-8448db64e963,2017A,SB 17-297,Revising Higher Education Performance Requirements,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2017A/bills/2017a_297sapp_01.pdf,PA1 (04/27/2017)
2ce1701f-625a-43fb-9475-66b526702bba,2017A,SB 17-196,DOL Department of Law Information Technology Security,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2017A/bills/2017a_196_eng.pdf,Engrossed (02/22/2017)
38f29555-6b67-499c-a72e-02f2f840b4e2,2019A,HJR 19-1006,Commemorate Doctor Martin Luther King Junior,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2019A/bills/2019a_hjr1006_eng.pdf,Engrossed (01/18/2019)
27f9d311-57e0-4600-9c84-d293b9d1c983,2017A,HB 17-1349,Assessment Ratio For Residential Real Property,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2017A/bills/2017a_1349_eng.pdf,Engrossed (04/27/2017)
34b9813b-1969-49ff-885c-84adfe7310ff,2018A,HB 18-1094,Children And Youth Mental Health Treatment Act,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2018A/bills/2018a_1094pubhe_01.pdf,PA1 (02/14/2018)
ceb6ee09-2205-4fa7-a196-1bc9c5f3cf59,2018A,HB 18-1111,Modifications To PERA Public Employees' Retirement Association Board Of Trustees,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2018a/bills/cr/2018a_hb1111_h_sa_001.pdf,Committee Amendment
917d6e26-6d48-4dc6-9e17-c541cb3697f1,2017A,SB 17-108,Sunset Speech-language Pathology Practice Act,ocd-jurisdiction/country:us/state:co/government,application/pdf,http://leg.colorado.gov/sites/default/files/documents/2017a/bills/cr/2017A_SB108_H_APP_001.pdf,Committee Amendment
