id,session,identifier,title,jurisdiction_id,media_type,url,note
3b8518b7-5216-4b94-ad10-48c2cf0c113a,22,CA 22-0013,"Proposed contract with Capitol Paving of D.C., Inc.",ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/37293/CA22-0013-Introduction.pdf,Introduction
6f334f08-079b-45f6-9196-37961d1bd6d1,22,B 22-0636,Master Development Plan Recognition Emergency Act of 2017,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/39463/B22-0636-Enrollment.pdf,Enrollment
875b08ca-e01e-43e5-8df4-cc5263eea2d4,22,RC 22-0061,Correspondence from the Mayor - Private Security Camera Incentive Program Report,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/38397/RC22-0061-Introduction.pdf,Introduction
99c4be52-3d17-4b30-b9dc-d8716cb2e6f1,23,B 23-0021,Randall School Museum and Housing Development Real Property Tax Abatement Act of 2019,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/41610/B23-0021-Enrollment.pdf,Enrollment
a2da3b6c-ddbb-426f-8f61-faf4854041c7,23,CA 23-0177,Proposed contract with Seagrave Fire Apparatus LLC ,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/42770/CA23-0177-Introduction.pdf,Introduction
bc1b1773-48e0-4acc-a79b-e23c13fe649c,22,B 22-0369,McGill Alley Designation Emergency Act of 2017,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/38510/B22-0369-SignedAct.pdf,SignedAct
a8f4c4ee-b696-4c19-be85-809aa41df2e0,22,PR 22-0125,Interagency Council on Homelessness Sue Ann Marshall Confirmation Resolution of 2017,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/37450/PR22-0125-Introduction.pdf,Introduction
6baba833-3343-4f5b-9475-e2ebee003967,22,CA 22-0688,"Proposed contract to exercise Option Year One (1) with NCS Pearson, Inc. ",ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/41313/CA22-0688-Introduction.pdf,Introduction
6ef0755c-eefb-4910-b7bc-4d2cec6e8498,22,B 22-0740,Electronic Proof of Automobile Insurance Amendment Act of 2018,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/39837/B22-0740-Engrossment.pdf,Engrossment
caa27401-ea35-4f50-90f3-83f83273846d,22,B 22-0713,"Modification to Contract No. RM-15-RFP-SRR-104-LSI-BY4-SC with Life Stride, Inc. Approval and Payment Authorization Emergency Act of 2018",ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/39790/B22-0713-SignedAct.pdf,SignedAct
8aebb73b-b5f2-4b18-a9a8-582b4a8211f8,23,B 23-0016,Second Chance Amendment Act of 2019,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/41599/B23-0016-Introduction.pdf,Introduction
55cc8b41-f2e8-468d-9395-6a470e9edbbe,22,B 22-0349,Small Business Rental Assistance Program Establishment Act of 2017,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/38429/B22-0349-Introduction.pdf,Introduction
5b2f153c-5f06-4483-b914-87e8fbc0b72d,22,CA 22-0332,"Proposed contract with Community Bridge, Inc. ",ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/39316/CA22-0332-Introduction.pdf,Introduction
a73dacfc-33b9-491c-9748-af225b159211,22,B 22-0127,City Innovation Fund Re-Establishment Amendment Act of 2017,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/37469/B22-0127-Enrollment.pdf,Enrollment
4d699cde-5c54-4b0c-85c6-abc776766753,22,B 22-0690,Study of Long-Term Care Services and Supports Act of 2018,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/39684/B22-0690-Introduction.pdf,Introduction
fb5ba458-2534-4679-9512-3cb6c1814df3,23,PR 23-0261,"Multiyear Contract No. DCAM-18-NC-0093D with Jerome L. Taylor Trucking, Inc. Emergency Approval Resolution of 201",ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/42451/PR23-0261-Introduction.pdf,Introduction
ee5b40af-f9ca-4c40-b708-6dfd11e055e3,23,PR 23-0371,Real Property Tax Commission Trent T. Williams Confirmation Resolution of 2019,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/42805/PR23-0371-Introduction.pdf,Introduction
d74584ae-cea3-4b16-ad4d-5e972dae0432,22,CER 22-0151,Breast Cancer Awareness Month Recognition Resolution of 2017,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/38610/CER22-0151-Introduction.pdf,Introduction
3b27452e-286b-430b-9b68-9a31cc257bb6,22,PR 22-0628,Waterfront Station II Surplus Declaration and Approval Resolution of 2017,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/39265/PR22-0628-Introduction.pdf,Introduction
ed659ba6-de0e-490b-98bc-74501131bcac,22,B 22-0869,Southwest Waterfront Park Bus Prohibition Temporary Act of 2018,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/40516/B22-0869-SignedAct.pdf,SignedAct
8df24b01-fec0-49f1-b1ff-1730323e4915,22,B 22-0894,Office of Public-Private Partnerships Delegation of Authority Temporary Amendment Act of 2018,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/40651/B22-0894-Engrossment.pdf,Engrossment
4cf37ec3-42a6-4e3b-90c9-e5bb0b15b527,23,RC 23-0078,Correspondence from the Mayor - Florida Avenue Multimodal Project Completion Act Transmittal Letter,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/42832/RC23-0078-Introduction.pdf,Introduction
88e08ce1-3049-470a-9b9a-5044fbd8ca69,22,PR 22-0400,Modifications to Contract No. GAGA-2016-C-0036A-2 with DC Central Kitchen Approval and Payment Authorization Emergency Declaration Resolution of 2017,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/38518/PR22-0400-Introduction.pdf,Introduction
5fb1dd2e-15b8-4366-8f07-503b8f4355d8,22,RC 22-0023,Correspondence from the Mayor - OVSJG Private Security Camera Incentive Program,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/37555/RC22-0023-Introduction.pdf,Introduction
b7f044f2-3664-403e-b4ff-0eb2212d505a,22,PR 22-0825,Watkins Alley Designation Emergency Declaration Resolution of 2018,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/40009/PR22-0825-Enrollment.pdf,Enrollment
9209e851-c350-4d98-9b29-78373352ead2,22,CER 22-0124,Arrington L. Dixon Recognition Resolution of 2017,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/38308/CER22-0124-Enrollment.pdf,Enrollment
5cf17023-cb29-43ae-8bdc-142eac41297a,23,PR 23-0075,Interagency Council on Homelessness Sue Ann Marshall Confirmation Resolution of 2019,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/41682/PR23-0075-Introduction.pdf,Introduction
78f6be13-9cd3-4bc6-a9fc-213df6494689,22,CER 22-0082,Frank W. Ballou Senior High School Class of 2017 College Application Recognition Resolution of 2017,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/37887/CER22-0082-Introduction.pdf,Introduction
f56f45d2-3a7f-4d87-92b2-18ef0554593b,22,REPROG 22-0062,"Reprogramming Request for $1,905,212 of Capital Funds Budget Authority and Allotment within the District Department of Transportation ",ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/38421/REPROG22-0062-Introduction.pdf,Introduction
c1d8caff-f7c1-437f-a24f-660451de5e1f,23,GBM 23-0017,"FY 2019 Grant Budget Modifications of February 14, 2019",ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/42151/GBM23-0017-Introduction.pdf,Introduction
39845dfa-7840-43dc-b125-0c6ac8a30179,23,B 23-0242,Bicycle Advisory Council Expansion Amendment Act of 2019,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/42222/B23-0242-Introduction.pdf,Introduction
7ca60b2d-4be6-4273-b30e-c68c85094b8b,22,CER 22-0122,Marshall Brown Recognition Resolution of 2017,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/38306/CER22-0122-Enrollment.pdf,Enrollment
e93fc109-8a83-413e-ae36-365cd532546b,22,RC 22-0198,Correspondence from the Mayor - DCPS FY2019-FY2024 School Facility CIP,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/40701/RC22-0198-Introduction.pdf,Introduction
1121d608-c719-47fd-abc8-d3a0305fed88,23,PR 23-0200,"Edmund Burke School, Inc., Revenue Refunding Bonds Project Approval Resolution of 2019",ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/42131/PR23-0200-Enrollment.pdf,Enrollment
f9c72a5b-07c0-4101-9845-3463ad4194d0,22,RC 22-0024,"Correspondence from the Mayor - WIC Policy No. 2013.009, Change 2 Eligible Training Providers",ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/37556/RC22-0024-Introduction.pdf,Introduction
d760f61f-828d-4f07-9e1c-7adc222963cc,22,B 22-0824,Change Order Nos. 1 through 4 to Contract No. DCAM-17-CS-0020 Approval and Payment Emergency Act of 2018,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/40318/B22-0824-Enrollment.pdf,Enrollment
b311458f-97ce-4ea3-be52-43f87a87d532,22,CER 22-0355,"Clarence ""Buddy"" Moore Recognition Resolution of 2018",ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/40404/CER22-0355-Introduction.pdf,Introduction
fc23412f-d96c-4293-91a7-e2be3d8fe560,22,B 22-0271,Electric Company Infrastructure Improvement Financing Emergency Amendment Act of 2017,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/38017/B22-0271-SignedAct.pdf,SignedAct
666007fb-f6b7-4e38-813c-c4a1a46ea009,23,PR 23-0208,Real Estate Commission Edward K. Downs Confirmation Resolution of 2019,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/42145/PR23-0208-Introduction.pdf,Introduction
b8baaede-1e6b-4e08-a4aa-13cc3801db7b,23,CER 23-0073,15th Anniversary of the Language Access Act of 2004 Ceremonial Recognition Resolution of 2019,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/42568/CER23-0073-Introduction.pdf,Introduction
1539c161-089b-46f4-82a5-8a7069a922c5,22,PR 22-1027,At-Risk Tenant Protection Clarifying Congressional Review Emergency Declaration Resolution of 2018,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/41022/PR22-1027-Introduction.pdf,Introduction
f1aa33cc-88a8-497b-87f2-9bc618de8cfa,23,B 23-0238,Constituent Service Fund Reform Amendment Act of 2019,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/42218/B23-0238-Introduction.pdf,Introduction
c3be485f-ff5c-4e6f-8ab3-5605ebcf1bd8,22,PR 22-0692,Contract No. NFPHC-121-Modification 2 with Progressive Radiology Approval  and Payment Authorization Emergency Declaration Resolution of 2017,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/39477/PR22-0692-Introduction.pdf,Introduction
1f939e60-2e89-4254-a88f-5b58d93d8ee8,22,PR 22-0451,Board of Marriage and Family Therapy Sylvia Rosario Confirmation Resolution of 2017,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/38789/PR22-0451-Introduction.pdf,Introduction
21f1f4dd-c5c1-41ee-a76d-66d680464659,22,B 22-0816,Change Order Nos. 2 through 5 to Contract No. DCAM-16-CS-0124 Approval and Payment Authorization Emergency of 2018,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/40305/B22-0816-Enrollment.pdf,Enrollment
916d7bf4-9507-494c-8d44-ff33761746e8,22,B 22-0052,Temporary Assistance for Needy Families Assistance Level Increase Amendment Act of 2017,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/37211/B22-0052-Introduction.pdf,Introduction
fc5fd0c0-a592-4c9f-8e61-730ce423e3e3,22,AU 22-0037,"Activity Report, Third Quarter Fiscal Year 2018",ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/40699/AU22-0037-Introduction.pdf,Introduction
c338a98a-1357-4c10-861d-5d6501f320f0,22,CER 22-0275,"Royal R. Robinson, Jr. Recognition Resolution of 2018",ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/39861/CER22-0275-Introduction.pdf,Introduction
963327d5-21be-4265-a172-660faaff4d32,22,RC 22-0016,Correspondence from the Mayor - CFSA Fiscal Year 2016 Annual Public Report,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/37417/RC22-0016-Introduction.pdf,Introduction
7af6a55b-d867-4f96-b004-81c9f93046f6,22,B 22-0504,Student Loan Debt Forgiveness Act of 2017,ocd-jurisdiction/country:us/district:dc/government,application/pdf,http://lims.dccouncil.us/Download/38912/B22-0504-Introduction.pdf,Introduction
