id,session,identifier,title,jurisdiction_id,media_type,url,note
2ce86132-db19-4cae-83ca-33802f46a0d7,2019_20,HB 683,Saint Marys Airport Authority; repeal Act,ocd-jurisdiction/country:us/state:ga/government,application/pdf,http://www.legis.ga.gov/Legislation/20192020/185848.pdf,LC 44 1195/a
1478e1dd-e168-44b5-b335-1c5b25b20663,2019_20,HB 498,Income tax;  income received as personal compensation for full-time duty in the active military service of the United States; exempt,ocd-jurisdiction/country:us/state:ga/government,application/pdf,http://www.legis.ga.gov/Legislation/20192020/182963.pdf,LC 43 1107/a
67af4340-3c06-4794-a1fd-b02501c6f503,2019_20,SB 271,Law Assistants; rename as law clerks and staff attorneys,ocd-jurisdiction/country:us/state:ga/government,application/pdf,http://www.legis.ga.gov/Legislation/20192020/186217.pdf,As introduced LC 43 1327
5a6a810d-cd29-4e7f-b161-b90833e0207c,2019_20,HB 156,Ad valorem tax; motor vehicles; change certain definitions,ocd-jurisdiction/country:us/state:ga/government,application/pdf,http://www.legis.ga.gov/Legislation/20192020/180530.pdf,LC 43 1069/a
45bc05b8-7b55-45dc-b234-fcb518c3fbbf,2019_20,SR 458,Jimmy Lassetter Memorial Highway; Coweta County; dedicate,ocd-jurisdiction/country:us/state:ga/government,application/pdf,http://www.legis.ga.gov/Legislation/20192020/185982.pdf,As introduced LC 39 2233
86a90763-c2cb-4626-81b0-0fcb652b471d,2019_20,HR 214,House Rural Development Council; reauthorize,ocd-jurisdiction/country:us/state:ga/government,application/pdf,http://www.legis.ga.gov/Legislation/20192020/181351.pdf,LC 34 5499/a
4f217351-48d4-4c3d-8000-168b7fd283ed,2019_20,HB 339,Special license plates; Alabama A&M University; establish,ocd-jurisdiction/country:us/state:ga/government,application/pdf,http://www.legis.ga.gov/Legislation/20192020/187583.pdf,HB 339/AP*
90fe0563-2d17-43d4-959e-a39418377941,2019_20,HB 444,Dual Enrollment Act; enact,ocd-jurisdiction/country:us/state:ga/government,application/pdf,http://www.legis.ga.gov/Legislation/20192020/186359.pdf,Sen ctee sub LC 39 2386S
ff6fca67-c3f1-4c2e-bc81-aec23ab37cc0,2019_20,HB 465,Georgia Water Customer Bill of Rights Act; enact,ocd-jurisdiction/country:us/state:ga/government,application/pdf,http://www.legis.ga.gov/Legislation/20192020/182658.pdf,LC 44 1158/a
4739c64b-5d53-4ad6-93d4-097ce735f407,2019_20,HB 186,Health; sale or lease of a hospital by a hospital authority; revise provisions,ocd-jurisdiction/country:us/state:ga/government,application/pdf,http://www.legis.ga.gov/Legislation/20192020/180666.pdf,LC 33 7670/a
a8dc458f-f727-4c00-94a4-89f4bc195f1a,2019_20,HR 70,Blessed Trinity Catholic High School Titans; winning the 2018 Class AAAA GHSA State Football Championship; commend,ocd-jurisdiction/country:us/state:ga/government,application/pdf,http://www.legis.ga.gov/Legislation/20192020/179908.pdf,LC 117 0662/a
069b9b53-8a36-4da9-b5ce-547a66de4d60,2019_20,HB 213,Georgia Hemp Farming Act; enact,ocd-jurisdiction/country:us/state:ga/government,application/pdf,http://www.legis.ga.gov/Legislation/20192020/187562.pdf,HB 213/AP*
cab876be-481c-4bde-b0ca-3f285335dbe9,2019_20,SR 176,"Collins, Michael Allen ""Mac""; condolences",ocd-jurisdiction/country:us/state:ga/government,application/pdf,http://www.legis.ga.gov/Legislation/20192020/181557.pdf,Read and Adopted LC 119 0180
ff9e278b-a43d-40db-9356-54e0cf5d5f28,2019_20,HB 631,Butts County; courthouse; provide that fees collected are for maintenance,ocd-jurisdiction/country:us/state:ga/government,application/pdf,http://www.legis.ga.gov/Legislation/20192020/184997.pdf,Local Ad
f906ae15-d1ec-417e-a22c-dc03430f43c4,2019_20,HR 154,"Korean American Day at the state capitol; February 12, 2019; recognize",ocd-jurisdiction/country:us/state:ga/government,application/pdf,http://www.legis.ga.gov/Legislation/20192020/180746.pdf,LC 117 0745/a
