id,session,identifier,title,jurisdiction_id,media_type,url,note
2b788a29-94f1-4212-a47e-dce448d1e9ca,2019,SC 15,"Memorializing Sgt. Benton Bertram and urging INDOT to name a mile of SR 3 near Scottsburg the ""Sgt. Ben Bertram Memorial Mile"".",ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2019/bills/SC0015/versions/SC0015.03.COMS,Senate Resolution (H)
72abfb98-cfc9-42d0-8366-ff337de8b603,2018,SR 41,Urging the legislative council to assign to the appropriate committee the topic of loot boxes and video games as gambling.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2018/bills/sr0041/versions/sr0041.01.intr,Introduced Senate Resolution (S)
657a0777-3a58-4c11-9ce1-6279b0330fee,2019,SR 3,Congratulating Emma Keys upon her retirement from the Indiana Senate.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2019/bills/SR0003/versions/SR0003.01.INTR,Introduced Senate Resolution (S)
98836935-b971-41b8-8af3-6f70273a8809,2018,HB 1456,A BILL FOR AN ACT concerning general provisions.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2018/bills/hb1456/versions/hb1456.01.intr,Introduced House Bill (H)
370892f3-bec7-4302-9102-cb5ef5cf3bb5,2017,SB 402,A BILL FOR AN ACT to amend the Indiana Code concerning human services.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2017/bills/sb0402/versions/sb0402.05.enrh,Enrolled Senate Bill (S)
519ab53e-45e4-49f6-a5fe-b2f810c03f16,2018,SB 62,A BILL FOR AN ACT to amend the Indiana Code concerning human services.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2018/bills/sb0062/versions/sb0062.01.intr,Introduced Senate Bill (S)
6aaed3ad-563d-4828-bd24-9a401b380653,2019,HB 1439,A BILL FOR AN ACT to amend the Indiana Code concerning motor vehicles.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2019/bills/HB1439/versions/HB1439.01.INTR,Introduced House Bill (H)
19ac309b-7370-45d4-9517-4a344e7ae628,2018,HB 1212,A BILL FOR AN ACT to amend the Indiana Code concerning criminal law and procedure.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2018/bills/hb1212/versions/hb1212.03.coms,House Bill (S)
874899d8-b78a-446e-b30a-3574f9c22302,2017,HB 1601,A BILL FOR AN ACT to amend the Indiana Code concerning state and local administration.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2017/bills/hb1601/versions/hb1601.04.engs,Engrossed House Bill (H)
fa7a73bf-e235-4237-85f4-a63471d4f227,2017,SC 34,Honoring the Northview High School baseball team.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2017/bills/sc0034/versions/sc0034.01.intr,Introduced Senate Resolution (S)
9e7b2d3c-1fb1-491e-9807-13ef1ba9ad97,2019,HB 1240,A BILL FOR AN ACT to amend the Indiana Code concerning taxation.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2019/bills/HB1240/versions/HB1240.01.INTR,Introduced House Bill (H)
3bdbb9b0-7afe-40c9-8d4a-143645478594,2019,HB 1337,A BILL FOR AN ACT to amend the Indiana Code concerning criminal law and procedure.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2019/bills/HB1337/versions/HB1337.01.INTR,Introduced House Bill (H)
c9c9ecb3-5dd1-483d-89fb-470432e4a64c,2017,HB 1488,A BILL FOR AN ACT to amend the Indiana Code concerning motor vehicles.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2017/bills/hb1488/versions/hb1488.03.coms,House Bill (H)
77627262-efd1-4b12-b5ba-c5233208183b,2018,HB 1311,A BILL FOR AN ACT to amend the Indiana Code concerning motor vehicles.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2018/bills/hb1311/versions/hb1311.01.intr,Introduced House Bill (H)
cd43d683-7932-40f6-b552-d9f6591f6396,2018,SB 81,A BILL FOR AN ACT to amend the Indiana Code concerning education.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2018/bills/sb0081/versions/sb0081.01.intr,Introduced Senate Bill (S)
c3b20595-2263-4094-b73c-9a7831bbb520,2017,SC 37,To congratulate the Saint Joseph High School Girls' Basketball Team on their 2017 Indiana Class 3A Championship.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2017/bills/sc0037/versions/sc0037.01.intr,Introduced Senate Resolution (S)
d9c1487f-a7e1-4585-9618-e3379b4b1600,2019,SR 9,Urging the Legislative Council to assign the topic of virtual currency regulation in the State of Indiana to an appropriate study committee.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2019/bills/SR0009/versions/SR0009.01.INTR,Introduced Senate Resolution (S)
47dca01f-3517-4e8d-a621-6f2fa1b5f727,2018,SB 284,A BILL FOR AN ACT to amend the Indiana Code concerning health.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2018/bills/sb0284/versions/sb0284.01.intr,Introduced Senate Bill (S)
c71bea92-c752-4780-ba82-51accf1cf51e,2018,HB 1173,A BILL FOR AN ACT to amend the Indiana Code concerning courts and court officers.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2018/bills/hb1173/versions/hb1173.01.intr,Introduced House Bill (H)
f7e9726d-a52d-47bc-8297-f52985358f33,2017,HB 1644,A BILL FOR AN ACT concerning human services.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2017/bills/hb1644/versions/hb1644.03.coms,House Bill (H)
af73ce11-443e-4e2f-b567-426018d97088,2017,SB 87,A BILL FOR AN ACT to amend the Indiana Code concerning education.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2017/bills/sb0087/versions/sb0087.01.intr,Introduced Senate Bill (S)
4effb02d-2b79-4c62-92f7-77da69fa26f2,2019,SB 149,A BILL FOR AN ACT to amend the Indiana Code concerning gaming.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2019/bills/SB0149/versions/SB0149.01.INTR,Introduced Senate Bill (S)
9480d788-f268-4332-a7e6-14d2fc99077e,2017,HB 1256,A BILL FOR AN ACT to amend the Indiana Code concerning motor vehicles.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2017/bills/hb1256/versions/hb1256.01.intr,Introduced House Bill (H)
788b2311-0964-472f-bc26-68b2cbdf6528,2018,SB 416,A BILL FOR AN ACT to amend the Indiana Code concerning trade regulation.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2018/bills/sb0416/versions/sb0416.02.coms,Senate Bill (H)
0a2bdc72-f712-4ab1-afe7-3bbd0e16bda6,2017,SB 256,A BILL FOR AN ACT to amend the Indiana Code concerning natural and cultural resources.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2017/bills/sb0256/versions/sb0256.01.intr,Introduced Senate Bill (S)
19553f30-cf72-41ed-9cc1-fdaac5cb965a,2019,SB 581,A BILL FOR AN ACT to amend the Indiana Code concerning natural resources.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2019/bills/SB0581/versions/SB0581.01.INTR,Introduced Senate Bill (S)
3d86adc9-34d5-41ef-9541-6e54c77be14a,2019,SB 91,A BILL FOR AN ACT to amend the Indiana Code concerning the general assembly.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2019/bills/SB0091/versions/SB0091.01.INTR,Introduced Senate Bill (S)
6e3a9233-f18a-4eac-941d-1ed7b945d01e,2018,SB 12,A BILL FOR AN ACT to amend the Indiana Code concerning criminal law and procedure.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2018/bills/sb0012/versions/sb0012.03.coms,Senate Bill (H)
68aa1670-9f0e-4d75-b314-0f3ed128e72d,2018,HB 1292,A BILL FOR AN ACT to amend the Indiana Code concerning natural and cultural resources.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2018/bills/hb1292/versions/hb1292.03.coms,House Bill (H)
d1788e3b-4241-41cb-ab58-543f1bf4a3f8,2018,HB 1383,A BILL FOR AN ACT to amend the Indiana Code concerning elections.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2018/bills/hb1383/versions/hb1383.01.intr,Introduced House Bill (H)
5fd7f194-1a40-418a-aa0e-67fb4274b56d,2018,HC 68,"Recognizing the many accomplishments of the students, teachers, and administrators of Crown Point High School.",ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2018/bills/hc0068/versions/hc0068.01.intr,Introduced House Resolution (H)
f25a57fa-668a-4485-89ef-25779de6851c,2017,HB 1614,A BILL FOR AN ACT to amend the Indiana Code concerning education.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2017/bills/hb1614/versions/hb1614.01.intr,Introduced House Bill (H)
0b26523c-9dce-4441-a765-ed8ad66f921f,2019,SC 14,Congratulating the Tabernacle Christian H.S. boys soccer team.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2019/bills/SC0014/versions/SC0014.01.INTR,Introduced Senate Resolution (S)
bfb3ab6b-11a6-4c63-bcc8-259bcbcef90e,2017,SB 94,A BILL FOR AN ACT to amend the Indiana Code concerning state and local administration.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2017/bills/sb0094/versions/sb0094.01.intr,Introduced Senate Bill (S)
34605fc3-2f09-4fc6-974a-d19e606356a5,2018,HB 1051,A BILL FOR AN ACT to amend the Indiana Code concerning alcohol and tobacco.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2018/bills/hb1051/versions/hb1051.02.comh,House Bill (S)
73e8d859-efef-455a-8197-b4452cf6c023,2017,HB 1521,A BILL FOR AN ACT to amend the Indiana Code concerning elections.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2017/bills/hb1521/versions/hb1521.05.enrs,Enrolled House Bill (H)
0e196ae6-6105-4a1d-a3b7-7e51f1debac3,2018,HB 1262,A BILL FOR AN ACT to amend the Indiana Code concerning taxation.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2018/bills/hb1262/versions/hb1262.03.engh,Engrossed House Bill (S)
d7046e9d-09b4-4237-ac64-f2425d09e708,2019,SB 410,A BILL FOR AN ACT to amend the Indiana Code concerning education.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2019/bills/SB0410/versions/SB0410.01.INTR,Introduced Senate Bill (S)
633ed27a-7263-4f14-8b60-67c2d5d84be2,2018,SB 287,A BILL FOR AN ACT to amend the Indiana Code concerning elections.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2018/bills/sb0287/versions/sb0287.01.intr,Introduced Senate Bill (S)
a96f69b5-39ef-4234-923d-f43c84b5e028,2019,SB 608,A BILL FOR AN ACT to amend the Indiana Code concerning state and local administration.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2019/bills/SB0608/versions/SB0608.01.INTR,Introduced Senate Bill (S)
87090fea-4ebe-410a-a474-802a3ecff9df,2019,HB 1152,A BILL FOR AN ACT concerning higher education.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2019/bills/HB1152/versions/HB1152.01.INTR,Introduced House Bill (H)
5118eb4a-935c-427a-bd16-194a2c6a12e8,2018,HB 1141,A BILL FOR AN ACT to amend the Indiana Code concerning taxation.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2018/bills/hb1141/versions/hb1141.03.coms,House Bill (S)
b6924b86-9fd7-4069-a9a8-2983f388abe7,2019,HB 1591,A BILL FOR AN ACT to amend the Indiana Code concerning probate.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2019/bills/HB1591/versions/HB1591.01.INTR,Introduced House Bill (H)
73af2304-0fdd-4aec-8e88-4af3f1bf4054,2019,SB 160,A BILL FOR AN ACT to amend the Indiana Code concerning public safety.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2019/bills/SB0160/versions/SB0160.01.INTR,Introduced Senate Bill (S)
f28d3b35-15dc-49b0-afe0-537e04a22c1d,2017,SB 348,A BILL FOR AN ACT to amend the Indiana Code concerning local government.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2017/bills/sb0348/versions/sb0348.03.comh,Senate Bill (S)
dbc985da-539e-4ecc-9bdf-3a19b485f466,2017,HB 1194,A BILL FOR AN ACT to amend the Indiana Code concerning local government.,ocd-jurisdiction/country:us/state:in/government,application/pdf,http://in-proxy.openstates.org/2017/bills/hb1194/versions/hb1194.01.intr,Introduced House Bill (H)
