id,session,identifier,title,jurisdiction_id,media_type,url,note
72f3f0fb-1d8f-444c-9ce6-8b26f9684b33,2017-2018,HB 2782,Disposition of seized firearms by law enforcement agencies.,ocd-jurisdiction/country:us/state:ks/government,application/pdf,http://www.kslegislature.org/li/b2017_18/measures/documents/hb2782_00_0000.pdf,As introduced
24f56a1f-a4f1-4986-ad25-ddc1b8ef5651,2017-2018,SB 281,"Providing protection orders for certain victims under the protection from stalking, sexual assault or human trafficking act or the protection from abuse act.",ocd-jurisdiction/country:us/state:ks/government,application/pdf,http://www.kslegislature.org/li/b2017_18/measures/documents/sb281_enrolled.pdf,"Enrolled - Law effective July 01, 2018"
0b9c68fd-86c8-46f7-bec2-bc371e50695e,2017-2018,SB 95,Substitute for Substitute for SB 95 by Committee on Public Health and Welfare - Authorizing telephonic signatures for public assistance applications.,ocd-jurisdiction/country:us/state:ks/government,application/pdf,http://www.kslegislature.org/li/b2017_18/measures/documents/sb95_02_0000.pdf,Sub for Sub
6a0a3fdf-22a9-4df7-9250-27d27228e404,2017-2018,HB 2527,Creating the crime of unlawful acts involving automated sales suppression devices.,ocd-jurisdiction/country:us/state:ks/government,application/pdf,http://www.kslegislature.org/li/b2017_18/measures/documents/hb2527_01_0000.pdf,As Amended by House Committee
acc79265-4e8f-4af1-aab9-0475d0db4aa5,2019-2020,HB 2101,Updating state credit union statutes.,ocd-jurisdiction/country:us/state:ks/government,application/pdf,http://www.kslegislature.org/li/b2019_20/measures/documents/hb2101_00_0000.pdf,As introduced
851aaeca-300c-4ea1-9839-02fabfc7825f,2017-2018,HB 2619,Allowing any documentation required under the Kansas pesticide law to be created or maintained in electronic form.,ocd-jurisdiction/country:us/state:ks/government,application/pdf,http://www.kslegislature.org/li/b2017_18/measures/documents/hb2619_01_0000.pdf,As Amended by House Committee
394f97ee-5b6c-4a09-b82b-13e26f28be2d,2017-2018,HB 2172,Relating to the recognition of marriages.,ocd-jurisdiction/country:us/state:ks/government,application/pdf,http://www.kslegislature.org/li/b2017_18/measures/documents/hb2172_00_0000.pdf,As introduced
19402d5d-de3e-4055-8c57-83ec2dcd4471,2019-2020,SR 1730,Congratulating and commending the Coffeyville Community College women's volleyball team for winning the 2018 NJCAA Division II National Championship.,ocd-jurisdiction/country:us/state:ks/government,application/pdf,http://www.kslegislature.org/li/b2019_20/measures/documents/sr1730_enrolled.pdf,Enrolled
47a4fe48-d9a2-43c0-8909-732eb0891ece,2017-2018,SB 16,Enacting new insurance holding company regulatory law and corporate governance annual disclosure law.,ocd-jurisdiction/country:us/state:ks/government,application/pdf,http://www.kslegislature.org/li/b2017_18/measures/documents/sb16_02_0000.pdf,As Amended by House Committee
a8054a39-f99c-4ff7-91fa-6166795b3a8d,2017-2018,SB 394,Ensuring transparency in state government contract decisions and other actions.,ocd-jurisdiction/country:us/state:ks/government,application/pdf,http://www.kslegislature.org/li/b2017_18/measures/documents/sb394_00_0000.pdf,As introduced
94adfd45-ea23-44cd-90be-a4d6c1d7e4a6,2019-2020,HB 2403,Establishing the joint committee on child welfare system oversight.,ocd-jurisdiction/country:us/state:ks/government,application/pdf,http://www.kslegislature.org/li/b2019_20/measures/documents/hb2403_01_0000.pdf,As Amended by House Committee
5ae97975-4326-4c19-957f-7d00ad288846,2017-2018,HB 2613,"Provision of assistive technology, sign language and Braille services for students with a disability.",ocd-jurisdiction/country:us/state:ks/government,application/pdf,http://www.kslegislature.org/li/b2017_18/measures/documents/hb2613_00_0000.pdf,As introduced
27d76260-a8e0-4ce1-89e8-0db9c3347dc2,2017-2018,SB 217,Updating certain statutory references relating to the Kansas department for aging and disability services and the Kansas department for children and families.,ocd-jurisdiction/country:us/state:ks/government,application/pdf,http://www.kslegislature.org/li/b2017_18/measures/documents/sb217_enrolled.pdf,"Enrolled - Law effective July 01, 2018"
bda17578-b0ee-4f4a-a593-1c4562669891,2019-2020,SB 39,Compensation for warranty services under the vehicle dealers and manufacturers licensing act.,ocd-jurisdiction/country:us/state:ks/government,application/pdf,http://www.kslegislature.org/li/b2019_20/measures/documents/sb39_enrolled.pdf,"Enrolled - Law effective July 1, 2019"
