id,session,identifier,title,jurisdiction_id,media_type,url,note
a0dbf10f-3199-4d6e-baa4-895358dc6a62,2018,SB 396,CHILDREN:  Provides relative to gestational carrier contracts. (gov sig),ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1095845,"House Floor Amendment, #4420, Amedee, Proposed"
a3daf627-4acb-463c-addc-a20eb18b06b4,2018,SB 400,"FUNDS/FUNDING:  Provides for certain funds in the state treasury and the powers, duties, functions, and responsibilities of the Dedicated Fund Review Subcommittee of the Joint Legislative Committee on the Budget. (See Act) (EN SEE FISC NOTE GF RV See Note)",ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1089880,"Senate Floor Legislative Bureau Amendment, #3161, Martiny, Adopted"
f50bf2a6-8a38-4cc6-bfaa-3242780488dd,2018,SB 265,COURTS:  Provides for minimum standards for elevator access to multistory courthouses for the disabled community. (8/1/18) (EN SEE FISC NOTE GF EX See Note),ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1091713,"House Committee Amendment, #3798, COM, Draft"
647507f8-caa7-4095-88ae-1407a688237d,2018,SB 426,BONDS:  Provides relative to the Consolidated Local Government Public Finance Act.  (See Act) (REF NO IMPACT LF EX See Note),ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1077267,"Senate Floor Bureau Note, #1271, LaFleur, Adopted"
7e58f2a7-f079-45fa-a1c2-948bdfb53ea8,2018,SB 442,COMMERCIAL REGULATIONS:  Requires companies who sell DNA testing kits to inform a purchaser of certain information. (8/1/18),ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1090094,"House Committee Amendment, #3482, COM, Draft"
16725981-e9cf-4f9e-bfd0-0c9f56c58700,2018,SB 487,LOCAL AGENCIES:  Authorizes investigative powers to the Jefferson Parish Inspector General's Office relative to the Jefferson Parish School Board. (8/1/18),ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1079047,SB487 Original
1148f86d-36b8-4de7-87fa-6759888b4087,2019,HB 254,CHILDREN/CUSTODY: Provides relative to an award of custody to a person other than a parent,ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1130557,"House Floor Amendment, #2073, Leger, Adopted"
5979610e-8b9d-4b9e-9513-8cf70d38d7ab,2019,SB 3,"MOTOR VEHICLES: Provides authority for the commissioner of the OMV to waive any penalty, procedure, or requirement for failure to maintain insurance provided that the principal driver of the motor vehicle is the registered owner or owner's spouse or child who was in the hospital or has died, and the owner can provide such proof to the commissioner. (gov sig) (EN SEE FISC NOTE SG EX See Note)",ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1139921,SB3 Enrolled
fc5c1b48-53a6-46c6-ad89-473487a2673e,2019,HB 211,MEDICAID: Provides relative to Medicaid coverage of certain behavioral health services,ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1136276,HB211 Reengrossed
cb474267-77f0-4e4a-937d-706a3d443c7b,2018,SB 432,"COASTAL PROTECT/RES AUTH:  Requires the Coastal Protection and Restoration Authority Board to develop a coastal master plan, at a minimum every six years.  (8/1/18)",ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1073436,SB432 Original
af4318e8-4021-4197-991d-c30080ef59de,2019,SB 146,DOMESTIC VIOLENCE: Limits the incarceration of victims of domestic violence and sex offenses who refuse to testify against their abusers. (gov sig),ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1143296,SB146 Enrolled
6435e7e5-0048-42cc-bb6b-f49ca19d6508,2019,HB 611,"CRIMINAL/PROCEDURE: Provides relative to the payment of fines, fees, costs, restitution, and other monetary obligations related to an offender's conviction",ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1135191,"Senate Floor Amendment, #2073, Claitor, Adopted"
2566f9e1-590f-42c1-b98d-d2630d0bcb5f,2018,HB 210,LAW ENFORCE/OFFICERS:  Provides relative to revocation of P.O.S.T. certification,ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1099057,HB210 Act 201
9f4afdf7-d27b-4418-b040-b643828e3bd4,2018,HB 207,DOMESTIC ABUSE:  Requires those who serve temporary protective orders or protective orders to transmit a service return to the Louisiana Protective Order Registry,ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1098910,HB207 Enrolled
69188093-3f1d-4c60-91f6-68f68fe3a6f4,2018,HB 197,WILDLIFE & FISHERIES:  Prohibits the importation of live cervid,ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1078796,"House Committee Amendment, #1712, AGRI, Draft"
c909c745-bae1-4d13-900a-7521d84b151c,2018,HB 784,BOATS/SHIPS/VESSELS:  Increases boat registration fees,ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1099081,HB784 Enrolled
7ee88396-add6-4c78-86e6-e4c02de3bf6b,2019,SR 38,CONDOLENCES: Expresses condolences upon the death of Ralph D. Balentine.,ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1124902,SR38 Original
da5f93e3-1e2c-41c8-8d38-87f08aa1eff9,2019,HB 491,AGRICULTURAL COMMODITIES: Provides for the regulation of industrial hemp (EN INCREASE SD EX See Note),ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1143697,HB491 Act 164
017821c0-e9d9-4124-8eed-7882793950aa,2019,SR 158,COMMENDATIONS: Commends and recognizes the Louisiana teams that participated in the 2019 FIRST Robotics Season.,ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1135715,SR158 Enrolled
fd37c624-d752-47ab-978b-95357b7fb419,2019,SB 198,"TAX/SALES: Provides for administration, disposition, enforcement, and adjudication of state and local taxes and for the Board of Tax Appeals. (gov sig) (EN DECREASE GF RV See Note)",ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1123218,"Senate Committee Amendment, #490, R&F, Adopted"
2f1cfdb6-413d-4a6c-a854-86537d4410a7,2018,HB 78,CRIME/FELONIES:  Amends penalties relative to the crime of hazing (EN SEE FISC NOTE GF EX See Note),ocd-jurisdiction/country:us/state:la/government,application/pdf,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1064301,HB78 Original
