id,session,identifier,title,jurisdiction_id,media_type,url,note
c72a9074-ae78-4fec-9d28-d02fa72a36f6,2018,HB 1966,Modifies provisions relating to records pertaining to foster homes,ocd-jurisdiction/country:us/state:mo/government,application/pdf,http://www.house.mo.gov/billtracking/bills181/hlrbillspdf/5788H.01I.pdf,Introduced
fbb32c3a-8ecb-4529-aa93-3cad3ee84cce,2018,HB 2450,Adjusts motor vehicle licensing and registration fees for inflation,ocd-jurisdiction/country:us/state:mo/government,application/pdf,http://www.house.mo.gov/billtracking/bills181/hlrbillspdf/6247H.01I.pdf,Introduced
24fb2c72-98ee-400b-a8a1-4a4f9f662649,2018,HB 1753,"Prohibits the collection of water, soil, or commodity samples by governmental entities without the written consent of the landowner",ocd-jurisdiction/country:us/state:mo/government,application/pdf,http://www.house.mo.gov/billtracking/bills181/hlrbillspdf/4920H.01I.pdf,Introduced
45cbb7bc-59e0-4ce7-9735-403008460715,2018,HB 1268,"Allows the Missouri Dental Board to issue dental faculty permits to individuals who are employed by accredited dental schools, colleges, or programs in Missouri",ocd-jurisdiction/country:us/state:mo/government,application/pdf,http://www.house.mo.gov/billtracking/bills181/hlrbillspdf/4125H.01I.pdf,Introduced
6652a067-6de6-494e-b27c-0acfabaf9e2a,2019,SB 378,"Specifies that beginning December 1, 2019, private entities shall be eligible for certification as third-party testers for commercial driver's licenses",ocd-jurisdiction/country:us/state:mo/government,application/pdf,https://www.senate.mo.gov/19info/pdf-bill/intro/SB378.pdf,Introduced
6861b8ba-34f6-4255-a671-7f640fab5a18,2019,SB 386,Modifies provisions relating to the location of a proposed child care facility,ocd-jurisdiction/country:us/state:mo/government,application/pdf,https://www.senate.mo.gov/19info/pdf-bill/intro/SB386.pdf,Introduced
06a35922-19e3-4710-aa11-49be48020f4b,2018,HB 2582,Modifies provisions relating to campaign finance,ocd-jurisdiction/country:us/state:mo/government,application/pdf,http://www.house.mo.gov/billtracking/bills181/hlrbillspdf/6551H.01I.pdf,Introduced
422c9dbf-c786-4b77-b415-5a19f7beeb50,2018,HB 2540,Changes the laws regarding state revenues,ocd-jurisdiction/country:us/state:mo/government,application/pdf,http://www.house.mo.gov/billtracking/bills181/amendpdf/6148H03.70H.pdf,Amendment 6148H03.70H (Distributed)
63a8ced5-a6db-433f-9950-c22524c7202b,2018,HB 1922,Requires the judges of the twenty-second judicial circuit to appoint the sheriff of the City of St. Louis,ocd-jurisdiction/country:us/state:mo/government,application/pdf,http://www.house.mo.gov/billtracking/bills181/hlrbillspdf/5655H.01I.pdf,Introduced
d1c5807f-e493-4b41-abc4-4e5862089e35,2018,HB 2209,Establishes a Prescription Abuse Registry,ocd-jurisdiction/country:us/state:mo/government,application/pdf,http://www.house.mo.gov/billtracking/bills181/hlrbillspdf/6045H.02C.pdf,Committee
