id,session,identifier,title,jurisdiction_id,media_type,url,note
76c4a5d4-718e-47a3-b0ce-590886ba5ba8,2017,HR 924,Honor Meggan Lee Callahan.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/House/PDF/H924v1.pdf,Edition 1
22d8ade3-a944-4b00-bbb9-c311f9c9e081,2019,HB 54,Unborn Child Protection From Dismemberment.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/House/PDF/H54v1.pdf,Edition 1
072d251c-44a1-4b92-9249-8eb870236bac,2017,HB 1034,Funds for Smart Start Healthy Dev. Initiative.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/House/PDF/H1034v1.pdf,Edition 1
3c4b9aa8-c38a-41fc-8ea7-4163419fa7b6,2019,SB 421,Funds for NC Senior Games.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/Senate/PDF/S421v1.pdf,Edition 1
569dd2e9-fd56-4d24-b3e6-e3d1c71dfedc,2019,HB 430,School Ethics Training & Finance Officers.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/House/PDF/H430v1.pdf,Edition 1
17739bc3-cabe-465e-9b6a-2700689da547,2017,HB 161,Divestment From Companies That Boycott Israel.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/House/PDF/H161v1.pdf,Edition 1
7658a3e2-52ba-4a60-ab0b-52e3c31fbb85,2017,SB 753,Franklin & Wake/Daily Deposits.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/Senate/PDF/S753v1.pdf,Edition 1
655f11fc-400f-4b4e-9a94-a85b13aa460d,2017,HB 767,NC Toxic-Free Kids Act.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/House/PDF/H767v1.pdf,Edition 1
8d9cb5f4-edc3-4129-b56e-69109454f990,2017,HB 1010,Build NC Bond Act.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/House/PDF/H1010v2.pdf,Edition 2
512909e7-ad3e-4596-9cae-a6ca697b8f7e,2019,HB 205,Veh. Property Dmg./Determining Amt. of Loss.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/House/PDF/H205v4.pdf,Edition 4
9329b44c-03c2-4f6e-9449-a79c5025f4fa,2019,HB 788,EV Charging Station/Parking.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/House/PDF/H788v1.pdf,Edition 1
ae3b85e4-c7af-4074-9eea-c5427fd58953,2017,SB 5,Mecklenburg/Police Countywide Jurisdiction.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/Senate/PDF/S5v0.pdf,Filed
d17349b5-05f2-4238-b561-eef7701d19e0,2019,SB 553,Regulatory Reform Act of 2019.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/Senate/PDF/S553v2.pdf,Edition 2
01807aae-1a72-44a8-9c71-4d4d27184420,2017,HR 323,Honor the Life and Memory of Howard Wilson.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/House/PDF/H323v1.pdf,Edition 1
d1366e38-695c-4fc1-ac2d-686752fcc0ae,2017,SB 13,Sanford Occupancy Tax.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/Senate/PDF/S13v1.pdf,Edition 1
c0ca248d-8652-4684-bc3b-df8044d93663,2019,HB 200,Various Education Changes.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/House/PDF/H200v2.pdf,Edition 2
095d09ae-1168-46de-9d71-c107ce73d919,2017,SB 69,Local Gov't Comm/Finance Officer Training.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/Senate/PDF/S69v0.pdf,Filed
4f305645-b563-43a0-9256-8f359f6a519c,2019,HB 175,School Calendar Flexibility/Certain Systems.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/House/PDF/H175v1.pdf,Edition 1
e73b7436-daba-44b5-b2ad-67e98f4100bc,2017,SB 806,Up Minimum Wage With COLA/Const. Amendment.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/Senate/PDF/S806v0.pdf,Filed
