id,session,identifier,title,jurisdiction_id,media_type,url,note
ee6ad260-a715-46a8-bbd1-03b9ad1bf591,66,HB 1443,A BILL for an Act to provide for a legislative management study of charitable gaming and racing laws.,ocd-jurisdiction/country:us/state:nd/government,application/pdf,http://www.legis.nd.gov/assembly/66-2019/documents/19-0978-01000.pdf,INTRODUCED
16acc166-8e28-4279-abb0-d2c74a89fa2e,65,SB 2159,"AN ACT to amend and reenact subdivision d of subsection 2 of section 10‑32.1‑39, paragraph 1 of subdivision d of subsection 3 of section 10‑32.1‑39, and paragraph 1 of subdivision q of subsection 4 of section 10‑32.1‑39 of the North Dakota Century Code, relating to management of a limited liability company; and to provide for retroactive application.",ocd-jurisdiction/country:us/state:nd/government,application/pdf,http://www.legis.nd.gov/assembly/65-2017/documents/17-0671-02000.pdf,FIRST ENGROSSMENT
cc09bf09-d647-4807-bc86-c3f0886be662,65,HB 1002,"AN ACT to provide an appropriation for defraying the expenses of the office of the secretary of state and public printing; to provide an exemption; and to amend and reenact section 16.1‑08.1‑03.1, subsection 7 of section 54‑09‑04, and section 54‑09‑12 of the North Dakota Century Code, relating to campaign disclosure statements, information preparation fees, and confidential information in filed records.",ocd-jurisdiction/country:us/state:nd/government,application/pdf,http://www.legis.nd.gov/assembly/65-2017/documents/17-0487-03000.pdf,FIRST ENGROSSMENT with Senate Amendments
609a3c34-4c7c-4154-b727-86e02d8afc46,66,SB 2102,"AN ACT to create and enact chapter 26.1‑53.1 of the North Dakota Century Code, relating to discount plans; and to repeal chapter 26.1‑53 of the North Dakota Century Code, relating to discount medical plans.",ocd-jurisdiction/country:us/state:nd/government,application/pdf,http://www.legis.nd.gov/assembly/66-2019/documents/19-8069-03000.pdf,Enrollment
ae2bfa97-60c2-44f7-8bcd-7a9f566bda90,66,HB 1041,"AN ACT to amend and reenact section 57‑02‑08.3 of the North Dakota Century Code, relating to the homestead tax credit for special assessments; to provide for application; and to provide an effective date.",ocd-jurisdiction/country:us/state:nd/government,application/pdf,http://www.legis.nd.gov/assembly/66-2019/documents/19-0286-03000.pdf,Enrollment
c8b51aa4-6e28-42d7-8482-bc8038150c72,66,HB 1036,"AN ACT to amend and reenact section 16.1-01-17 of the North Dakota Century Code, relating to fiscal impacts of referred measures.",ocd-jurisdiction/country:us/state:nd/government,application/pdf,http://www.legis.nd.gov/assembly/66-2019/documents/19-0058-03000.pdf,INTRODUCED
db6a5f9a-dd05-4099-88e6-5811a4c35bd5,66,SB 2325,"AN ACT to amend and reenact section 52‑02.1‑02 of the North Dakota Century Code, relating to new job training for certain businesses; and to declare an emergency.",ocd-jurisdiction/country:us/state:nd/government,application/pdf,http://www.legis.nd.gov/assembly/66-2019/documents/19-1127-01000.pdf,INTRODUCED
a86207e9-86e2-43b6-938a-a98dec90b85b,66,HB 1435,"AN ACT to amend and reenact sections 37‑17.3‑02, 37‑17.3‑02.2, and 37‑17.3‑03 of the North Dakota Century Code, and section 10 of chapter 247 of the 2017 Session Laws, relating to the governance, purchase, financing, and operation of the statewide interoperable radio network; to provide for a legislative management study; to provide an appropriation; to provide for a transfer; and to declare an emergency.",ocd-jurisdiction/country:us/state:nd/government,application/pdf,http://www.legis.nd.gov/assembly/66-2019/documents/19-0656-05001a.pdf,Prepared by the Legislative Council staff for Representative Bosch
bf23d2d6-17bd-4833-8eb4-9544cc562496,66,HB 1023,AN ACT to provide an appropriation for defraying the expenses of the North Dakota racing commission.,ocd-jurisdiction/country:us/state:nd/government,application/pdf,http://www.legis.nd.gov/assembly/66-2019/documents/19-0211-01000.pdf,INTRODUCED
092e50ee-1ec8-4db8-b92f-59f6ef3b788f,66,HB 1461,"AN ACT to create and enact two new sections to chapter 15.1‑32 of the North Dakota Century Code, relating to reading screenings and a dyslexia screening pilot program; to provide for a report to the legislative management; and to provide for an exemption.",ocd-jurisdiction/country:us/state:nd/government,application/pdf,http://www.legis.nd.gov/assembly/66-2019/documents/19-0557-05000.pdf,INTRODUCED
47d51b5c-88b4-4eae-90c6-27b9fb8e39fa,66,SB 2133,"AN ACT to amend and reenact sections 39‑10‑41 and 39‑10‑43 of the North Dakota Century Code, relating to railroad grade crossings; and to provide a penalty.",ocd-jurisdiction/country:us/state:nd/government,application/pdf,http://www.legis.nd.gov/assembly/66-2019/documents/19-0478-02000.pdf,Enrollment
a46482b7-e030-4d3c-9f43-5b3854b3c555,65,HB 1206,"AN ACT to amend and reenact subsection 13 of section 14‑15‑01 and sections 14‑15.1‑01 and 14‑15.1‑04 of the North Dakota Century Code, relating to the investigation and report by a child‑placing agency and the definition of relative; and to provide for a legislative management study.",ocd-jurisdiction/country:us/state:nd/government,application/pdf,http://www.legis.nd.gov/assembly/65-2017/documents/17-0566-03001a.pdf,Adopted by the Senate Human Services Committee
