id,session,identifier,title,jurisdiction_id,media_type,url,note
623fbb70-15fd-4e95-b3da-96c662c80ecd,2019,HB 674,"PUBLIC PEACE, HEALTH, SAFETY & WELFARE",ocd-jurisdiction/country:us/state:nm/government,text/html,http://www.nmlegis.gov/Sessions/19%20Regular/bills/house/HB0674.HTML,introduced version
623fbb70-15fd-4e95-b3da-96c662c80ecd,2019,HB 674,"PUBLIC PEACE, HEALTH, SAFETY & WELFARE",ocd-jurisdiction/country:us/state:nm/government,application/pdf,http://www.nmlegis.gov/Sessions/19%20Regular/bills/house/HB0674.PDF,introduced version
3b667f80-be35-4f2e-908a-69225a070e8a,2018,SB 27,CAR DEALERSHIP CHANGES,ocd-jurisdiction/country:us/state:nm/government,application/pdf,http://www.nmlegis.gov/Sessions/18%20Regular/final/SB0027.PDF,Final Version
4154eec4-82d4-4561-a885-1f711b9673ab,2019,HB 6,TAX CHANGES,ocd-jurisdiction/country:us/state:nm/government,text/html,http://www.nmlegis.gov/Sessions/19%20Regular/bills/house/HB0006TRS.HTML,TR substitute
4154eec4-82d4-4561-a885-1f711b9673ab,2019,HB 6,TAX CHANGES,ocd-jurisdiction/country:us/state:nm/government,application/pdf,http://www.nmlegis.gov/Sessions/19%20Regular/bills/house/HB0006TRS.PDF,TR substitute
714d5c21-9ed9-4b52-80ef-a735f9ae99bd,2018,SB 143,PUBLIC SERVICE LAW LOAN REPAYMENT CAP,ocd-jurisdiction/country:us/state:nm/government,application/pdf,http://www.nmlegis.gov/Sessions/18%20Regular/final/SB0143.PDF,Final Version
87072d7b-c9f4-4ff2-8ec1-4d5025f7eedc,2019,HJM 11,MIDDLE SCHOOL FAMILY & CONSUMER SCIENCES,ocd-jurisdiction/country:us/state:nm/government,text/html,http://www.nmlegis.gov/Sessions/19%20Regular/memorials/house/HJM011.HTML,introduced version
87072d7b-c9f4-4ff2-8ec1-4d5025f7eedc,2019,HJM 11,MIDDLE SCHOOL FAMILY & CONSUMER SCIENCES,ocd-jurisdiction/country:us/state:nm/government,application/pdf,http://www.nmlegis.gov/Sessions/19%20Regular/memorials/house/HJM011.PDF,introduced version
62f366ba-8b9b-4cec-8ca6-da64108ee3aa,2018,HB 139,MARIJUANA DERIVATIVE DRUG EXEMPTIONS,ocd-jurisdiction/country:us/state:nm/government,application/pdf,http://www.nmlegis.gov/Sessions/18%20Regular/final/HB0139.PDF,Final Version
9be19093-04ca-4577-a276-737cb83ac830,2018,HB 279,LAW ENFORCEMENT OFFICER LIABILITY,ocd-jurisdiction/country:us/state:nm/government,text/html,http://www.nmlegis.gov/Sessions/18%20Regular/bills/house/HB0279.HTML,introduced version
9be19093-04ca-4577-a276-737cb83ac830,2018,HB 279,LAW ENFORCEMENT OFFICER LIABILITY,ocd-jurisdiction/country:us/state:nm/government,application/pdf,http://www.nmlegis.gov/Sessions/18%20Regular/bills/house/HB0279.PDF,introduced version
fb8fc220-ed4d-4003-906c-05607bf671c0,2018,SB 52,CREATE GOVERNOR'S CONTINGENCY FUND,ocd-jurisdiction/country:us/state:nm/government,application/pdf,http://www.nmlegis.gov/Sessions/18%20Regular/final/SB0052.PDF,Final Version
889e6757-6560-4140-b8be-c032a8b49790,2018,HB 133,CAREER-TECHNICAL TEACHER DEVELOPMENT,ocd-jurisdiction/country:us/state:nm/government,text/html,http://www.nmlegis.gov/Sessions/18%20Regular/bills/house/HB0133.HTML,introduced version
889e6757-6560-4140-b8be-c032a8b49790,2018,HB 133,CAREER-TECHNICAL TEACHER DEVELOPMENT,ocd-jurisdiction/country:us/state:nm/government,application/pdf,http://www.nmlegis.gov/Sessions/18%20Regular/bills/house/HB0133.PDF,introduced version
f892579d-b679-4af3-8397-4ffc458415b7,2018,SB 69,CANCELLATION OF BID & RFP INVITATIONS,ocd-jurisdiction/country:us/state:nm/government,text/html,http://www.nmlegis.gov/Sessions/18%20Regular/bills/senate/SB0069.HTML,introduced version
f892579d-b679-4af3-8397-4ffc458415b7,2018,SB 69,CANCELLATION OF BID & RFP INVITATIONS,ocd-jurisdiction/country:us/state:nm/government,application/pdf,http://www.nmlegis.gov/Sessions/18%20Regular/bills/senate/SB0069.PDF,introduced version
bba7243e-9960-4439-bcc0-29a5316c81c3,2019,HB 406,PRC TRANSMISSION LINE JURISDICTION,ocd-jurisdiction/country:us/state:nm/government,text/html,http://www.nmlegis.gov/Sessions/19%20Regular/bills/house/HB0406.HTML,introduced version
bba7243e-9960-4439-bcc0-29a5316c81c3,2019,HB 406,PRC TRANSMISSION LINE JURISDICTION,ocd-jurisdiction/country:us/state:nm/government,application/pdf,http://www.nmlegis.gov/Sessions/19%20Regular/bills/house/HB0406.PDF,introduced version
519aaf02-2e16-4132-9ab1-3dda8c51b3ed,2019,SB 11,GROSS RECEIPTS FOR NONPROFIT ORGANIZATIONS,ocd-jurisdiction/country:us/state:nm/government,text/html,http://www.nmlegis.gov/Sessions/19%20Regular/bills/senate/SB0011.HTML,introduced version
519aaf02-2e16-4132-9ab1-3dda8c51b3ed,2019,SB 11,GROSS RECEIPTS FOR NONPROFIT ORGANIZATIONS,ocd-jurisdiction/country:us/state:nm/government,application/pdf,http://www.nmlegis.gov/Sessions/19%20Regular/bills/senate/SB0011.PDF,introduced version
e93492ab-e06d-4ace-a6bc-fb6f9f112061,2018,SB 11,GUIDELINES FOR STEP THERAPY FOR DRUG COVERAGE,ocd-jurisdiction/country:us/state:nm/government,text/html,http://www.nmlegis.gov/Sessions/18%20Regular/bills/senate/SB0011PAS.HTML,PA substitute
e93492ab-e06d-4ace-a6bc-fb6f9f112061,2018,SB 11,GUIDELINES FOR STEP THERAPY FOR DRUG COVERAGE,ocd-jurisdiction/country:us/state:nm/government,application/pdf,http://www.nmlegis.gov/Sessions/18%20Regular/bills/senate/SB0011PAS.PDF,PA substitute
09bec6e8-4c23-4ff8-be6a-bd2bd94b5663,2019,SB 304,SCHOOL PHYSICAL ED IN K-6TH GRADE,ocd-jurisdiction/country:us/state:nm/government,text/html,http://www.nmlegis.gov/Sessions/19%20Regular/bills/senate/SB0304.HTML,introduced version
09bec6e8-4c23-4ff8-be6a-bd2bd94b5663,2019,SB 304,SCHOOL PHYSICAL ED IN K-6TH GRADE,ocd-jurisdiction/country:us/state:nm/government,application/pdf,http://www.nmlegis.gov/Sessions/19%20Regular/bills/senate/SB0304.PDF,introduced version
44b07d93-13bf-479a-a6ba-6a14bf11e467,2018,SB 137,TRUST COMPANY ACT CHANGES,ocd-jurisdiction/country:us/state:nm/government,text/html,http://www.nmlegis.gov/Sessions/18%20Regular/bills/senate/SB0137.HTML,introduced version
44b07d93-13bf-479a-a6ba-6a14bf11e467,2018,SB 137,TRUST COMPANY ACT CHANGES,ocd-jurisdiction/country:us/state:nm/government,application/pdf,http://www.nmlegis.gov/Sessions/18%20Regular/bills/senate/SB0137.PDF,introduced version
5a5b9311-273c-4139-9e08-48f2c1a818ed,2018,SM 27,"""BOY SCOUTS OF AMERICA DAY""",ocd-jurisdiction/country:us/state:nm/government,application/pdf,http://www.nmlegis.gov/Sessions/18%20Regular/final/SM027.PDF,Final Version
88097a29-e80f-4836-89d5-4ee35e0a0bd6,2019,SM 7,"""BETTER HEARING & SPEECH MONTH""",ocd-jurisdiction/country:us/state:nm/government,text/html,http://www.nmlegis.gov/Sessions/19%20Regular/memorials/senate/SM007.HTML,introduced version
88097a29-e80f-4836-89d5-4ee35e0a0bd6,2019,SM 7,"""BETTER HEARING & SPEECH MONTH""",ocd-jurisdiction/country:us/state:nm/government,application/pdf,http://www.nmlegis.gov/Sessions/19%20Regular/memorials/senate/SM007.PDF,introduced version
689fbc84-0cba-4091-bbef-9f79fae70813,2018,SB 135,OIL & GAS ACT PENALTIES & PROTESTS,ocd-jurisdiction/country:us/state:nm/government,text/html,http://www.nmlegis.gov/Sessions/18%20Regular/bills/senate/SB0135.HTML,introduced version
689fbc84-0cba-4091-bbef-9f79fae70813,2018,SB 135,OIL & GAS ACT PENALTIES & PROTESTS,ocd-jurisdiction/country:us/state:nm/government,application/pdf,http://www.nmlegis.gov/Sessions/18%20Regular/bills/senate/SB0135.PDF,introduced version
d99e97d3-8ddd-4bc8-95fb-95a70be4a10e,2019,SB 256,PERFORMANCE EXCELLENCE PROGRAM,ocd-jurisdiction/country:us/state:nm/government,text/html,http://www.nmlegis.gov/Sessions/19%20Regular/bills/senate/SB0256.HTML,introduced version
d99e97d3-8ddd-4bc8-95fb-95a70be4a10e,2019,SB 256,PERFORMANCE EXCELLENCE PROGRAM,ocd-jurisdiction/country:us/state:nm/government,application/pdf,http://www.nmlegis.gov/Sessions/19%20Regular/bills/senate/SB0256.PDF,introduced version
e8da65a6-426a-4b51-93f5-3a122c5cefe3,2019,HB 436,ALIGN HEALTH INSURANCE LAW WITH FEDERAL LAW,ocd-jurisdiction/country:us/state:nm/government,text/html,http://www.nmlegis.gov/Sessions/19%20Regular/bills/house/HB0436.HTML,introduced version
