id,session,identifier,title,jurisdiction_id,media_type,url,note
851ef507-cb2f-44eb-8e0b-320a49ffe006,80,SB 15,Provides for the establishment of incident management assistance teams. (BDR 36-351),ocd-jurisdiction/country:us/state:nv/government,application/pdf,https://www.leg.state.nv.us/Session/80th2019/Bills/SB/SB15_R1.pdf,Reprint 1
f1d0739a-824e-45bd-baef-de7829cf3699,80,AB 145,Revises provisions governing school safety. (BDR 34-23),ocd-jurisdiction/country:us/state:nv/government,application/pdf,https://www.leg.state.nv.us/Session/80th2019/Bills/AB/AB145.pdf,As Introduced
b581374d-ecba-4515-b37c-9d801cd5cbdb,80,AB 416,"Revises provisions relating to the imposition and collection of fines, administrative assessments, fees or restitution. (BDR 14-429)",ocd-jurisdiction/country:us/state:nv/government,application/pdf,https://www.leg.state.nv.us/Session/80th2019/Bills/Amendments/A_AB416_366.pdf,Amendment 366
6158bf78-14df-4e1c-9799-19280308cfa8,79,AB 507,"Makes appropriations to the Department of Public Safety for the replacement of vehicles, pickup trucks and motorcycles for the Nevada Highway Patrol. (BDR S-1202)",ocd-jurisdiction/country:us/state:nv/government,application/pdf,http://www.leg.state.nv.us/Session/79th2017/Bills/AB/AB507_R1.pdf,1st Reprint
1735f75a-3894-4c75-93b6-e37df9322552,80,AB 414,Makes an appropriation to provide grants to assist senior citizens and certain other persons with independent living. (BDR S-101),ocd-jurisdiction/country:us/state:nv/government,application/pdf,https://www.leg.state.nv.us/Session/80th2019/Bills/AB/AB414_EN.pdf,As Enrolled
7ef5ad63-e7b9-4a10-bdf7-b9623d46463f,80,AB 290,Revises provisions relating to occupational safety and health. (BDR 53-286),ocd-jurisdiction/country:us/state:nv/government,application/pdf,https://www.leg.state.nv.us/Session/80th2019/Bills/AB/AB290_EN.pdf,As Enrolled
ea78415d-2fc9-4620-96ef-d7c2805b11c5,80,AB 436,Revises provisions governing certain tax exemptions for veterans. (BDR 32-998),ocd-jurisdiction/country:us/state:nv/government,application/pdf,https://www.leg.state.nv.us/Session/80th2019/Bills/AB/AB436.pdf,As Introduced
73dcb9ea-cdac-432a-a307-834230682b4c,80,SB 369,Revises provisions relating to increasing the cost of prescription drugs under a pharmacy benefits plan. (BDR 57-735),ocd-jurisdiction/country:us/state:nv/government,application/pdf,https://www.leg.state.nv.us/Session/80th2019/Bills/SB/SB369.pdf,As Introduced
5888df56-2c69-481d-9acd-8a341b985418,80,AB 189,Revises provisions relating to warrants for the search of a person. (BDR 14-958),ocd-jurisdiction/country:us/state:nv/government,application/pdf,https://www.leg.state.nv.us/Session/80th2019/Bills/AB/AB189_EN.pdf,As Enrolled
af93169a-7f98-4307-be0a-7726294c6ce4,80,SB 263,"Revises provisions relating to the regulation and taxation of certain vapor products, alternative nicotine products and tobacco products. (BDR 32-700)",ocd-jurisdiction/country:us/state:nv/government,application/pdf,https://www.leg.state.nv.us/Session/80th2019/Bills/Amendments/A_SB263_R1_1036.pdf,Amendment 1036
fa6af09c-9c15-4467-a0e1-b5e001fdf781,79,AB 326,Revises provisions relating to reports of presentence investigations and general investigations. (BDR 14-1117),ocd-jurisdiction/country:us/state:nv/government,application/pdf,http://www.leg.state.nv.us/Session/79th2017/Bills/AB/AB326_EN.pdf,As Enrolled
ec8dc373-066d-4662-91d9-ea5a31380dc2,80,AB 83,Makes various changes to provisions relating to wildlife. (BDR 45-210),ocd-jurisdiction/country:us/state:nv/government,application/pdf,https://www.leg.state.nv.us/Session/80th2019/Bills/AB/AB83_R1.pdf,Reprint 1
9f023ac2-085d-42f9-89eb-c6c82e2c27f8,80,AB 329,Revises provisions governing administrative regulations. (BDR 18-946),ocd-jurisdiction/country:us/state:nv/government,application/pdf,https://www.leg.state.nv.us/Session/80th2019/Bills/AB/AB329.pdf,As Introduced
