id,session,identifier,title,jurisdiction_id,media_type,url,note
04b0a407-4edd-47ca-bb8e-1cd3343699a4,2017-2018,A 2417,Relates to annual teacher and principal evaluations,ocd-jurisdiction/country:us/state:ny/government,text/html,http://assembly.state.ny.us/leg/?sh=printbill&bn=A2417&term=2017,A2417 HTML
4fd0eab7-f28e-4b1f-b5f9-4eb08f05171c,2017-2018,A 4529,Relates to the commercial display of human remains,ocd-jurisdiction/country:us/state:ny/government,application/pdf,http://legislation.nysenate.gov/pdf/bills/2017/A4529,A4529 PDF
aa1589d5-1d3e-40ec-9e62-c57459afd987,2019-2020,J 531,Congratulating the Clymer/Sherman/Panama Football Team upon the occasion of capturing the 2018 NYSPHSAA Class D Football Championship,ocd-jurisdiction/country:us/state:ny/government,application/pdf,http://legislation.nysenate.gov/pdf/bills/2019/J531,J531 PDF
6be58f41-4c92-4a1b-8e39-bcc1b0d12d14,2017-2018,A 7590,Relates to agricultural trailers being covered under the towing vehicles liability insurance,ocd-jurisdiction/country:us/state:ny/government,application/pdf,http://legislation.nysenate.gov/pdf/bills/2017/A7590,A7590 PDF
2afdcf7c-20c3-4212-a181-478484f1a5d6,2017-2018,A 1754,Relates to discretionary buying thresholds,ocd-jurisdiction/country:us/state:ny/government,application/pdf,http://legislation.nysenate.gov/pdf/bills/2017/A1754,A1754 PDF
9853a98a-6b18-4cf0-be04-b5843a2de50d,2019-2020,A 764,Provides for assistance to disabled drivers at gas stations,ocd-jurisdiction/country:us/state:ny/government,text/html,http://assembly.state.ny.us/leg/?sh=printbill&bn=A764&term=2019,A764 HTML
75b02440-89f0-45ff-8655-98fdf7ab424e,2017-2018,K 261,"Memorializing Governor Andrew M. Cuomo to proclaim April 2017, as Organ and Tissue Donor Awareness Month in the State of New York",ocd-jurisdiction/country:us/state:ny/government,application/pdf,http://legislation.nysenate.gov/pdf/bills/2017/K261,K261 PDF
e71e447a-90f6-4ede-b7f4-64f3d0f62048,2017-2018,S 4253,Grants membership in the New York state and local employees' retirement system to Adam Markel,ocd-jurisdiction/country:us/state:ny/government,text/html,http://assembly.state.ny.us/leg/?sh=printbill&bn=S4253&term=2017,S4253 HTML
725f0f14-525a-4e03-bb6f-85695910f4ca,2017-2018,S 8778,Relates to permitting the Grand Island central school district to establish an insurance reserve fund,ocd-jurisdiction/country:us/state:ny/government,application/pdf,http://legislation.nysenate.gov/pdf/bills/2017/S8778,S8778 PDF
43bfb781-7ebb-4508-ba1b-7690eab68555,2019-2020,S 4084,Provides that records of eviction proceeding shall be sealed when the leased property was foreclosed upon,ocd-jurisdiction/country:us/state:ny/government,text/html,http://assembly.state.ny.us/leg/?sh=printbill&bn=S4084&term=2019,S4084 HTML
2c64257f-008c-4288-a148-921376b099f2,2017-2018,A 6469,Authorizes the commissioner of education to make a payment for the allotted balance of state aid to which the Little Falls school district is entitled,ocd-jurisdiction/country:us/state:ny/government,application/pdf,http://legislation.nysenate.gov/pdf/bills/2017/A6469,A6469 PDF
0893f5a8-aed9-4b75-86f3-5d66cffef4b6,2019-2020,A 8202,Removes library taxes of the Shelter Rock library district from real property located in that portion of such library district that is located within the Bryant library district,ocd-jurisdiction/country:us/state:ny/government,text/html,http://assembly.state.ny.us/leg/?sh=printbill&bn=A8202&term=2019,A8202 HTML
a8f22cfe-52e5-42f4-a6f9-a41380aadca2,2017-2018,S 2214A,Relates to reporting requirements of SUNY and CUNY,ocd-jurisdiction/country:us/state:ny/government,text/html,http://assembly.state.ny.us/leg/?sh=printbill&bn=S2214A&term=2017,S2214 HTML
90177bc2-6cb7-4dbe-b764-3b6a1426789f,2017-2018,J 2819,Commending Endico Watercolor Originals upon the occasion of celebrating its 40th Anniversary,ocd-jurisdiction/country:us/state:ny/government,application/pdf,http://legislation.nysenate.gov/pdf/bills/2017/J2819,J2819 PDF
