id,session,identifier,title,jurisdiction_id,media_type,url,note
db8edb12-9120-4373-8f23-d7e14b80b67d,133,SB 34,"Regards school employment, educator licensure, and conduct",ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/sb34/IN/00?format=pdf,As Introduced
331f9a7a-764c-4d94-850f-9234c7782f09,132,HB 430,Expand sales tax exemption for oil and gas production property,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_132/bills/hb430/RCS/04?format=pdf,As Re-referred to the Senate Rules and Reference Committee
a3f762e6-525b-4bd1-a4ae-983fb81fa0fa,132,HR 261,Relative to travel allowance.,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_132/resolutions/hr261/AH/01?format=pdf,As Adopted by the House
e373cd16-5d91-45e5-b2fe-0b7874162ca2,133,HR 81,Honoring Taylor Farmer on winning a 2019 World Shooting Para Sport World Cup Bronze Medal.,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/resolutions/hr81/IN/00?format=pdf,As Offered
7ac985c5-ad3e-49bf-8e24-a2f97a861224,132,HB 158,Receive unemployment comp if quit to accompany military spouse,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_132/bills/hb158/RH/01?format=pdf,"As Reported by the House Armed Services, Veterans Affairs, and Homeland Security Committee"
b0a5ef44-1197-4e2e-844d-69b7f60ba328,133,SR 177,Honoring Dr. Rattan Lal on receiving the 2019 Japan Prize.,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/resolutions/sr177/IN/00?format=pdf,As Introduced
e1693da4-77bf-4e43-a490-2c56ca40c6bc,132,HB 628,Regards qualifications for a resident educator license,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_132/bills/hb628/IN/00?format=pdf,As Introduced
25ebddf6-a33b-49a8-89fd-001272a78222,133,SB 136,Establish payment assurance for registered design professionals,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/sb136/IN/00?format=pdf,As Introduced
ce69e554-094a-42f2-950c-99af11b7e126,132,SR 92,"Recognizing the Month of the Military Child in Ohio, April 2017.",ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_132/resolutions/sr92/AS/01?format=pdf,As Adopted by the Senate
ea238396-c54e-411d-b193-c322da0dc70f,132,HJR 11,Require annual election of public employee representative,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_132/resolutions/hjr11/IN/00?format=pdf,As Introduced
ac09acff-813e-4b78-bb01-63ed98d73474,132,HB 94,Designate Teen Dating Violence Awareness Month,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_132/bills/hb94/IN/00?format=pdf,As Introduced
3811eb7e-70c8-4e7b-baeb-c087bf52d987,133,HB 63,Regards pharmacy benefit managers/disclosure of drug prices,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb63/IN/00?format=pdf,As Introduced
ba318b9a-b495-4db3-9723-ea1de198c373,132,SR 167,Honoring Abby Steiner on her exemplary performance at the 2017 Division I State Track and Field Meet.,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_132/resolutions/sr167/IN/00?format=pdf,As Introduced
c48f1674-40ae-4536-ac49-967074a5c954,132,HB 726,Regards drug prescribing arrangements  and concussed athletes,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_132/bills/hb726/IN/00?format=pdf,As Introduced
f942de8f-008a-4b21-8485-723835d6238a,132,SR 662,Honoring the Perry High School softball team as the 2018 Division I State Champion.,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_132/resolutions/sr662/AS/01?format=pdf,As Adopted by the Senate
122900ef-c492-42e1-bae4-927ad7caa2f0,133,SR 265,Honoring Drew Roberts as a 2019 Division III State track and field champion.,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/resolutions/sr265/AS/01?format=pdf,As Adopted by the Senate
a5d8cf0c-1714-4817-a259-0dcedd0d0706,132,HR 330,Honoring the Versailles High School girls volleyball team as the 2017 Division III State Champion.,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_132/resolutions/hr330/IN/00?format=pdf,As Offered
7c43e8a1-580f-4739-90c5-e85d53240275,132,HB 21,Verify community school enrollments,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_132/bills/hb21/EN/05?format=pdf,As Enrolled
c1dd26a2-be25-4c19-8236-a71823f8f726,133,SR 15,"Honoring United Church of Christ, Congregational, on its Bicentennial.",ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/resolutions/sr15/AS/01?format=pdf,As Adopted by the Senate
bf3a87a3-ad0d-49d8-972e-95e571743e7c,132,HB 283,Require juvenile judge to consent to adoption of abused children,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_132/bills/hb283/RH/01?format=pdf,As Reported by the House Criminal Justice Committee
e9eee192-9e6e-42b1-a624-f3ddab3037b2,133,HB 8,Regards foster caregiver training,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb8/IN/00?format=pdf,As Introduced
11797248-4d2c-4352-8de5-aa49bb2307be,132,HB 402,Revise state regulation of telephone companies,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_132/bills/hb402/PH/02?format=pdf,As Passed by the House
80666361-2c4c-4d34-aa41-8390285eb803,132,SB 24,Enact Consumer Installment Loan Act,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_132/bills/sb24/EN/05?format=pdf,As Enrolled
0f01ced4-7b0b-4df5-9415-1a370ab04f41,133,SR 30,The Ohio State University Medina County Extension 4-H Youth Development Program on its Centennial.,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/resolutions/sr30/AS/01?format=pdf,As Adopted by the Senate
7621374b-df5b-4bac-b6ac-47497ca934be,132,HR 524,Honoring Isabel Steinmetz as a 2018 USTA tumbling champion.,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_132/resolutions/hr524/IN/00?format=pdf,As Offered
222adda6-801e-43b3-873a-1fec1445ed2f,132,SR 418,Honoring the Youngstown Youth Flag Football Association 11-12 boys team as a 2018 NFL National Flag Football Champion.,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_132/resolutions/sr418/AS/01?format=pdf,As Adopted by the Senate
dca589dd-2fd0-453e-aeb9-f805510cd612,133,SR 55,Honoring Metropolitan Christian Methodist Episcopal Church on its Centennial.,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/resolutions/sr55/IN/00?format=pdf,As Introduced
89438e19-2eda-41d7-8adf-b7c22c35d166,133,SB 131,Change title of veterinary technician to veterinary nurse,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/sb131/IN/00?format=pdf,As Introduced
9e2f8a64-5f7b-4c6e-bf41-e6d9b649d4a2,132,SB 163,Modify qualifications for investing county inactive moneys,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_132/bills/sb163/PH/07?format=pdf,As Passed by the House
b0f7c9b6-6ab3-4a14-b6ad-2c4685cbb2f2,133,HR 59,Honoring DeJohn-Flynn-Mylott Funeral Homes and Crematory on its One Hundred Fiftieth Anniversary.,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/resolutions/hr59/IN/00?format=pdf,As Offered
398a7184-900a-41ce-a402-dd7f682b4f1f,132,HB 165,Designate Congenital Cytomegalovirus Awareness Month,ocd-jurisdiction/country:us/state:oh/government,application/pdf,http://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_132/bills/hb165/EN/05?format=pdf,As Enrolled
