id,session,identifier,title,jurisdiction_id,media_type,url,note
d2e356d2-cd79-497a-a460-7f3af6567fbd,2017-2018,HB 3059,Motor vehicles; Christian's Law; noncodification; effective date.,ocd-jurisdiction/country:us/state:ok/government,application/pdf,http://webserver1.lsb.state.ok.us/cf_pdf/2017-18 INT/hB/HB3059 INT.PDF,Introduced
97ec8eaa-9ea9-4a74-b9e9-3fc2fc68134d,2017-2018,SB 1476,Corporation Commission; modifying jurisdiction of Commission; establishing procedures for issuance of certain permits. Effective date.,ocd-jurisdiction/country:us/state:ok/government,application/pdf,http://webserver1.lsb.state.ok.us/cf_pdf/2017-18 INT/SB/SB1476 INT.PDF,Introduced
6b326254-7bd9-426f-9055-a7407b23cb0a,2019-2020,HB 1442,Sunset; State Board of Examiners of Perfusionists; re-creating Board; modifying termination date.,ocd-jurisdiction/country:us/state:ok/government,application/pdf,http://webserver1.lsb.state.ok.us/cf_pdf/2019-20 AMENDMENTS/Amendment & Engr/HB1442 SAHB & ENGR.PDF,Amended And Engrossed
925af45e-e0d3-4ef5-ad22-c08b0bac34ec,2017-2018,HB 3181,Cities and towns; creating the Cities and Towns Reform Act of 2018; noncodification; effective date.,ocd-jurisdiction/country:us/state:ok/government,application/pdf,http://webserver1.lsb.state.ok.us/cf_pdf/2017-18 INT/hB/HB3181 INT.PDF,Introduced
45634da7-d6f2-43dc-84d4-49dc1ee4e4e9,2019-2020,HB 1364,Career and work-readiness; directing Department of Commerce to review and approve career-readiness assessments and credentials; effective date; emergency.,ocd-jurisdiction/country:us/state:ok/government,application/pdf,http://webserver1.lsb.state.ok.us/cf_pdf/2019-20 INT/hB/HB1364 INT.PDF,Introduced
bec140cf-7e67-4526-98a2-7ad582004b64,2019-2020,SB 893,Income tax; reinstating deduction for certain expenses related to foster care; establishing certain requirement. Effective date.,ocd-jurisdiction/country:us/state:ok/government,application/pdf,http://webserver1.lsb.state.ok.us/cf_pdf/2019-20 FLOOR AMENDMENTS/Senate/SB893 (3-06-19) (SCOTT) RT FA1.PDF,SB893 (3-06-19) (SCOTT) RT FA1.PDF
bf052381-74a2-4c8d-85be-f4acf789ee53,2017-2018,HR 1026,"Proclamation; proclaiming Wednesday, February 28, 2018, IAFF Firefighter Day in the State of Oklahoma.",ocd-jurisdiction/country:us/state:ok/government,application/pdf,http://webserver1.lsb.state.ok.us/cf_pdf/2017-18 INT/hres/HR1026 INT.PDF,Introduced
406eff09-d22c-45db-8381-90ef08d03b84,2019-2020,SB 636,Criminal procedure; requiring law enforcement agencies to adopt policies related to electronic recording of custodial interrogations. Effective date.,ocd-jurisdiction/country:us/state:ok/government,application/pdf,http://webserver1.lsb.state.ok.us/cf_pdf/2019-20 AMENDMENTS/Amendment & Engr/SB636 HASB & ENGR.PDF,Amended And Engrossed
99c7b2f2-5a87-4185-92f7-4eac71ca88db,2019-2020,SB 198,Social media; requiring the development of social networking and social media policy and standards. Effective date.,ocd-jurisdiction/country:us/state:ok/government,application/pdf,http://webserver1.lsb.state.ok.us/cf_pdf/2019-20 ENGR/SB/SB198 ENGR.PDF,Engrossed
052e27e0-17bd-452c-b2d1-58665b998683,2017-2018,HB 3609,Higher education; creating the Oklahoma Higher Education Funding Act II of 2018; effective date.,ocd-jurisdiction/country:us/state:ok/government,application/pdf,http://webserver1.lsb.state.ok.us/cf_pdf/2017-18 INT/hB/HB3609 INT.PDF,Introduced
