id,session,identifier,title,jurisdiction_id,media_type,url,note
2db41fa3-5ef7-44d1-b915-e73dad960483,2019 Regular Session,HB 2645,Relating to mandatory overtime for corrections employees; declaring an emergency.,ocd-jurisdiction/country:us/state:or/government,application/pdf,https://olis.leg.state.or.us/liz/2019R1/Downloads/MeasureDocument/HB2645/Introduced,Introduced
a0aea34a-5ea3-4b4a-ba32-ae7d87354aec,2019 Regular Session,HB 2786,Relating to the status of district attorneys in the Public Employees Retirement System.,ocd-jurisdiction/country:us/state:or/government,application/pdf,https://olis.leg.state.or.us/liz/2019R1/Downloads/ProposedAmendment/15550,HBL Amendment -3
fa168afc-aa92-49e4-a067-70b60af240be,2017 Regular Session,HB 3077,Relating to crime victims.,ocd-jurisdiction/country:us/state:or/government,application/pdf,https://olis.leg.state.or.us/liz/2017R1/Downloads/MeasureDocument/HB3077/House Amendments to Introduced,House Amendments to Introduced
8adf8f2d-2d70-46c9-8966-6b78f00b754b,2017 Regular Session,HB 3038,Relating to school funding; declaring an emergency.,ocd-jurisdiction/country:us/state:or/government,application/pdf,https://olis.leg.state.or.us/liz/2017R1/Downloads/MeasureDocument/HB3038/Introduced,Introduced
e1d6c26f-db7a-423d-8d4c-927fc12f838d,2019 Regular Session,SB 128,Relating to supervision of fluoroscopy; and declaring an emergency.,ocd-jurisdiction/country:us/state:or/government,application/pdf,https://olis.leg.state.or.us/liz/2019R1/Downloads/MeasureDocument/SB128/Senate Amendments to Introduced,Senate Amendments to Introduced
6ec9d423-be30-4850-bfef-aa3d580670c2,2019 Regular Session,HB 2277,Relating to identifying individuals who are required to report as lobbyists.,ocd-jurisdiction/country:us/state:or/government,application/pdf,https://olis.leg.state.or.us/liz/2019R1/Downloads/MeasureDocument/HB2277/Introduced,Introduced
99dd9e61-d5db-41c6-9b70-48dfd772cec7,2017 Regular Session,HB 2119,Relating to tax on cigarettes; prescribing an effective date; providing for revenue raising that requires approval by a three-fifths majority.,ocd-jurisdiction/country:us/state:or/government,application/pdf,https://olis.leg.state.or.us/liz/2017R1/Downloads/MeasureDocument/HB2119/Introduced,Introduced
7834ef95-ecdd-4f9d-a49f-b692732f2f6b,2019 Regular Session,HB 2559,Relating to tax credits for employing youth workers; prescribing an effective date.,ocd-jurisdiction/country:us/state:or/government,application/pdf,https://olis.leg.state.or.us/liz/2019R1/Downloads/MeasureDocument/HB2559/Introduced,Introduced
03612b2f-bbc2-4f26-9a76-ea4e56189ba8,2019 Regular Session,HB 3410,Relating to a child tax credit; prescribing an effective date.,ocd-jurisdiction/country:us/state:or/government,application/pdf,https://olis.leg.state.or.us/liz/2019R1/Downloads/MeasureDocument/HB3410/Introduced,Introduced
b621d7a7-717b-4d46-8909-ae242d40f54c,2019 Regular Session,SB 207,Relating to apportionment of corporate income; prescribing an effective date.,ocd-jurisdiction/country:us/state:or/government,application/pdf,https://olis.leg.state.or.us/liz/2019R1/Downloads/MeasureDocument/SB207/Introduced,Introduced
