id,session,identifier,title,jurisdiction_id,media_type,url,note
4d8ab203-96e7-4436-a4fb-8a49e3105c5f,2019-2020,SB 397,"An Act designating the interchange of the Mon-Fayette Expressway, Pennsylvania Route 43 and U.S. Route 119 in North Union Township, Fayette County, as the Senator Richard A. Kasunic Interchange.",ocd-jurisdiction/country:us/state:pa/government,text/html,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2019&sessInd=0&billBody=S&billTyp=B&billNbr=0397&pn=0379,Printer's No. 0379
4d8ab203-96e7-4436-a4fb-8a49e3105c5f,2019-2020,SB 397,"An Act designating the interchange of the Mon-Fayette Expressway, Pennsylvania Route 43 and U.S. Route 119 in North Union Township, Fayette County, as the Senator Richard A. Kasunic Interchange.",ocd-jurisdiction/country:us/state:pa/government,application/pdf,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2019&sessInd=0&billBody=S&billTyp=B&billNbr=0397&pn=0379,Printer's No. 0379
4d8ab203-96e7-4436-a4fb-8a49e3105c5f,2019-2020,SB 397,"An Act designating the interchange of the Mon-Fayette Expressway, Pennsylvania Route 43 and U.S. Route 119 in North Union Township, Fayette County, as the Senator Richard A. Kasunic Interchange.",ocd-jurisdiction/country:us/state:pa/government,application/msword,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=DOC&sessYr=2019&sessInd=0&billBody=S&billTyp=B&billNbr=0397&pn=0379,Printer's No. 0379
9e56c089-e950-4882-912b-c44651310861,2017-2018,HR 534,A Resolution honoring the continued work of the United Service Organizations in forwarding its mission to enhance the quality of life of military members and their families.,ocd-jurisdiction/country:us/state:pa/government,text/html,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2017&sessInd=0&billBody=H&billTyp=R&billNbr=0534&pn=2502,Printer's No. 2502
9e56c089-e950-4882-912b-c44651310861,2017-2018,HR 534,A Resolution honoring the continued work of the United Service Organizations in forwarding its mission to enhance the quality of life of military members and their families.,ocd-jurisdiction/country:us/state:pa/government,application/pdf,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2017&sessInd=0&billBody=H&billTyp=R&billNbr=0534&pn=2502,Printer's No. 2502
9e56c089-e950-4882-912b-c44651310861,2017-2018,HR 534,A Resolution honoring the continued work of the United Service Organizations in forwarding its mission to enhance the quality of life of military members and their families.,ocd-jurisdiction/country:us/state:pa/government,application/msword,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=DOC&sessYr=2017&sessInd=0&billBody=H&billTyp=R&billNbr=0534&pn=2502,Printer's No. 2502
6875d917-4ec8-410b-b83e-6168eb225a94,2017-2018,HR 1005,"A Resolution designating the week of August 6 through 10, 2018, as ""YMCA Advocacy Week"" in Pennsylvania.",ocd-jurisdiction/country:us/state:pa/government,text/html,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2017&sessInd=0&billBody=H&billTyp=R&billNbr=1005&pn=3806,Printer's No. 3806
6875d917-4ec8-410b-b83e-6168eb225a94,2017-2018,HR 1005,"A Resolution designating the week of August 6 through 10, 2018, as ""YMCA Advocacy Week"" in Pennsylvania.",ocd-jurisdiction/country:us/state:pa/government,application/pdf,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2017&sessInd=0&billBody=H&billTyp=R&billNbr=1005&pn=3806,Printer's No. 3806
6875d917-4ec8-410b-b83e-6168eb225a94,2017-2018,HR 1005,"A Resolution designating the week of August 6 through 10, 2018, as ""YMCA Advocacy Week"" in Pennsylvania.",ocd-jurisdiction/country:us/state:pa/government,application/msword,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=DOC&sessYr=2017&sessInd=0&billBody=H&billTyp=R&billNbr=1005&pn=3806,Printer's No. 3806
b2461ae6-d40b-4e48-b3a6-1cb4ed3ec7a6,2019-2020,HB 874,"An Act amending Title 75 (Vehicles) of the Pennsylvania Consolidated Statutes, in miscellaneous provisions, further providing for the offenses of homicide by vehicle while driving under influence and for aggravated assault by vehicle while driving under the influence.",ocd-jurisdiction/country:us/state:pa/government,text/html,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2019&sessInd=0&billBody=H&billTyp=B&billNbr=0874&pn=0990,Printer's No. 0990
