id,session,identifier,title,jurisdiction_id,media_type,url,note
272c674b-24c1-409d-afe3-ce3c1336552c,851,HB 99,Relating to testimony by an appraisal district employee as to the value of real property in certain ad valorem tax appeals.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/851/billtext/html/house_bills/HB00001_HB00099/HB00099I.htm,Introduced
9bdd2a23-9895-437a-9fb7-1ee32e2fa525,86,HB 1391,Relating to inspections of solid waste facilities conducted by the Texas Commission on Environmental Quality.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/house_bills/HB01300_HB01399/HB01391I.htm,Introduced
e0d2148a-400a-4339-a87a-d275cedec23a,86,SB 1990,Relating to changes to an application for an environmental permit before a contested case hearing on the application.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/senate_bills/SB01900_SB01999/SB01990I.htm,Introduced
ad3348b4-667b-4fee-8114-40c2fa58569a,86,HB 3882,Relating to safety training for certain public school extracurricular activities.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/house_bills/HB03800_HB03899/HB03882I.htm,Introduced
831e3a39-ff18-4b99-9c82-a65a3d3df8a1,86,HB 1730,Relating to the approval of the establishment or expansion of open-enrollment charter schools and the application of facility standards to those schools.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/house_bills/HB01700_HB01799/HB01730I.htm,Introduced
ef84b4dd-b027-4cb3-9a3f-df23de67d54e,86,HR 398,"Recognizing March 20, 2019, as Texas Anesthesiologists Day at the State Capitol.",ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/house_resolutions/HR00300_HR00399/HR00398F.htm,Enrolled
2bdd72e8-8531-4640-9f96-709871d04510,86,SB 1663,"Relating to the removal, relocation, alteration, or construction of certain monuments or memorials located on public property; providing civil penalties.",ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/senate_bills/SB01600_SB01699/SB01663H.htm,House Committee Report
c37e2916-b417-4282-a24a-c92a83e5b720,86,SB 1543,Relating to notice requirements regarding the right to record certain interviews conducted by the Department of Family and Protective Services.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/senate_bills/SB01500_SB01599/SB01543E.htm,Engrossed
f4c9fd55-51fe-428a-8562-239618f62407,86,SB 1790,Relating to peer specialists and the provision of peer services to individuals with an intellectual or developmental disability.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/senate_bills/SB01700_SB01799/SB01790I.htm,Introduced
9edf92ba-ec91-4489-90ef-6873855dd9e6,86,HB 2642,Relating to reporting the number of incidents of bullying and cyberbullying in a school district and open-enrollment charter school through the Public Education Information Management System.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/house_bills/HB02600_HB02699/HB02642E.htm,Engrossed
7819d59f-3ac3-49d1-9dee-7c189cc945cd,86,HB 347,Relating to consent annexation requirements.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/house_bills/HB00300_HB00399/HB00347F.htm,Enrolled
4f233abd-6e7b-41d9-89f9-1ac70f59eadf,86,HB 1465,Relating to a study on expanding recovery housing in this state.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/house_bills/HB01400_HB01499/HB01465I.htm,Introduced
19bb4b9e-10f7-4e2e-87b7-6ae5664835ca,86,HB 4079,Relating to the terms and renewal of oyster certificates of location.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/house_bills/HB04000_HB04099/HB04079I.htm,Introduced
783e2ed6-60e7-4fd2-ae5f-59ed6d46fc35,86,SB 881,Relating to withdrawals of water from the Edwards Aquifer to supply a military installation.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/senate_bills/SB00800_SB00899/SB00881H.htm,House Committee Report
84848b86-c721-4d7c-b283-1dbfa49e1409,86,SB 18,Relating to the protection of expressive activities at public institutions of higher education.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/senate_bills/SB00001_SB00099/SB00018S.htm,Senate Committee Report
da955fd6-57fb-4a7c-9645-c8cf9f06856c,86,SB 1134,Relating to the designation of a portion of Farm-to-Market Road 734 in Austin as the Master Sergeant Jonathan J. Dunbar Memorial Parkway.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/senate_bills/SB01100_SB01199/SB01134H.htm,House Committee Report
bc7c3741-34cf-4f67-be67-e3d499972a7c,86,HR 1197,Commemorating the 75th anniversary of the death of Marine Private First Class Charles Howard Roan and his posthumous receipt of the Congressional Medal of Honor.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/house_resolutions/HR01100_HR01199/HR01197F.htm,Enrolled
fa4b0fef-75af-402d-aef1-2e2451e73821,851,HR 28,In memory of John A. Pope III of Rio Grande City.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/851/billtext/html/house_resolutions/HR00001_HR00099/HR00028I.htm,Introduced
bcf403cd-af6a-4cdd-b377-de5b442fe37f,86,SB 1776,Relating to the development of an elective course for public high school students on the founding principles of the United States and the posting of the founding documents of the United States in public school buildings.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/senate_bills/SB01700_SB01799/SB01776H.htm,House Committee Report
5138b538-c9b3-49b3-adbe-598bb81e7072,86,HB 1893,Relating to the removal of the seal and duplicative sanction provisions for dietitians.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/house_bills/HB01800_HB01899/HB01893I.htm,Introduced
fb8934a1-3cbb-4a5a-ab6c-334ee97d9010,86,SB 2223,Relating to the efficient provision of pilot services by the board of pilot commissioners for Harris County ports.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/senate_bills/SB02200_SB02299/SB02223E.htm,Engrossed
9a317dfc-5bea-4207-a30f-ebc772301a7b,86,HR 1755,Congratulating Quentin Zapata of Devine High School on his victory in the 4A 110-meter hurdles at the 2019 UIL Track & Field State Meet.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/house_resolutions/HR01700_HR01799/HR01755I.htm,Introduced
3c8b4853-9aaa-4989-8012-c6eefa25d0a2,86,HR 989,Honoring Father David Garcia for his service as the archdiocesan director of the Old Spanish Missions in San Antonio.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/house_resolutions/HR00900_HR00999/HR00989I.htm,Introduced
f0373b5f-e56f-4c26-b183-717587583f9a,86,HB 1622,Relating to the authority of a physician to provide and dispense and to delegate authority to provide and dispense certain drugs.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/house_bills/HB01600_HB01699/HB01622I.htm,Introduced
019e206f-940a-468c-b7ec-de17188eee73,86,HB 1539,Relating to the punishment for the criminal offense of tampering with or fabricating physical evidence.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/house_bills/HB01500_HB01599/HB01539H.htm,House Committee Report
6b2be453-b3ba-44dd-babb-a0a0a9e9f6ce,86,HB 1570,Relating to the board of directors of the Rayburn Country Municipal Utility District.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/house_bills/HB01500_HB01599/HB01570F.htm,Enrolled
3af61285-0ca7-4723-ae3c-f10f845d68db,86,HB 1619,Relating to court reporters and shorthand reporting firms; imposing a fee; creating a criminal offense.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/house_bills/HB01600_HB01699/HB01619I.htm,Introduced
f0c39ae3-bac3-4b2f-a7a4-ce5b048b596f,86,HB 1790,Relating to a study on state lottery advertisement and promotion.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/house_bills/HB01700_HB01799/HB01790H.htm,House Committee Report
5be0b762-8252-4a29-a3a3-20ee0852ba77,86,HB 1066,Relating to extensions of an expired permit for the transfer of groundwater from a groundwater conservation district.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/house_bills/HB01000_HB01099/HB01066S.htm,Senate Committee Report
8a7a0f59-c2c2-431e-8a00-be03ea2461d0,86,SB 934,Relating to judicial review of certain workers' compensation disputes.,ocd-jurisdiction/country:us/state:tx/government,text/html,ftp://ftp.legis.state.tx.us/bills/86R/billtext/html/senate_bills/SB00900_SB00999/SB00934E.htm,Engrossed
