id,session,identifier,title,jurisdiction_id,media_type,url,note
9a4ebd88-7b11-4517-98b6-958de9f32241,2017,S.B. 15,Agriculture Protection Area and Industrial Protection Area Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2017/bills/sbillenr/SB0015.pdf,Enrolled
33865e6a-efa0-4d93-a029-6c50324b8ed4,2019,H.B. 189,H.B. 189 Theft Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2019/bills/hbillint/HB0189S01.pdf,Introduced
4ad2b521-786e-44cc-8eb4-f95c63c482b7,2017,S.J.R. 6,S.J.R. 6 Joint Resolution Urging Legislative Approval for the Lease of Water Rights by the State Developmental Center,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2017/bills/sbillint/SJR006S01.pdf,Introduced
c85f193f-1600-4400-a634-66b9c486ef39,2019,H.B. 338,Changes to Tobacco Retail Permit,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2019/bills/hbillenr/HB0338.pdf,Enrolled
305be85a-1bed-4a5c-8f4d-8b821878c1ad,2019,H.B. 281,H.B. 281 Prosecution Review Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2019/bills/hbillint/HB0281S02.pdf,Introduced
7c9eaa4b-e6fe-4eeb-b7b2-4e834902dcc7,2018,S.B. 219,Court Citation Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2018/bills/sbillenr/SB0219.pdf,Enrolled
8c237587-4caa-466d-bdd2-8eb202a74965,2018,H.B. 436,Officeholder Vacancy Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2018/bills/hbillint/HB0436.pdf,Introduced
d4afebad-99b2-4567-b951-be732d9afef5,2018,S.B. 133,Design and Build Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2018/bills/sbillint/SB0133.pdf,Introduced
ef296969-1be5-4062-b3a7-d33b607ecc21,2017,H.B. 69,Capital Facilities Revisions,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2017/bills/hbillint/HB0069.pdf,Introduced
778908e1-aba7-4991-aeaf-e1f190aff41f,2019,H.B. 97,Uniform Commercial Code Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2019/bills/hbillint/HB0097.pdf,Introduced
b544143b-233d-40dc-98de-47f0a9da9fc6,2017,H.B. 62,Educator Rights Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2017/bills/hbillint/HB0062.pdf,Introduced
fbd239d0-118c-4c29-8b46-cb340e0c43c0,2018,S.C.R. 12,Concurrent Resolution on Reducing Gang Activity,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2018/bills/sbillint/SCR012.pdf,Introduced
ed44429b-017b-4eec-b72c-588e31b95e42,2017,S.B. 246,S.B. 246 Pharmacy Practice Act Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2017/bills/sbillint/SB0246S01.pdf,Introduced
578947e4-2f47-44b5-a81b-e607fb0aeebe,2019,S.B. 231,Judicial Discretion in Sentencing Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2019/bills/sbillamd/SB0231.pdf,Amended
e0bec12b-41e1-4130-98ce-2c93d82950c3,2017,S.B. 231,Business Entities Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2017/bills/sbillint/SB0231.pdf,Introduced
eb30bb65-265c-4f83-886c-9879651f0c57,2018,H.B. 102,H.B. 102 Use of Force Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2018/bills/hbillenr/HB0102.pdf,Enrolled
7acf3342-6a13-4469-a866-bc100a27a57e,2018,H.B. 55,Veterans and Military Affairs Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2018/bills/hbillint/HB0055.pdf,Introduced
1d2a6401-637a-4244-b695-2584122cf40b,2017,S.B. 274,Medicaid Dental Waiver Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2017/bills/sbillenr/SB0274.pdf,Enrolled
cfe58549-c7b8-4d70-a348-e354b5930c49,2019,H.B. 224,Department of Heritage and Arts Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2019/bills/hbillamd/HB0224.pdf,Amended
038d8eae-807f-4bd1-8753-2eb877ea0b04,2018,H.B. 32,H.B. 32 Uniform Construction Code Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2018/bills/hbillenr/HB0032.pdf,Enrolled
84649a12-16d4-4abd-9087-f9ffea1013a8,2019,H.J.R. 8,H.J.R. 8 Proposal to Amend Utah Constitution - Slavery and Involuntary Servitude Prohibition,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2019/bills/hbillenr/HJR008.pdf,Enrolled
1c14c645-03e7-45da-877b-0a1cc2482dc6,2019,S.B. 133,Oppressive Conduct in a Closely Held Corporation,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2019/bills/sbillint/SB0133.pdf,Introduced
e0965cc5-f8f3-4098-b092-f2c86f84fb0c,2019,H.B. 445,Health Care Debt Collection Notice Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2019/bills/hbillamd/HB0445.pdf,Amended
275b81d2-a012-46f7-b35b-7b9076ea4e34,2019,H.B. 276,Rural Economic Development Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2019/bills/hbillamd/HB0276.pdf,Amended
bef80c78-959c-4616-aec9-41f3bd9638d1,2019,H.B. 57,H.B. 57 Electronic Information or Data Privacy,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2019/bills/hbillenr/HB0057.pdf,Enrolled
8f04fb53-c035-4b37-9fd4-c84bd1c4f4ec,2019,H.B. 1,Higher Education Base Budget,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2019/bills/hbillenr/HB0001.pdf,Enrolled
38bc7226-12ad-4cd4-bd3e-c88820b4921b,2018,S.B. 65,Child Neglect Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2018/bills/sbillint/SB0065.pdf,Introduced
ab50dbd2-878d-4d38-a3bf-4dddd9d22ada,2018,H.B. 359,Allocation of Fault Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2018/bills/hbillint/HB0359.pdf,Introduced
ec8f734e-2e75-4619-8a41-5dafc2a702bb,2019,H.B. 398,H.B. 398 Substance Use and Health Care Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2019/bills/hbillint/HB0398S03.pdf,Introduced
8772342d-ac67-43b7-b33c-f6061becbd70,2019,H.B. 418,Universal Background Checks for Firearm Purchasers,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2019/bills/hbillint/HB0418.pdf,Introduced
64ec1ae5-9859-44fb-88be-7caba07a273a,2019,H.B. 203,Homeless Shelter Funding Revisions,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2019/bills/hbillint/HB0203.pdf,Introduced
32ff1ece-b1ee-4757-8fd3-b0ee279ab7fb,2018,H.B. 60,Water Commissioner Amendments,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2018/bills/hbillint/HB0060.pdf,Introduced
432aca72-9f4b-4e19-84f3-c80744eee0c3,2017,S.B. 193,S.B. 193 Judicial Performance Evaluation Commission Modifications,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2017/bills/sbillenr/SB0193.pdf,Enrolled
df91daec-0da3-4fe7-bf69-c2e8614042c9,2017,S.B. 250,S.B. 250 Food Truck Licensing and Regulation,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2017/bills/sbillint/SB0250S01.pdf,Introduced
87265775-8bef-4482-ae7e-b54fb687c660,2018,H.C.R. 19,Concurrent Resolution Regarding the Impact of Federal Lands on the State Education System,ocd-jurisdiction/country:us/state:ut/government,application/pdf,http://le.utah.gov/~2018/bills/hbillenr/HCR019.pdf,Enrolled
