id,session,identifier,title,jurisdiction_id,media_type,url,note
1fecd0f3-0e09-4dad-ac56-99a6b920dc74,2017-2018,HB 2887,Addressing county commissioner elections.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2017-18/Htm/Bills/House%20Bills/2887.htm,Bill
4fbf745f-74c7-4b5d-8cb8-0e7590fd32e9,2017-2018,HB 1440,Establishing a student loan bill of rights.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2017-18/Htm/Bills/House%20Bills/1440-S2.htm,Second Substitute Bill
2f8cf221-bed4-46d9-a28d-d2e2ac89e5a9,2017-2018,HB 1355,Concerning the authority of the public safety review panel.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2017-18/Htm/Bills/House%20Bills/1355.htm,Bill
68a59629-da6b-4ce6-aed1-4cb96f439a27,2019-2020,SB 5175,Concerning firefighter safety.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2019-20/Htm/Bills/Senate%20Bills/5175.htm,Bill
8c7e3d7b-4204-427b-b72b-08f5e1664d6f,2017-2018,HB 2592,Concerning the efficient deployment of small cell network infrastructure.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2017-18/Htm/Bills/House%20Bills/2592.htm,Bill
ce95544c-8216-4af4-a4a8-b606f96e7056,2017-2018,HB 1831,Revising resource limitations for public assistance.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2017-18/Htm/Bills/House%20Bills/1831-S2.E.htm,Engrossed Second Substitute Bill
db1a1f23-e414-42da-96f7-05825b8485b7,2019-2020,HB 1542,Establishing a state student loan program.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2019-20/Htm/Bills/House%20Bills/1542.htm,Bill
875eb95f-dc8d-431f-b24f-42e090e6d52f,2017-2018,SB 5751,Concerning personnel requirements for municipal ambulance services.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2017-18/Htm/Bills/Senate%20Bills/5751.htm,Bill
181d20fb-6b43-45f0-aba2-444f1a5c8915,2017-2018,SB 5180,Establishing the legislative advisory committee on aging.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2017-18/Htm/Bills/Senate%20Bills/5180-S.E.htm,Engrossed Substitute Bill
5cca45f9-57d9-4595-968f-3fa2dbc258e2,2019-2020,HB 1143,Requiring notification of the discharge or use of firefighting foam containing certain chemicals.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2019-20/Htm/Bills/House%20Bills/1143.htm,Bill
efab741d-db25-40a0-8224-934506d91338,2017-2018,HB 1055,"Concerning pro bono legal services for military service members, veterans, and their families.",ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2017-18/Htm/Bills/House%20Bills/1055.htm,Bill
030e0ee6-aa62-44ad-92a3-6b64fd5a56ef,2019-2020,HB 1110,Reducing the greenhouse gas emissions associated with transportation fuels.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2019-20/Htm/Bills/House%20Bills/1110-S.htm,Substitute Bill
6f625cf1-0678-46f1-9827-afdc70bcb47d,2017-2018,HR 4665,Honoring the Union High School Percussion Ensemble.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2017-18/Htm/Bills/House%20Resolutions/4665-Union%20HS%20Percussion%20Ensemble.htm,Resolution
1f73a3ec-fc65-4a2d-8201-e3e56f04c4c5,2019-2020,HJM 4007,Designating the bridge over the Skookumchuck river on state route number 507 as the Regina Clark memorial bridge.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2019-20/Htm/Bills/House%20Joint%20Memorials/4007-S-Regina%20Clark%20memorial%20bridge.htm,Substitute Joint Memorial
90b93a57-8d93-45c9-8be5-e8b56d644c7e,2019-2020,SB 5162,Clarifying qualifications for jury service.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2019-20/Htm/Bills/Senate%20Bills/5162.htm,Bill
d864afd6-aa41-4727-8527-d599f35176e2,2019-2020,SB 5305,Concerning electric utility wildland fire prevention.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2019-20/Htm/Bills/Senate%20Bills/5305.htm,Bill
81656fcd-3e00-4e24-954f-6f8bd6feca1f,2019-2020,SB 5579,Concerning the volatility of crude oil received in the state by rail.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2019-20/Htm/Bills/Senate%20Bills/5579.htm,Bill
c3f15884-0cba-493e-abd7-2da66a6cb690,2017-2018,SB 5507,Concerning the use of automatic renewal provisions in business contracts.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2017-18/Htm/Bills/Senate%20Bills/5507.htm,Bill
8efc5f1e-a7b0-4e8f-99cc-fb70d6410967,2019-2020,SB 5647,Requiring health insurance payment parity for advanced registered nurse practitioners.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2019-20/Htm/Bills/Senate%20Bills/5647.htm,Bill
a37baa99-8a96-47c9-8b96-d88799d936dd,2019-2020,HB 1465,Concerning requirements for pistol sales or transfers.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2019-20/Htm/Bills/House%20Bills/1465.htm,Bill
36d38995-a47b-4711-8b4e-54e7c03aa9ce,2017-2018,SB 6601,Providing enhanced payment to small rural hospitals that meet the criteria of a sole community hospital.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2017-18/Htm/Bills/Senate%20Bills/6601.htm,Bill
d6508818-919f-4aec-b2fd-e4caf620227e,2017-2018,SB 5140,Concerning enforcement of the equal pay act and worker communications about wages and employment opportunities.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2017-18/Htm/Bills/Senate%20Bills/5140.htm,Bill
91df9abb-999c-47c8-9e3f-2b54e9624f6e,2019-2020,HB 1822,Concerning statewide election data collection and reporting standards.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2019-20/Htm/Bills/House%20Bills/1822.htm,Bill
532d04c9-3545-42b1-bba1-c9dc7fe12514,2017-2018,HB 2650,Providing early intervention services for eligible children.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2017-18/Htm/Bills/House%20Bills/2650.htm,Bill
da7fae13-1d5c-49ac-90bb-69b3bad589aa,2017-2018,HB 1066,Authorizing funeral planning and funeral services as noninsurance benefits under group life and disability insurance policies.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2017-18/Htm/Bills/House%20Bills/1066.htm,Bill
a28e9efc-b9e7-474a-9cce-54b623b3b85d,2019-2020,SB 5735,Concerning the appropriate age for juvenile court adjudication.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2019-20/Htm/Bills/Senate%20Bills/5735-S.htm,Substitute Bill
fa20a249-d0df-47aa-aaa5-da931f8216ba,2017-2018,HB 2685,Promoting preapprenticeship opportunities for high school students.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2017-18/Htm/Bills/House%20Bills/2685.htm,Bill
07ca5cf4-f8bd-42bd-a8ca-a5896a2b4871,2019-2020,SB 5829,Concerning pension benefits and contributions in the volunteer firefighters' and reserve officers' relief and pension system.,ocd-jurisdiction/country:us/state:wa/government,text/html,http://lawfilesext.leg.wa.gov/Biennium/2019-20/Htm/Bills/Senate%20Bills/5829.htm,Bill
