id,session,identifier,title,jurisdiction_id,media_type,url,note
314aaaef-5782-4dba-9ddb-9d540494f759,2017 Regular Session,AB 601,Relating to: length of contracts for GPS devices for tracking sex offenders and persons who violated injunctions.,ocd-jurisdiction/country:us/state:wi/government,text/html,http://docs.legis.wisconsin.gov/document/proposaltext/2017/REG/AB601,Bill Text
314aaaef-5782-4dba-9ddb-9d540494f759,2017 Regular Session,AB 601,Relating to: length of contracts for GPS devices for tracking sex offenders and persons who violated injunctions.,ocd-jurisdiction/country:us/state:wi/government,application/pdf,http://docs.legis.wisconsin.gov/document/proposaltext/2017/REG/AB601.pdf,Bill Text
a69e5916-0a16-436f-b954-4c32cd88dbaf,2019,SB 291,Relating to: holding a referendum to increase a political subdivision's levy limit. (FE),ocd-jurisdiction/country:us/state:wi/government,text/html,http://docs.legis.wisconsin.gov/document/proposaltext/2019/REG/SB291,Bill Text
a69e5916-0a16-436f-b954-4c32cd88dbaf,2019,SB 291,Relating to: holding a referendum to increase a political subdivision's levy limit. (FE),ocd-jurisdiction/country:us/state:wi/government,application/pdf,http://docs.legis.wisconsin.gov/document/proposaltext/2019/REG/SB291.pdf,Bill Text
862c99e5-02da-43d4-a651-9b6bb1434c57,2017 Regular Session,SB 446,"Relating to: plans for supervised release of sexually violent persons, representation of sexually violent persons by the state public defender, and making an appropriation. (FE)",ocd-jurisdiction/country:us/state:wi/government,text/html,http://docs.legis.wisconsin.gov/document/proposaltext/2017/REG/SB446,Bill Text
862c99e5-02da-43d4-a651-9b6bb1434c57,2017 Regular Session,SB 446,"Relating to: plans for supervised release of sexually violent persons, representation of sexually violent persons by the state public defender, and making an appropriation. (FE)",ocd-jurisdiction/country:us/state:wi/government,application/pdf,http://docs.legis.wisconsin.gov/document/proposaltext/2017/REG/SB446.pdf,Bill Text
be2a0da5-49ef-411c-9898-50a5d98473f8,2017 Regular Session,AJR 61,Relating to: recognizing November 19 as Tommy G. Thompson Day in Wisconsin.,ocd-jurisdiction/country:us/state:wi/government,text/html,http://docs.legis.wisconsin.gov/document/proposaltext/2017/REG/AJR61,Joint Resolution Text
be2a0da5-49ef-411c-9898-50a5d98473f8,2017 Regular Session,AJR 61,Relating to: recognizing November 19 as Tommy G. Thompson Day in Wisconsin.,ocd-jurisdiction/country:us/state:wi/government,application/pdf,http://docs.legis.wisconsin.gov/document/proposaltext/2017/REG/AJR61.pdf,Joint Resolution Text
e2610310-f293-4c47-9ff1-3469021036a5,2017 Regular Session,AR 21,Relating to: introduction of proposals in the assembly.,ocd-jurisdiction/country:us/state:wi/government,text/html,http://docs.legis.wisconsin.gov/document/proposaltext/2017/REG/AR21,Resolution Text
e2610310-f293-4c47-9ff1-3469021036a5,2017 Regular Session,AR 21,Relating to: introduction of proposals in the assembly.,ocd-jurisdiction/country:us/state:wi/government,application/pdf,http://docs.legis.wisconsin.gov/document/proposaltext/2017/REG/AR21.pdf,Resolution Text
c4ea860f-414f-4f6a-8543-939b57f6a173,2017 Regular Session,AJR 74,"Relating to: proclaiming October 9, 2017, as PANDAS and PANS Awareness Day.",ocd-jurisdiction/country:us/state:wi/government,text/html,http://docs.legis.wisconsin.gov/document/enrolledbills/2017/REG/AJR74,Enrolled Joint Resolution
c4ea860f-414f-4f6a-8543-939b57f6a173,2017 Regular Session,AJR 74,"Relating to: proclaiming October 9, 2017, as PANDAS and PANS Awareness Day.",ocd-jurisdiction/country:us/state:wi/government,application/pdf,http://docs.legis.wisconsin.gov/document/enrolledbills/2017/REG/AJR74.pdf,Enrolled Joint Resolution
