id,session,identifier,title,jurisdiction_id,media_type,url,note
442e9998-d6a5-41ba-b4d9-06815d283af8,2018,SR 3,Authorizing appointment of permanent and per diem employees,ocd-jurisdiction/country:us/state:wv/government,text/html,http://www.legis.state.wv.us/Bill_Status/bills_text.cfm?billdoc=sr3%20intr.htm&yr=2018&sesstype=RS&i=3&houseorig=s&billtype=r,Introduced Version
47c82b37-f53e-48d0-87ee-a1af121879b6,2018,HB 4288,Requiring contractors to provide all required information on a construction project to the State Fire Commission or the State Fire Marshall,ocd-jurisdiction/country:us/state:wv/government,text/html,http://www.legis.state.wv.us/Bill_Status/bills_text.cfm?billdoc=hb4288%20intr.htm&yr=2018&sesstype=RS&i=4288,Introduced Version
44f65e3b-1f62-47a4-9046-31f8b5fd2292,2019,HB 2203,West Virginia Contractor Licensing Act,ocd-jurisdiction/country:us/state:wv/government,text/html,http://www.legis.state.wv.us/Bill_Status/bills_text.cfm?billdoc=hb2203%20intr.htm&yr=2019&sesstype=RS&i=2203,Introduced Version
09676bd4-7c21-4bfe-8e27-b1848a97b67c,2018,SB 360,Clarifying oil and gas permits not be on flat well royalty leases,ocd-jurisdiction/country:us/state:wv/government,text/html,http://www.legis.state.wv.us/Bill_Status/bills_text.cfm?billdoc=SB360%20SUB1.htm&yr=2018&sesstype=RS&i=360,Committee Substitute
e7e9edd3-cb24-4931-a4fa-d81e440432a8,2019,HB 2295,"Racing Commission, rule relating to thoroughbred racing",ocd-jurisdiction/country:us/state:wv/government,text/html,http://www.legis.state.wv.us/Bill_Status/bills_text.cfm?billdoc=hb2295%20intr.htm&yr=2019&sesstype=RS&i=2295,Introduced Version
06590285-1aac-4a7e-86a5-98cd4d8c3653,2018,SB 616,Establishing maximum gross weight for certain wood-bearing trucks,ocd-jurisdiction/country:us/state:wv/government,text/html,http://www.legis.state.wv.us/Bill_Status/bills_text.cfm?billdoc=SB616%20SUB1%20ENR.htm&yr=2018&sesstype=RS&i=616,Enrolled Committee Substitute
bf871f6d-e944-45eb-90d5-4849f40ee885,2018,SR 72,Notifying Governor Legislature is ready to adjourn sine die,ocd-jurisdiction/country:us/state:wv/government,text/html,http://www.legis.state.wv.us/Bill_Status/bills_text.cfm?billdoc=sr72%20intr.htm&yr=2018&sesstype=RS&i=72&houseorig=s&billtype=r,Introduced Version
311319db-af6b-4e55-844f-afced67962d6,2019,HB 2890,Relating to the expansion of newborn testing to include Adrenoleukodystrophy,ocd-jurisdiction/country:us/state:wv/government,text/html,http://www.legis.state.wv.us/Bill_Status/bills_text.cfm?billdoc=hb2890%20intr.htm&yr=2019&sesstype=RS&i=2890,Introduced Version
ada96a73-7185-4606-b9a1-b6dc52e06516,2018,SB 470,Justice Through Grace in Communities Act,ocd-jurisdiction/country:us/state:wv/government,text/html,http://www.legis.state.wv.us/Bill_Status/bills_text.cfm?billdoc=SB470%20INTR.htm&yr=2018&sesstype=RS&i=470,Introduced Version
93d89eb2-1916-4a3c-b6ef-6caa24054b78,2019,HB 2949,Requiring applications for an instruction permit or a driver’s license desires to contain an option for contributions to the West Virginia Department of Veterans Assistance,ocd-jurisdiction/country:us/state:wv/government,text/html,http://www.legis.state.wv.us/Bill_Status/bills_text.cfm?billdoc=hb2949%20intr.htm&yr=2019&sesstype=RS&i=2949,Introduced Version
6e499a76-624c-4ad9-a6d1-c4f91bca96bb,20191S,SB 1039,Establishing Student Success Act,ocd-jurisdiction/country:us/state:wv/government,text/html,http://www.legis.state.wv.us/legisdocs/chamber/2019/1X/floor_amends/SB1039 SFA _1 TARR 6-1 adopted.htm,SB1039 SFA _1 TARR 6-1 adopted.htm
3b4083d5-ac57-4413-9a6d-f8ef0c7c300d,2019,SB 233,Relating to age requirements for deputy sheriff,ocd-jurisdiction/country:us/state:wv/government,text/html,http://www.legis.state.wv.us/Bill_Status/bills_text.cfm?billdoc=SB233%20INTR.htm&yr=2019&sesstype=RS&i=233,Introduced Version
43926fb1-1761-4ebc-877e-b675deed06bf,2019,HB 2813,Relating generally to collection of use tax,ocd-jurisdiction/country:us/state:wv/government,text/html,http://www.legis.state.wv.us/Bill_Status/bills_text.cfm?billdoc=hb2813%20intr.htm&yr=2019&sesstype=RS&i=2813,Introduced Version
