id,session,identifier,title,jurisdiction_id,media_type,url,note
d0083383-0d38-4835-9cb7-183fed383766,2019,HB 1,General government appropriations.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Amends/HB0001H2027.pdf,Amendment HB0001H2027 (2nd reading) - Representative Burkhart (Failed)
1284eae9-c9d6-4e35-b25f-d29741d0edeb,2018,SF 6,Real estate exemption restoration.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://legisweb.state.wy.us/2018/Enroll/SF0006.pdf,SEA0005
9a46aae7-80c5-492a-a3a4-28be02b2086d,2018,HB 1,General government appropriations.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2018/Amends/HB0001H3050.pdf,Amendment HB0001H3050 (3rd reading) - Nicholas (Adopted)
c48e996d-0875-41df-a9dd-7f03fa10427b,2018,HB 1,General government appropriations.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2018/Enroll/HB0001.PDF,Enrolled
8d665af1-a66b-43de-89c5-d0ccbec8ee7e,2019,SF 127,Felony fleeing or eluding police.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Amends/SF0127SS001.pdf,Amendment SF0127SS001 (Standing Committee) - Senate Judiciary Committee (Adopted)
8bc64bfc-dd13-4bd8-9689-a48a8b203e63,2018,SF 69,2018 large project funding.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://legisweb.state.wy.us/2018/Introduced/SF0069.pdf,Introduced
28422324-8ac3-425c-bd98-25308cd52e4e,2019,HB 221,Family medicine residency program.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Introduced/HB0221.pdf,Introduced
00173d5b-5bac-4ed6-80a2-3b9bbb6c4e7a,2017,SF 8,Transfer of water funds.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://legisweb.state.wy.us/2017/Introduced/SF0008.pdf,Introduced
0d5c5228-4c39-47fc-beec-52c75cc9d6b0,2017,HB 24,Water commission duties.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://legisweb.state.wy.us/2017/Engross/HB0024.pdf,Engrossed
b7e24a6c-5361-491e-865a-3afb880090ba,2019,SF 86,Burglary.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Introduced/SF0086.pdf,Introduced
a23d157e-f7ef-4d31-a97a-5ab64945ca08,2017,HB 265,Plant derived pain medication.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://legisweb.state.wy.us/2017/Introduced/HB0265.pdf,Introduced
7e647861-d498-4057-b985-857cb85af640,2019,SJ 9,Medal of Honor highway.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Enroll/SJ0009.pdf,Enrolled
cd16a3c2-7610-4c75-98c1-50a7b101d08c,2017,SF 40,Military department recordkeeping.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://legisweb.state.wy.us/2017/Enroll/SF0040.pdf,SEA0017
6b48ef7d-cbbb-413a-88e2-c69c15952647,2019,SF 161,Management council membership-2.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Amends/SF0161HW001.pdf,Amendment SF0161HW001 (Committee of the Whole) - Representative Yin (Withdrawn)
3485e3a1-9778-4bb0-9ce9-03b50c84aa29,2019,SF 111,Community colleges-bachelor of applied science programs.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Amends/SF0111H2001.pdf,Amendment SF0111H2001 (2nd reading) - Representative Sommers (Failed)
0a33069b-7c0b-4036-8953-59af6390c6b0,2019,HB 133,Hathaway expand Wyoming scholarships.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Amends/HB0133SS001.pdf,Amendment HB0133SS001 (Standing Committee) - Senate Education Committee (Adopted)
927ec43b-3c7a-4764-b501-64d1bcd45a12,2017,SF 167,"Worker's compensation-rate discount, modification & credit.",ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://legisweb.state.wy.us/2017/Engross/SF0167.pdf,Engrossed
cefb8ff8-74ff-4b84-8047-e02142116175,2018,HB 1,General government appropriations.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2018/Amends/HB0001H3010.pdf,Amendment HB0001H3010 (3rd reading) - Clem (Withdrawn)
81012f85-7b61-4e05-a310-73f7166a71d0,2019,SF 24,Adjutant general duties-access to forms and records.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Introduced/SF0024.pdf,Introduced
ea458bc8-69da-42cb-82ea-e62ea67a1b3d,2019,HB 24,National board teacher certification.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Amends/HB0024HW001.pdf,Amendment HB0024HW001 (Committee of the Whole) - Representative Brown (Adopted)
66890747-645e-46d9-a58e-df04913823c9,2019,HB 287,Prescription drugs.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Introduced/HB0287.pdf,Introduced
75d05762-3792-4368-9fdc-83bfadd73dc8,2019,HB 1,General government appropriations.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Amends/HB0001H3002.pdf,Amendment HB0001H3002 (3rd reading) - Representative Nicholas (Adopted)
78e9948c-b0ed-466f-af5a-188eb8fb7b45,2018,HB 110,Wyoming retirement plans-member accounts.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2018/Enroll/HB0110.PDF,Enrolled
961f5d34-bf26-4e79-b6e7-2474d879c08d,2018,SF 52,Worker's compensation-rate discount.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://legisweb.state.wy.us/2018/Introduced/SF0052.pdf,Introduced
d3c41fb7-47a3-423c-922e-de16f10f5e0e,2017,HB 128,Tribal license plates.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://legisweb.state.wy.us/2017/Introduced/HB0128.pdf,Introduced
f773a512-c013-48ea-abec-b8aa19917642,2019,SF 15,Certified public accountants act-revisions.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Enroll/SF0015.pdf,Enrolled
ab501e45-6f87-436e-9be4-0abe46dc8fe3,2019,SF 43,Hathaway scholarship eligibility.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Amends/SF0043SS001.pdf,"Amendment SF0043SS001 (Standing Committee) - Senate Education Committee (Corrected, Adopted)"
7415076c-6df5-4c65-8491-fd7f12b182ae,2017,SF 36,Education-leader evaluation and support.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://legisweb.state.wy.us/2017/Introduced/SF0036.pdf,Introduced
3eacd911-804a-4290-94a9-17c74b6db25f,2019,SF 3,Preference points.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Introduced/SF0003.pdf,Introduced
6db62667-bc6a-4d0f-af39-a1a5bb267b04,2019,HB 60,Underage marriage-exceptions repeal.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Introduced/HB0060.pdf,Introduced
ec02fc61-535e-49e4-b9fb-9cf394562994,2018,HB 78,Omnibus water bill-construction.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2018/Amends/HB0078H3001.pdf,Amendment HB0078H3001 (3rd reading) - Blake (Adopted)
02f8d6ce-7d17-447a-b1b6-149c55405ace,2018,SF 4,Regulation of bingo and pull tab games.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://legisweb.state.wy.us/2018/Engross/SF0004.pdf,Engrossed
e65e3be5-ebdf-4bbc-8ebd-2b2ab55936b1,2019,HB 81,Omnibus water bill-planning.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Introduced/HB0081.pdf,Introduced
a8d1ceab-70dd-4a38-9a6c-fb92bba10734,2019,HJ 10,Medal of Honor cities.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Amends/HJ0010SS001.pdf,"Amendment HJ0010SS001 (Standing Committee) - Senate Transportation, Highways and Military Affai (Adopted)"
8e36caf3-4cb1-4857-afc0-f1b96ab78db0,2019,SF 149,Capitol complex oversight.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Amends/SF0149S3001.pdf,Amendment SF0149S3001 (3rd reading) - Senator Pappas (Adopted)
5a22b391-113f-4252-bfb1-2793de1386ef,2019,HB 122,Citizen standing.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Amends/HB0122HS001.pdf,Amendment HB0122HS001 (Standing Committee) - House Judiciary Committee (Adopted)
699f15a7-3b09-47a7-9060-6cba38dd7250,2019,HB 2,Regulation of hunting methods.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Amends/HB0002SW001.pdf,Amendment HB0002SW001 (Committee of the Whole) - Senator Case (Adopted)
a23e5f67-48f6-497f-8aeb-7feebfa95c80,2018,SF 49,Disposition of state school land revenue.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://legisweb.state.wy.us/2018/Introduced/SF0049.pdf,Introduced
29207a2e-8222-4282-9cd3-f19e1160d1f9,2017,SF 29,Legislative employees.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://legisweb.state.wy.us/2017/Introduced/SF0029.pdf,Introduced
0408baa1-e829-4f17-8602-19a98e006ba7,2017,HB 165,Acupuncture Practice Act.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://legisweb.state.wy.us/2017/Enroll/HB0165.pdf,HEA0083
7dcf4430-b1ff-47eb-bb6f-323394b68eeb,2018,HB 157,Health care providers-sexual assault protections-2.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2018/Amends/HB0157HS001.pdf,Amendment HB0157HS001 (Standing Committee) - House Labor (Adopted)
51c0bf1c-280b-4e80-9186-38428b8b4475,2017,HB 235,Mentor small game and game bird hunting.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://legisweb.state.wy.us/2017/Engross/HB0235.pdf,Engrossed
5d712197-c32f-4812-9496-fdad6ddc031d,2019,SJ 11,Wyoming coal to carbon products.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Introduced/SJ0011.pdf,Introduced
7eaaf6b4-246c-477d-b48c-21891fec239b,2019,SF 136,Roadside geology.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Amends/SF0136SW001.pdf,Amendment SF0136SW001 (Committee of the Whole) - Senator Wasserburger (Adopted)
b3363b11-48db-4635-9925-5061d3527fe0,2019,HB 70,Commercial filing system.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Amends/HB0070H3002.pdf,Amendment HB0070H3002 (3rd reading) - Representative Lindholm (Adopted)
e33a077e-b935-408d-8a3b-151ad190fbca,2017,HB 7,Credit for reinsurance.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://legisweb.state.wy.us/2017/Introduced/HB0007.pdf,Introduced
fa2ce6df-c980-4dd3-933e-2d3ef6e69720,2019,HB 107,Sexual assault parental rights.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Enroll/HB0107.pdf,Enrolled
b1736c1b-009f-44e2-8b18-24798fe55805,2019,HB 44,Expungement of juvenile court records.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Amends/HB0044HS001.pdf,Amendment HB0044HS001 (Standing Committee) - House Judiciary Committee (Adopted)
b7cb974b-cc58-4160-845e-5fbcf3c6511b,2019,SF 47,Controlled substances education and administration.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2019/Amends/SF0047H3001.pdf,Amendment SF0047H3001 (3rd reading) - Representative Lindholm (Adopted)
49c53474-46fc-4d97-b732-8078914e1ef0,2018,HB 66,Purchase of water rights and facilities.,ocd-jurisdiction/country:us/state:wy/government,application/pdf,http://wyoleg.gov/2018/Amends/HB0066SS002.pdf,Amendment HB0066SS002 (Standing Committee) - SAppropriations (Adopted)
