id,name,classification,jurisdiction_id
ocd-organization/a0563aa3-1ab5-4e1e-afd1-643aca03b3b8,Nebraska Legislature,legislature,ocd-jurisdiction/country:us/state:ne/government
ocd-organization/4ba67f40-0330-4d5a-ac31-8a939768d90b,Office of the Governor,executive,ocd-jurisdiction/country:us/state:ne/government
ocd-organization/0e851bc8-ddf5-4b69-a5d4-7a1c99bfe8c4,Nonpartisan,party,
ocd-organization/94bfa494-f58a-4120-8e79-cf1d4705d8fe,Libertarian,party,
ocd-organization/d8dce079-d59d-407c-be93-9d3fce72bd48,New Hampshire General Court,legislature,ocd-jurisdiction/country:us/state:nh/government
ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,Senate,upper,ocd-jurisdiction/country:us/state:nh/government
ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,House,lower,ocd-jurisdiction/country:us/state:nh/government
ocd-organization/920fc27e-e574-4700-8ada-221fdf683268,Arizona State Legislature,legislature,ocd-jurisdiction/country:us/state:az/government
ocd-organization/69fd6d9c-6730-42a7-ae22-31a4a111603c,Office of the Governor,executive,ocd-jurisdiction/country:us/state:az/government
ocd-organization/c3d4c85b-888e-4188-b903-a251b957c162,Senate,upper,ocd-jurisdiction/country:us/state:az/government
ocd-organization/474ab9de-3ab4-4294-88c1-43ffd506870a,Connecticut General Assembly,legislature,ocd-jurisdiction/country:us/state:ct/government
ocd-organization/46a37f5a-a01b-4905-b023-a443b5be41c6,Senate,upper,ocd-jurisdiction/country:us/state:ct/government
ocd-organization/8e8c6d29-dcc1-4d2f-9ca5-82a4a3d3b962,House,lower,ocd-jurisdiction/country:us/state:ct/government
ocd-organization/cc568975-7e60-4e1a-8799-63028b9ad960,Republican,party,
ocd-organization/4d1533a8-8d01-41f1-8b2a-4f07e41b5ed2,Arkansas General Assembly,legislature,ocd-jurisdiction/country:us/state:ar/government
ocd-organization/20889c0b-bb05-4d82-bce1-e2072fcd53aa,Democratic,party,
ocd-organization/9e2c94af-8e67-438b-8a47-7eac48112403,House,lower,ocd-jurisdiction/country:us/state:ar/government
ocd-organization/f80b9e71-0c25-4b8b-a87d-7266a3f84313,Senate,upper,ocd-jurisdiction/country:us/state:ar/government
ocd-organization/8de9200f-a2e2-4f92-9950-e6c63f265248,Alabama Legislature,legislature,ocd-jurisdiction/country:us/state:al/government
ocd-organization/d6ca7a45-3984-4da6-a7f8-0c0c846a8a41,Independent,party,
ocd-organization/ddf820b5-5246-46b3-a807-99b5914ad39f,Senate,upper,ocd-jurisdiction/country:us/state:al/government
ocd-organization/b00585a8-0bd5-4a6b-bde1-1c96400f882f,House,lower,ocd-jurisdiction/country:us/state:az/government
ocd-organization/74ad748b-f0a1-408f-9aa6-3319a868fd55,House,lower,ocd-jurisdiction/country:us/state:al/government
ocd-organization/8815f4a0-d799-45d1-980e-3d53e3b26b1d,New Jersey Legislature,legislature,ocd-jurisdiction/country:us/state:nj/government
ocd-organization/bdfb4b37-b604-4fff-8515-e7646b6f4db6,Governor of New Jersey,executive,ocd-jurisdiction/country:us/state:nj/government
ocd-organization/0461b3ba-ecad-4ed3-bc89-056dbaa698d1,Senate,upper,ocd-jurisdiction/country:us/state:nj/government
ocd-organization/68d34c4f-e59d-42a2-bcfe-fbf7f8cc8f15,Assembly,lower,ocd-jurisdiction/country:us/state:nj/government
ocd-organization/3c509bec-a8f0-4422-a17f-5f11bfe88f26,Louisiana Legislature,legislature,ocd-jurisdiction/country:us/state:la/government
ocd-organization/643af5ff-e840-4ff1-95a8-e47a40dd0730,Iowa General Assembly,legislature,ocd-jurisdiction/country:us/state:ia/government
ocd-organization/bd11534f-0c3b-4321-8d04-6a42f212bf77,House,lower,ocd-jurisdiction/country:us/state:ia/government
ocd-organization/a9ad8273-4a86-4544-9bed-09ccb48ebabc,Senate,upper,ocd-jurisdiction/country:us/state:ia/government
ocd-organization/b47d8d36-68d9-4bf0-807a-5b9c9ed2d99f,Wyoming State Legislature,legislature,ocd-jurisdiction/country:us/state:wy/government
ocd-organization/997c6150-6c45-4178-82dd-e111c0029554,Missouri General Assembly,legislature,ocd-jurisdiction/country:us/state:mo/government
ocd-organization/dcfaf7fc-52ad-4a49-b88a-3a6fcea19248,Office of the Governor,executive,ocd-jurisdiction/country:us/state:de/government
ocd-organization/d2671846-0bc5-4082-b96d-989b31cc037f,Delaware General Assembly,legislature,ocd-jurisdiction/country:us/state:de/government
ocd-organization/099db7ce-13e0-4865-98ef-9787f65705c4,Senate,upper,ocd-jurisdiction/country:us/state:de/government
ocd-organization/2fc73234-69ce-4a42-b85a-4a52a676e6e9,Colorado General Assembly,legislature,ocd-jurisdiction/country:us/state:co/government
ocd-organization/1f6f6532-1bc8-4ddb-8350-27fcd47c6795,Office of the Governor,executive,ocd-jurisdiction/country:us/state:co/government
ocd-organization/98d43d46-9571-4a40-9007-581d84d41bb8,Senate,upper,ocd-jurisdiction/country:us/state:co/government
ocd-organization/e047d0e5-2c93-4e39-bea3-04c0d9d11b20,House,lower,ocd-jurisdiction/country:us/state:co/government
ocd-organization/378d45a3-b3f9-41d5-b4f1-6fcf2979666c,House,lower,ocd-jurisdiction/country:us/state:de/government
ocd-organization/04a9a79b-2dc8-4969-b09e-1190dad5b973,Governor of Ohio,executive,ocd-jurisdiction/country:us/state:oh/government
ocd-organization/3ecd0c76-5e2c-4e7c-9882-615d64fd0f47,Office of the Governor,executive,ocd-jurisdiction/country:us/state:in/government
ocd-organization/c0ac26ed-60ea-42b7-bd02-20213257dbc5,Hawaii State Legislature,legislature,ocd-jurisdiction/country:us/state:hi/government
ocd-organization/73058dca-37f9-4907-ac94-1f4ffd680586,Senate,upper,ocd-jurisdiction/country:us/state:hi/government
ocd-organization/52cba4e0-aaeb-4d15-944b-089d559e97b6,House,lower,ocd-jurisdiction/country:us/state:hi/government
ocd-organization/654d4d38-e413-4307-a420-6f1ee2594673,Idaho State Legislature,legislature,ocd-jurisdiction/country:us/state:id/government
ocd-organization/e8c4c8ae-7ba0-4116-9865-5d34fcc6e681,Senate,upper,ocd-jurisdiction/country:us/state:id/government
ocd-organization/7de4a037-2e98-46d0-975c-67d42eaff437,Indiana General Assembly,legislature,ocd-jurisdiction/country:us/state:in/government
ocd-organization/10bc85d1-df30-4bb9-a8d0-e158225b4431,House,lower,ocd-jurisdiction/country:us/state:in/government
ocd-organization/b8946e05-f621-442a-8352-cc51db92980c,Senate,upper,ocd-jurisdiction/country:us/state:in/government
ocd-organization/a0b3ad5f-c852-483b-b746-444d3d795701,Florida Legislature,legislature,ocd-jurisdiction/country:us/state:fl/government
ocd-organization/c540c1bb-d614-4174-86db-a146526169f8,Florida Senate,upper,ocd-jurisdiction/country:us/state:fl/government
ocd-organization/8b0147dc-8942-4fd5-91c4-a72a92a8e1fe,Florida House of Representatives,lower,ocd-jurisdiction/country:us/state:fl/government
ocd-organization/7a59916c-201a-49b2-9288-776ffea9f6cb,House,lower,ocd-jurisdiction/country:us/state:id/government
ocd-organization/2d23c3ec-897d-4ef8-85a5-0acb24328d5f,Office of the Governor,executive,ocd-jurisdiction/country:us/state:ms/government
ocd-organization/f2b7fee5-8da1-431d-8ea1-19b7709194cc,Mississippi Legislature,legislature,ocd-jurisdiction/country:us/state:ms/government
ocd-organization/7e3c07c9-91ff-4445-8cef-57f85ab6ae9f,Senate,upper,ocd-jurisdiction/country:us/state:ms/government
ocd-organization/47c2e037-ffe3-46c3-9399-8feb1f7d4988,House,lower,ocd-jurisdiction/country:us/state:ms/government
ocd-organization/700d3e60-3b1a-4cba-9aa4-06278aa7605d,New York Legislature,legislature,ocd-jurisdiction/country:us/state:ny/government
ocd-organization/26bb6306-85f0-4d10-bff7-d1cd5bdc0865,Assembly,lower,ocd-jurisdiction/country:us/state:ny/government
ocd-organization/8291a233-623d-40e8-882d-21ec2d382c87,Senate,upper,ocd-jurisdiction/country:us/state:ny/government
ocd-organization/3c6b003d-47bf-44ca-a3cf-fe7a53780cc8,Office of the Governor,executive,ocd-jurisdiction/country:us/state:ri/government
ocd-organization/86e53984-1898-47b4-b74b-b3de66455937,Executive Office of the Mayor,executive,ocd-jurisdiction/country:us/district:dc/government
ocd-organization/393504d5-b5ba-446f-908b-9868996bf3f7,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government
ocd-organization/683ca907-05d4-4c84-8d7b-f04f73e295ad,House,lower,ocd-jurisdiction/country:us/state:wy/government
ocd-organization/15f3b217-1d89-40dd-ab4e-d5ed2ffe5322,Maryland General Assembly,legislature,ocd-jurisdiction/country:us/state:md/government
ocd-organization/8af93cc2-fc5f-48b9-abc9-53b7a56b2beb,Office of the Governor,executive,ocd-jurisdiction/country:us/state:md/government
ocd-organization/1186f244-c9f8-46de-a453-c58d6de050d7,Georgia General Assembly,legislature,ocd-jurisdiction/country:us/state:ga/government
ocd-organization/3b9777f2-c2fb-48e1-83bf-66fc7a17492e,Senate,upper,ocd-jurisdiction/country:us/state:ga/government
ocd-organization/6328292e-c35e-4187-903c-75829a17d5d8,Senate,upper,ocd-jurisdiction/country:us/state:md/government
ocd-organization/f94ae35f-f161-4599-b603-e7737dc8c93f,House,lower,ocd-jurisdiction/country:us/state:ga/government
ocd-organization/bd8388d3-8fcd-4e28-9c1b-f23f0e376544,House,lower,ocd-jurisdiction/country:us/state:md/government
ocd-organization/b5a82ff4-4fd3-41c8-bb44-32ad2e499482,Kentucky General Assembly,legislature,ocd-jurisdiction/country:us/state:ky/government
ocd-organization/523aa254-9d04-4641-9770-6488b5f4fb0e,Senate,upper,ocd-jurisdiction/country:us/state:ky/government
ocd-organization/4e2398aa-4ffd-4e2c-8089-7a0cb64f1bc9,House,lower,ocd-jurisdiction/country:us/state:ky/government
ocd-organization/aa301a79-0ad8-4905-818c-0cd5f1ce5946,North Dakota Legislative Assembly,legislature,ocd-jurisdiction/country:us/state:nd/government
