id,session,identifier,title,name,classification,jurisdiction_id,date,note,media_type,url
ocd-bill/c25d7e52-abee-44c3-bac2-0c9c7e027ffc,105,LR 130,Interim study to examine issues related to the use of substitute teachers,Nebraska Legislature,legislature,ocd-jurisdiction/country:us/state:ne/government,,Introduced Copy,application/pdf,http://nebraskalegislature.gov/FloorDocs/105/PDF/Intro/LR130.pdf
ocd-bill/07e87b71-48d3-4ea2-ba76-628e5b742bd5,53rd-1st-regular,SB 1442,corrections officer retirement plan; modifications,Senate,upper,ocd-jurisdiction/country:us/state:az/government,,House Engrossed Version,text/html,http://www.azleg.gov/legtext/53leg/1R/bills/SB1442H.htm
ocd-bill/4ef9ab92-8e9b-4e6b-a108-a592b60cbe77,53rd-1st-regular,HB 2047,liquor; serving age; reduction,House,lower,ocd-jurisdiction/country:us/state:az/government,,Chaptered Version,text/html,http://www.azleg.gov/legtext/53leg/1R/laws/0054.htm
ocd-bill/04ae1979-d6ab-4c8d-b840-c72781d33181,217,A 241,Allows exclusion of certain alternative energy and energy conservation patent income under gross income tax and corporation business tax.,Assembly,lower,ocd-jurisdiction/country:us/state:nj/government,,Introduced Version,text/html,http://www.njleg.state.nj.us/2016/Bills/A0500/241_I1.HTM
ocd-bill/d2208ea6-1a84-4345-beed-d8a7c55ba943,217,S 1856,Provides for retained eligibility for members of NJ National Guard or reserve component of US Armed Forces called to active federal military service who met maximum age requirement at closing date of civil service examination.,Senate,upper,ocd-jurisdiction/country:us/state:nj/government,,Introduced Version,text/html,http://www.njleg.state.nj.us/2016/Bills/S2000/1856_I1.HTM
ocd-bill/e6b25b09-9963-43be-85e8-e3c51b01ab9e,2017-2018,HCR 4409,Returning bills to their house of origin.,House,lower,ocd-jurisdiction/country:us/state:wa/government,,Concurrent Resolution,text/html,http://lawfilesext.leg.wa.gov/Biennium/2017-18/Htm/Bills/House%20Concurrent%20Resolutions/4409.htm
ocd-bill/014a0d8a-1c31-4ac9-9ad4-ef04b59cfe73,2017-2018,A 8853,Relates to reporting on the metropolitan transportation authority's state of good repair,Assembly,lower,ocd-jurisdiction/country:us/state:ny/government,,A8853 HTML,text/html,http://assembly.state.ny.us/leg/?sh=printbill&bn=A8853&term=2017
ocd-bill/45dca831-b75a-4e84-b500-0f0bdf2a6a90,2017-2018,SR 159,A Senate resolution relating to postage,Minnesota Senate,upper,ocd-jurisdiction/country:us/state:mn/government,,resolution text,text/html,http://www.senate.mn/resolutions/display_resolution.php?ls=&bill_type=SR&bill_number=0159&ss_number=0&ss_year=2017
ocd-bill/dcdf21f2-ee60-4f06-9adb-c16609233889,2017rs,SB 30,"Driving under the influence, suspension of driver's licenses by Ala. St. Law Enforcement Agency, first time offenders, stay of suspension with use of ignition interlock devices, Sec. 32-5A-304 am'd.",Senate,upper,ocd-jurisdiction/country:us/state:al/government,,Introduced,application/pdf,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2017rs/PrintFiles/SB30-int.pdf
ocd-bill/d0946b6d-6fac-41b7-92a9-f9810ad705b6,2017rs,HJR 83,"Jenkins, Samuel, Sr., death mourned",House,lower,ocd-jurisdiction/country:us/state:al/government,,Introduced,application/pdf,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2017rs/PrintFiles/HJR83-int.pdf
