id,session,identifier,title,jurisdiction_id,media_type,url,note
c1884c90-fb2a-44a9-a082-96b5414a5060,30,HB 316,An Act relating to the release of certain records of convictions; and providing for an effective date.,ocd-jurisdiction/country:us/state:ak/government,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0316B&session=30,HB0316B
7d82f251-6e7b-4980-9cf7-2cfe2fdc679a,30,HB 69,"An Act repealing the Workers' Compensation Appeals Commission; relating to decisions and orders of the Workers' Compensation Appeals Commission; relating to superior court jurisdiction over appeals from Alaska Workers' Compensation Board decisions; repealing Rules 201.1, 401.1, and 501.1, Alaska Rules of Appellate Procedure, and amending Rules 202(a), 204(a) - (c), 210(e), 601(b), 602(c) and (h), and 603(a), Alaska Rules of Appellate Procedure; and providing for an effective date.",ocd-jurisdiction/country:us/state:ak/government,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0069A&session=30,HB0069A
878d4c88-1c1e-461b-bf95-253d6d1cd9ce,30,HB 18,An Act relating to race classics.,ocd-jurisdiction/country:us/state:ak/government,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0018A&session=30,HB0018A
1fba3c8e-e10d-4411-a4ba-21170e855696,30,HB 210,An Act relating to the state training and employment program; and relating to the Alaska technical and vocational education program.,ocd-jurisdiction/country:us/state:ak/government,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0210A&session=30,HB0210A
e93d4a38-8038-4ade-bbc1-db26172e118c,30,SB 86,"An Act relating to the sale or other disposal, leasing, or encumbrance of Alaska Railroad Corporation land; relating to the financing and bonding authority of the Alaska Railroad Corporation; and providing for an effective date.",ocd-jurisdiction/country:us/state:ak/government,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=SB0086A&session=30,SB0086A
e17a3c4e-2228-4e05-a131-a7647c1c1ddf,30,HB 369,An Act relating to an appropriation limit; and providing for an effective date.,ocd-jurisdiction/country:us/state:ak/government,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0369A&session=30,HB0369A
a853afce-0bb6-4b3c-bf64-f34d77f7614e,30,HB 152,An Act relating to the organized militia; and relating to the authority of the adjutant general.,ocd-jurisdiction/country:us/state:ak/government,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0152A&session=30,HB0152A
7d16fb36-0f35-404d-a005-fdae3b2ca329,30,HB 41,An Act relating to joint prime sponsorship of bills.,ocd-jurisdiction/country:us/state:ak/government,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0041B&session=30,HB0041B
c15a2233-687e-47f5-8471-b7a17645f988,30,HB 177,"An Act relating to the response to, and control of, aquatic invasive species; establishing the aquatic invasive species response fund; and relating to the provision of information about aquatic invasive species to certain persons registering or transporting boats.",ocd-jurisdiction/country:us/state:ak/government,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0177C&session=30,HB0177C
399f1577-cdab-438c-aca3-9c1eedb91c65,30,HR 6,Urging the United States Department of the Interior to maintain three lease sales in the Chukchi Sea and Beaufort Sea Planning Areas and two lease sales in the Cook Inlet Planning Area and to remove certain potential lease sales.,ocd-jurisdiction/country:us/state:ak/government,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HR0006Z&session=30,HR0006Z
2f64ffa6-7e74-418e-8a82-fff999bc229f,30,HB 371,An Act relating to the special sessions of the Alaska State Legislature.,ocd-jurisdiction/country:us/state:ak/government,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0371A&session=30,HB0371A
3ffb8485-d5db-43b7-bc39-ba206d11f230,30,HB 382,An Act creating the Railbelt Electrical System Authority; and relating to the duties of the Regulatory Commission of Alaska.,ocd-jurisdiction/country:us/state:ak/government,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0382A&session=30,HB0382A
6c4da16f-327a-4b0d-a75a-286b78e31e52,30,HB 162,"An Act relating to criminal and civil history requirements and a registry regarding certain licenses, certifications, appeals, and authorizations by the Department of Health and Social Services; and providing for an effective date.",ocd-jurisdiction/country:us/state:ak/government,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0162B&session=30,HB0162B
d4d4d291-009c-4fb8-a96d-6c8e292e9d11,30,HB 317,An Act amending requirements for qualifications to acquire or hold mining rights; amending rental rates for mining locations and leases; repealing annual labor requirements for mining locations; providing for waiver of a cure penalty for abandonment because of failure to properly record a statement of labor; and providing for an effective date.,ocd-jurisdiction/country:us/state:ak/government,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0317A&session=30,HB0317A
52237927-b79e-4547-816b-04a04318d39d,30,HB 186,An Act relating to the donation of food; and relating to food banks.,ocd-jurisdiction/country:us/state:ak/government,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0186A&session=30,HB0186A
cc3604b6-ec0d-4233-8e1f-66de1cf2103d,30,HB 248,"An Act requiring advisory votes on the enactment of an individual income tax, a statewide sales tax, and legislative action that changes the calculation of the permanent fund dividend.",ocd-jurisdiction/country:us/state:ak/government,text/html,http://www.legis.state.ak.us/basis/get_bill_text.asp?hsid=HB0248A&session=30,HB0248A
