id,session,identifier,title,jurisdiction_id,media_type,url,note
50b60c0d-1168-43d6-8c59-40fc62390d33,2018rs,SB 216,"Morgan Co., sheriff, salary, allowances for feeding prisoners, use limited for that purpose, const. amend.",ocd-jurisdiction/country:us/state:al/government,application/pdf,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2018rs/PrintFiles/SB216-eng.pdf,Engrossed
8a2006c7-0306-4aa6-9d92-19839c8f8abd,2018rs,HB 247,"Election, voting recounts, allowed for all public offices and ballot measures, Sec. 17-16-21 am'd.",ocd-jurisdiction/country:us/state:al/government,application/pdf,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2018rs/PrintFiles/HB247-int.pdf,Introduced
6c3183fd-b6a2-4919-ae57-50379513de75,2017rs,HR 86,"Stream protection rule of the Office of Surface Mining Reclamation and Enforcement, Congress urged to overturn",ocd-jurisdiction/country:us/state:al/government,application/pdf,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2017rs/PrintFiles/HR86-int.pdf,Introduced
20e67b0e-717b-4746-83df-14b09ab1498a,2019rs,SB 50,"Baker Hill, alcoholic beverages, Sunday sales under certain conditions",ocd-jurisdiction/country:us/state:al/government,application/pdf,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2019rs/PrintFiles/SB50-enr.pdf,Enrolled
8be8063c-55f2-4387-8e3b-9b6c3ecfbdd4,2018rs,HR 194,"Hunt, Lillian Bracy, death mourned",ocd-jurisdiction/country:us/state:al/government,application/pdf,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2018rs/PrintFiles/HR194-int.pdf,Introduced
e9e0d01d-5e4a-4927-87a2-e922b943739a,2019rs,HB 383,"Taxation, sales and use taxes and lodging taxes, qualifying seasonal taxpayers may have different filing periods, Secs. 40-23-7, 40-23-68, 40-26-3 am'd.",ocd-jurisdiction/country:us/state:al/government,application/pdf,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2019rs/PrintFiles/HB383-int.pdf,Introduced
a5bf7581-de89-4c20-baf0-f3bd8136f0ab,2017rs,HB 548,"Initiative, constitutional amendments, proposed by people, authorized, Legislature may offer alternate proposal, const. amend.",ocd-jurisdiction/country:us/state:al/government,application/pdf,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2017rs/PrintFiles/HB548-int.pdf,Introduced
e6a82c33-ac7c-452c-9ccb-e694ae982572,2017rs,HR 149,"O'Neal, Annie, 100th birthday celebration, commended",ocd-jurisdiction/country:us/state:al/government,application/pdf,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2017rs/PrintFiles/HR149-int.pdf,Introduced
61d819b1-ac89-4ec9-bbbe-51368afcddef,2017rs,HR 472,"Gulf Coast Regional Fugitive Task Force, commended",ocd-jurisdiction/country:us/state:al/government,application/pdf,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2017rs/PrintFiles/HR472-int.pdf,Introduced
c47923fd-e434-49ca-b12b-0c5798dfa72f,2018rs,SB 79,"Income tax credits, increase for rural physicians and dentists, Secs. 40-18-130 to 40-18-132, inclusive,  am'd.",ocd-jurisdiction/country:us/state:al/government,application/pdf,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2018rs/PrintFiles/SB79-eng.pdf,Engrossed
69140780-9e5a-4a85-80f0-dce6e8ee9794,2019fs,HB 2,"Motor vehicles and motor fuels, Rebuild Ala. Act., add'l tax on gasoline and diesel fuel of ten cents in  increments, add'l licensing tax on electric and hybrid electric automobiles, distribution of proceeds for state, county, municipal, and State Port Authority transportation purposes, floor stock tax provided, bond of motor fuel terminal operators increased, taxes increased based on changes in National Highway Construction Cost Index, portion to finance improvements to ship channel related to Ala. St. Docks, ATRIP-II Committee estab., authorized to enter agreements for debt financing, Secs. 11-6-4, 11-6-23, 40-12-242, 40-17-331 am'd.; Sec. 11-6-6 repealed",ocd-jurisdiction/country:us/state:al/government,application/pdf,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2019fs/PrintFiles/197740-1.pdf,Amd/Sub 197740-1
4ea87d4c-05df-47c3-8c7d-e89fa8a7ae9d,2018rs,HJR 259,"Education, requesting additional funding for",ocd-jurisdiction/country:us/state:al/government,application/pdf,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2018rs/PrintFiles/HJR259-int.pdf,Introduced
292822dc-53de-4841-8b97-8a47cdf5fbc1,2018rs,HB 142,"Eminent domain proceedings, costs, condemnation proceedings filed by Dept. of Transportation, the department pays condemnee's reasonable attorney fees, appraisal and engineering costs if final award is 20 percent or higher than department's offer, Sec. 18-1A-293 am'd.",ocd-jurisdiction/country:us/state:al/government,application/pdf,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2018rs/PrintFiles/HB142-int.pdf,Introduced
2703bf32-88d7-4f4c-98b7-576b7a816e37,2019rs,SB 7,"Telemarketers and telephone solicitation, Secs. 8-19A-3, 8-19C-5, 8-19C-11am'd.",ocd-jurisdiction/country:us/state:al/government,application/pdf,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2019rs/PrintFiles/SB7-int.pdf,Introduced
417032d6-d0b1-406a-8370-9b81e8a2eb0a,2019fs,SB 3,"Motor vehicles, golf carts and low-speed vehicles, prohibited from use on public highways",ocd-jurisdiction/country:us/state:al/government,application/pdf,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2019fs/PrintFiles/197725-1.pdf,Amd/Sub 197725-1
1fc591ca-3260-46da-b744-c4fec947d043,2019rs,HB 331,"Houston Co., co. commission, authorized to levy probate transaction fee, distrib.",ocd-jurisdiction/country:us/state:al/government,application/pdf,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2019rs/PrintFiles/HB331-enr.pdf,Enrolled
0038d42d-9214-44c9-8f43-9068ce437918,2019rs,SB 83,"Education, boards of trustees, four-year institutions of higher education, newly appointed trustee or commissioner required to complete eight hours of professional development during first two years",ocd-jurisdiction/country:us/state:al/government,application/pdf,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2019rs/PrintFiles/SB83-int.pdf,Introduced
