id,session,identifier,title,jurisdiction_id,media_type,url,note
c0bf5f5a-c4eb-433f-89e3-8adde54b1e8e,2019 Regular Session,SB 570,RELATING TO USE TAX.,ocd-jurisdiction/country:us/state:hi/government,text/html,https://www.capitol.hawaii.gov/session2019/bills/SB570_.HTM,SB570
c0bf5f5a-c4eb-433f-89e3-8adde54b1e8e,2019 Regular Session,SB 570,RELATING TO USE TAX.,ocd-jurisdiction/country:us/state:hi/government,application/pdf,https://www.capitol.hawaii.gov/session2019/bills/SB570_.PDF,SB570
ecf2062c-b38b-437d-a676-72ab890fc3fb,2017 Regular Session,SB 484,RELATING TO COLLECTIVE BARGAINING.,ocd-jurisdiction/country:us/state:hi/government,text/html,https://www.capitol.hawaii.gov/session2017/bills/SB484_.HTM,SB484
ecf2062c-b38b-437d-a676-72ab890fc3fb,2017 Regular Session,SB 484,RELATING TO COLLECTIVE BARGAINING.,ocd-jurisdiction/country:us/state:hi/government,application/pdf,https://www.capitol.hawaii.gov/session2017/bills/SB484_.PDF,SB484
3a4e203b-434d-4e8a-964f-5262d799e79f,2019 Regular Session,SB 983,RELATING TO EDUCATION.,ocd-jurisdiction/country:us/state:hi/government,text/html,https://www.capitol.hawaii.gov/session2019/bills/SB983_HD1_.HTM,SB983_HD1
3a4e203b-434d-4e8a-964f-5262d799e79f,2019 Regular Session,SB 983,RELATING TO EDUCATION.,ocd-jurisdiction/country:us/state:hi/government,application/pdf,https://www.capitol.hawaii.gov/session2019/bills/SB983_HD1_.PDF,SB983_HD1
c4a25bc3-053b-432c-8ea8-bde1aee4e291,2019 Regular Session,SB 785,RELATING TO COLLECTIVE BARGAINING.,ocd-jurisdiction/country:us/state:hi/government,text/html,https://www.capitol.hawaii.gov/session2019/bills/SB785_.HTM,SB785
c4a25bc3-053b-432c-8ea8-bde1aee4e291,2019 Regular Session,SB 785,RELATING TO COLLECTIVE BARGAINING.,ocd-jurisdiction/country:us/state:hi/government,application/pdf,https://www.capitol.hawaii.gov/session2019/bills/SB785_.PDF,SB785
80f2998c-d788-4b09-86d7-ce05f3dc00bc,2019 Regular Session,HB 1289,RELATING TO CRIMINAL PRETRIAL REFORM.,ocd-jurisdiction/country:us/state:hi/government,text/html,https://www.capitol.hawaii.gov/session2019/bills/HB1289_.HTM,HB1289
80f2998c-d788-4b09-86d7-ce05f3dc00bc,2019 Regular Session,HB 1289,RELATING TO CRIMINAL PRETRIAL REFORM.,ocd-jurisdiction/country:us/state:hi/government,application/pdf,https://www.capitol.hawaii.gov/session2019/bills/HB1289_.PDF,HB1289
3e41832c-dfed-4874-a396-52e26b27a2dd,2019 Regular Session,HR 104,REQUESTING THAT THE OFFICE OF INFORMATION PRACTICES CONDUCT AN ALTERNATIVE APPEAL RESOLUTION PILOT PROJECT.,ocd-jurisdiction/country:us/state:hi/government,text/html,https://www.capitol.hawaii.gov/session2019/bills/HR104_.HTM,HR104
