id,session,identifier,title,jurisdiction_id,media_type,url,note
1069c721-ab24-45ba-8389-25a38eb64104,100th,SB 193,ATTY GEN-WORKER PROTECT UNIT,ocd-jurisdiction/country:us/state:il/government,text/html,http://ilga.gov/legislation/fulltext.asp?DocName=10000SB0193&GA=100&SessionId=91&DocTypeId=SB&LegID=100108&DocNum=193&GAID=14&Session=&print=true,Introduced
4764b5ff-05a8-4fb1-bab3-cec71ad379c2,101st,HB 1721,REVENUE-TECH,ocd-jurisdiction/country:us/state:il/government,text/html,http://ilga.gov/legislation/fulltext.asp?DocName=10100HB1721&GA=101&SessionId=108&DocTypeId=HB&LegID=117160&DocNum=1721&GAID=15&Session=&print=true,Introduced
143590ad-4222-4c3b-8022-196eab25e5ce,101st,SR 37,MEMORIAL-BERNARD F. DEVRIES,ocd-jurisdiction/country:us/state:il/government,text/html,http://ilga.gov/legislation/fulltext.asp?DocName=10100SR0037&GA=101&SessionId=108&DocTypeId=SR&LegID=115062&DocNum=37&GAID=15&Session=&print=true,Introduced
d7c5d3d0-dd4e-4cf6-9bb4-bcf0b491c987,101st,HB 2957,REGULATION-TECH,ocd-jurisdiction/country:us/state:il/government,text/html,http://ilga.gov/legislation/fulltext.asp?DocName=10100HB2957eng&GA=101&SessionId=108&DocTypeId=HB&LegID=119293&DocNum=2957&GAID=15&Session=&print=true,Engrossed
a654f322-0246-429d-a124-0bc316bd6a6a,101st,HB 1498,LOCAL GOVERNMENT-TECH,ocd-jurisdiction/country:us/state:il/government,text/html,http://ilga.gov/legislation/fulltext.asp?DocName=10100HB1498&GA=101&SessionId=108&DocTypeId=HB&LegID=115931&DocNum=1498&GAID=15&Session=&print=true,Introduced
03101a97-c051-4146-95cf-2d0fcadce48d,100th,SR 1199,MEMORIAL-CHARLENE F. BENNETT,ocd-jurisdiction/country:us/state:il/government,text/html,http://ilga.gov/legislation/fulltext.asp?DocName=10000SR1199&GA=100&SessionId=91&DocTypeId=SR&LegID=108515&DocNum=1199&GAID=14&Session=&print=true,Introduced
7bf985ea-361b-4605-9315-ebaa30c43a8b,100th,SR 969,MEMORIAL-BARBARA K. BARLOW,ocd-jurisdiction/country:us/state:il/government,text/html,http://ilga.gov/legislation/fulltext.asp?DocName=10000SR0969&GA=100&SessionId=91&DocTypeId=SR&LegID=108021&DocNum=969&GAID=14&Session=&print=true,Introduced
df6cb5dc-a7d9-4656-86e2-a47929c90e9e,101st,SB 474,EMPLOYMENT-TECH,ocd-jurisdiction/country:us/state:il/government,text/html,http://ilga.gov/legislation/fulltext.asp?DocName=10100SB0474&GA=101&SessionId=108&DocTypeId=SB&LegID=116411&DocNum=474&GAID=15&Session=&print=true,Introduced
753bcfd2-bc3d-4870-8f2c-d93fb38cda9a,101st,SR 331,MEMORIAL-ELEANORA ZDANOWICZ,ocd-jurisdiction/country:us/state:il/government,text/html,http://ilga.gov/legislation/fulltext.asp?DocName=10100SR0331&GA=101&SessionId=108&DocTypeId=SR&LegID=121171&DocNum=331&GAID=15&Session=&print=true,Introduced
1242859e-f82d-4e34-84a1-7b48cd3daa7c,101st,SB 684,REGULATION-TECH,ocd-jurisdiction/country:us/state:il/government,text/html,http://ilga.gov/legislation/fulltext.asp?DocName=10100SB0684&GA=101&SessionId=108&DocTypeId=SB&LegID=116621&DocNum=684&GAID=15&Session=&print=true,Introduced
