id,session,identifier,title,jurisdiction_id,media_type,url,note
6ea990f0-4c89-4cd9-bd38-dfccb5cd9d86,190th,H 546,An Act reforming labor rates paid by insurance companies to auto repairers in the Commonwealth,ocd-jurisdiction/country:us/state:ma/government,application/pdf,https://malegislature.gov/Bills/190/H546.pdf,Bill Text
5fd64dc5-ac5e-4af0-8ad3-6233bd6c442f,191st,SD 2290,Resolutions calling on Article V of the United States Constitution for the convening of a Convention of the States,ocd-jurisdiction/country:us/state:ma/government,application/pdf,https://malegislature.gov/Bills/191/SD2290.pdf,Bill Text
0ddac2c1-42cf-4ae3-bc76-10ee6b17e3ae,191st,H 335,An Act relative to sheet metal work,ocd-jurisdiction/country:us/state:ma/government,application/pdf,https://malegislature.gov/Bills/191/H335.pdf,Bill Text
5a23d3f0-925d-47eb-ab66-78da125a21b9,191st,HD 2147,An Act relative to food service providers at charitable events,ocd-jurisdiction/country:us/state:ma/government,application/pdf,https://malegislature.gov/Bills/191/HD2147.pdf,Bill Text
cac16704-4050-4dd4-84c9-a112735d9353,191st,H 3632,An Act to enable the establishment of innovation partnership zones,ocd-jurisdiction/country:us/state:ma/government,application/pdf,https://malegislature.gov/Bills/191/H3632.pdf,Bill Text
48087544-4cc9-4528-92e7-6bd1001b0923,191st,H 991,An Act advancing and expanding access to telemedicine services,ocd-jurisdiction/country:us/state:ma/government,application/pdf,https://malegislature.gov/Bills/191/H991.pdf,Bill Text
b2b23c23-ba4d-4fcf-95a7-96566d449cb6,191st,SD 1078,"An Act relative to unfair and deceptive insurance practices
",ocd-jurisdiction/country:us/state:ma/government,application/pdf,https://malegislature.gov/Bills/191/SD1078.pdf,Bill Text
5fb5ba2e-f9a3-4ff4-b6e9-a91d721a2fca,191st,H 2421,An Act relative to taxes due upon the death of active duty personnel and the elderly,ocd-jurisdiction/country:us/state:ma/government,application/pdf,https://malegislature.gov/Bills/191/H2421.pdf,Bill Text
15365c92-8aa5-42c3-90c4-6390c83a72bd,190th,S 1590,An Act establishing a tax credit for individuals paying college tuition,ocd-jurisdiction/country:us/state:ma/government,application/pdf,https://malegislature.gov/Bills/190/S1590.pdf,Bill Text
425f66d7-e2c2-44bf-85e3-d2bf2daf7812,191st,SD 2078,An Act relative to year-round job creation,ocd-jurisdiction/country:us/state:ma/government,application/pdf,https://malegislature.gov/Bills/191/SD2078.pdf,Bill Text
60399632-06fd-457f-99f1-8ca5db52cdb5,191st,HD 3258,An Act relative to default insurance programs for certain public construction projects,ocd-jurisdiction/country:us/state:ma/government,application/pdf,https://malegislature.gov/Bills/191/HD3258.pdf,Bill Text
d0641150-8b17-47e0-b017-50c7f5d5a360,191st,H 3131,An Act to authorize firefighter motorcycle license plates,ocd-jurisdiction/country:us/state:ma/government,application/pdf,https://malegislature.gov/Bills/191/H3131.pdf,Bill Text
e8cb0d60-3bdd-4f62-a49b-7e8723789737,191st,S 952,An Act modernizing time-share extension and termination procedures,ocd-jurisdiction/country:us/state:ma/government,application/pdf,https://malegislature.gov/Bills/191/S952.pdf,Bill Text
14576934-b249-49af-ab8c-08afc459f73b,191st,SD 1694,An Act to require sexual harassment training,ocd-jurisdiction/country:us/state:ma/government,application/pdf,https://malegislature.gov/Bills/191/SD1694.pdf,Bill Text
