id,session,identifier,title,jurisdiction_id,media_type,url,note
5712bf35-331c-4cba-9131-0a096b4c3254,2019,HB 263,Criminal Procedure - Pretrial Release Services Program - Victim Notification,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/bills/hb/hb0263f.pdf,Bill Text
5712bf35-331c-4cba-9131-0a096b4c3254,2019,HB 263,Criminal Procedure - Pretrial Release Services Program - Victim Notification,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/bills/hb/hb0263t.pdf,Bill Text
40c4a7df-4f75-4bbb-bb7f-a2e216cb6fca,2017,HB 471,Juvenile Court - Jurisdiction,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/hb/hb0471f.pdf,Bill Text
09b04389-55f6-42b1-9dc7-3322780f7b0f,2017,SB 174,Income Tax Credit - Clean Energy Production - Qualified Energy Resources (Maryland Clean Energy Incentive Act),ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/sb/sb0174f.pdf,Bill Text
4ee1e135-8398-4b8b-97ae-9a27e6c351b0,2017,HB 1513,Maryland Historic Trust Grant Fund Improvement Act,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/hb/hb1513f.pdf,Bill Text
4ee1e135-8398-4b8b-97ae-9a27e6c351b0,2017,HB 1513,Maryland Historic Trust Grant Fund Improvement Act,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/hb/hb1513t.pdf,Bill Text
4ee1e135-8398-4b8b-97ae-9a27e6c351b0,2017,HB 1513,Maryland Historic Trust Grant Fund Improvement Act,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/Chapters_noln/CH_513_hb1513t.pdf,Bill Text
792a0262-6c6b-4404-85c7-dae073c99fdc,2018,HB 1166,Criminal Procedure – Sentencing – Primary Caretaker,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/hb/hb1166f.pdf,Bill Text
f9f9d9c7-e50c-4127-96ac-29fb4a4b32bc,2017,HB 490,Income Tax Credit - Energy Storage Systems,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/hb/hb0490f.pdf,Bill Text
f9f9d9c7-e50c-4127-96ac-29fb4a4b32bc,2017,HB 490,Income Tax Credit - Energy Storage Systems,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/hb/hb0490t.pdf,Bill Text
e26e7be5-0683-4ade-b746-c66cf26129fc,2018,HB 1513,Commercial Law - Maryland Credit Repair Businesses Act,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/hb/hb1513f.pdf,Bill Text
9be054ab-e601-40cd-9e6e-07245d283214,2019,HB 749,"Firearms - Right to Purchase, Own, Possess, and Carry - Medical Cannabis (Patients' Rights Act)",ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/bills/hb/hb0749f.pdf,Bill Text
bab56e3f-c6f8-45eb-b680-a99e87a91499,2018,SB 212,Sales and Use Tax - Aircraft Parts and Equipment - Exemption,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/sb/sb0212f.pdf,Bill Text
bab56e3f-c6f8-45eb-b680-a99e87a91499,2018,SB 212,Sales and Use Tax - Aircraft Parts and Equipment - Exemption,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/sb/sb0212t.pdf,Bill Text
1353b728-60ee-4f1d-85c7-a1f832c6cd0c,2019,HB 851,Construction of Commercial Solar Photovoltaic Systems - Clear-Cutting - Prohibition,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/bills/hb/hb0851f.pdf,Bill Text
aa9e08e7-b999-4a22-af57-89f7faccb43c,2018,HB 526,Income Tax - Angel Investor Tax Credit Program,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/hb/hb0526f.pdf,Bill Text
75b86608-b08b-4d3c-a7d2-a50b09c826a6,2018,SB 526,Labor and Employment - Regulation of Farm Labor Contractors and Foreign Labor Contractors,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/sb/sb0526f.pdf,Bill Text
dc73933e-cea2-4577-a8ce-1b1f07605141,2019,HB 990,Video Lottery Terminal Proceeds - Racetrack Facility Renewal Account - Use of Funds,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/bills/hb/hb0990f.pdf,Bill Text
517ea882-587a-47f6-8f3e-6105af6de7a7,2018,SB 385,Health Insurance - Coverage for Diagnostic Examinations for Breast Cancer,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/sb/sb0385f.pdf,Bill Text
fa22c4dd-fe96-4cdc-86fe-f24b4bbbb76e,2018,SB 194,Calculation of Taxable Income - Itemized Deductions - Property Taxes,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/sb/sb0194f.pdf,Bill Text
cd5ead49-9b5e-49be-adac-5d719f93a4c3,2019,SB 53,State Finance and Procurement - Energy Performance Contracts,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/bills/sb/sb0053f.pdf,Bill Text
cd5ead49-9b5e-49be-adac-5d719f93a4c3,2019,SB 53,State Finance and Procurement - Energy Performance Contracts,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/bills/sb/sb0053t.pdf,Bill Text
cd5ead49-9b5e-49be-adac-5d719f93a4c3,2019,SB 53,State Finance and Procurement - Energy Performance Contracts,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/Chapters_noln/CH_134_sb0053t.pdf,Bill Text
fbaee11d-b9ea-4ef8-9b34-7aa9ae65aa63,2019,HB 688,"Small, Minority, and Women-Owned Businesses Account - Funding",ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/bills/hb/hb0688f.pdf,Bill Text
894e2cb8-dd21-48dd-9dfe-f1e878015044,2018,HB 1110,Public Schools – Health and Safety Best Practices – Digital Devices,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/hb/hb1110f.pdf,Bill Text
894e2cb8-dd21-48dd-9dfe-f1e878015044,2018,HB 1110,Public Schools – Health and Safety Best Practices – Digital Devices,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/hb/hb1110t.pdf,Bill Text
894e2cb8-dd21-48dd-9dfe-f1e878015044,2018,HB 1110,Public Schools – Health and Safety Best Practices – Digital Devices,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/Chapters_noln/CH_244_hb1110t.pdf,Bill Text
0de237e3-105c-4bd1-a136-91f2ce5ae639,2017,SB 789,Commercial Law - Uniform Commercial Code - Repeal of Title 6,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/sb/sb0789f.pdf,Bill Text
14d1a44b-cb7b-4670-af7e-e6a04edfabf6,2017,SB 618,Education - Achievement School District - Establishment,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/sb/sb0618f.pdf,Bill Text
32c90ba6-ae0f-41e8-83f0-d23142a8698a,2018,SB 81,Sales and Use Tax - Hygienic Aids - Exemption,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/sb/sb0081t.pdf,Bill Text
32c90ba6-ae0f-41e8-83f0-d23142a8698a,2018,SB 81,Sales and Use Tax - Hygienic Aids - Exemption,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/Chapters_noln/CH_50_sb0081t.pdf,Bill Text
32c90ba6-ae0f-41e8-83f0-d23142a8698a,2018,SB 81,Sales and Use Tax - Hygienic Aids - Exemption,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/sb/sb0081f.pdf,Bill Text
0c8b10af-4e48-42a2-b422-67091d4d50f0,2019,HB 599,Health Insurance – Coverage for Mental Health Benefits and Substance Use Disorder Benefits – Treatment Criteria,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/bills/hb/hb0599f.pdf,Bill Text
0c8b10af-4e48-42a2-b422-67091d4d50f0,2019,HB 599,Health Insurance – Coverage for Mental Health Benefits and Substance Use Disorder Benefits – Treatment Criteria,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/bills/hb/hb0599t.pdf,Bill Text
0c8b10af-4e48-42a2-b422-67091d4d50f0,2019,HB 599,Health Insurance – Coverage for Mental Health Benefits and Substance Use Disorder Benefits – Treatment Criteria,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/Chapters_noln/CH_358_hb0599t.pdf,Bill Text
a573da07-6039-4a61-ab6c-d0adc1bdc79e,2017,SB 862,Environment - Hydraulic Fracturing - Moratorium and Referenda,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/sb/sb0862f.pdf,Bill Text
da923c41-a9ac-47c4-8fc1-b83a46df6881,2018,HB 161,Budget Reconciliation and Financing Act of 2018,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/hb/hb0161f.pdf,Bill Text
0ba42ae2-f7f3-47e3-bc69-e717d85b4ae2,2019,HB 150,More Opportunities for Marylanders Act of 2019,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/bills/hb/hb0150f.pdf,Bill Text
e45a2142-e02d-464f-9015-e991bf1a0ba9,2017,SB 89,Vehicle Laws - Drivers' Licenses and Vehicle Registrations - Mailing Address,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/sb/sb0089f.pdf,Bill Text
9857db2d-0ff8-4011-8a83-a53901f89ba7,2018,SB 909,Alcoholic Beverages – Class 1 Distillery License – On–Site Consumption Permit,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/sb/sb0909f.pdf,Bill Text
9857db2d-0ff8-4011-8a83-a53901f89ba7,2018,SB 909,Alcoholic Beverages – Class 1 Distillery License – On–Site Consumption Permit,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/sb/sb0909t.pdf,Bill Text
7376341a-03b0-4c5c-9d78-5b5d27c3ddb4,2019,HB 864,Duties of a Guardian of the Person - Petition for Visitation,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/bills/hb/hb0864f.pdf,Bill Text
14bf6e94-c510-4c73-9968-5427f2b6f3a0,2017,SB 920,Creation of a State Debt - Wicomico County - Lower Shore Clinic Day Program for Seniors with Disabilities Facility,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/sb/sb0920f.pdf,Bill Text
e4892452-d25b-4dac-a8f2-246133d36fd8,2018,SB 1013,First Responders - Mandatory Autism Training,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/sb/sb1013f.pdf,Bill Text
b66b037f-ddd4-45bb-aa86-38d2556590f0,2018,SB 870,Criminal Procedure – Office of the Attorney General – Subpoena Power,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/sb/sb0870f.pdf,Bill Text
b492eac7-12fc-47d1-9d84-00dc46b60494,2018,HB 260,Campaign Finance - Disclosure of Contributions and Expenditures - Preelection Period,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/hb/hb0260f.pdf,Bill Text
ab643355-06e3-44bf-9f6a-92e79c14b938,2019,HB 82,Transportation – Complete Streets – Access to Healthy Food and Necessities,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/bills/hb/hb0082f.pdf,Bill Text
ab643355-06e3-44bf-9f6a-92e79c14b938,2019,HB 82,Transportation – Complete Streets – Access to Healthy Food and Necessities,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/bills/hb/hb0082t.pdf,Bill Text
ab643355-06e3-44bf-9f6a-92e79c14b938,2019,HB 82,Transportation – Complete Streets – Access to Healthy Food and Necessities,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/Chapters_noln/CH_572_hb0082t.pdf,Bill Text
e65679b1-9961-4752-9cfc-e5c6d05ecb0f,2018,HB 362,Income Tax - Subtraction Modification - Military Retirement Income,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/hb/hb0362f.pdf,Bill Text
7d5de476-d60c-4093-a7fb-6a7417758151,2018,HB 154,State Board of Education - Membership - Teachers and Parent,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/hb/hb0154f.pdf,Bill Text
f53ac540-c4c9-4963-8d59-50c8faa9d325,2018,HB 451,State Personnel - Collective Bargaining - State Institutions of Higher Education,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/hb/hb0451f.pdf,Bill Text
f53ac540-c4c9-4963-8d59-50c8faa9d325,2018,HB 451,State Personnel - Collective Bargaining - State Institutions of Higher Education,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/hb/hb0451t.pdf,Bill Text
f53ac540-c4c9-4963-8d59-50c8faa9d325,2018,HB 451,State Personnel - Collective Bargaining - State Institutions of Higher Education,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/hb/hb0451e.pdf,Bill Text
f53ac540-c4c9-4963-8d59-50c8faa9d325,2018,HB 451,State Personnel - Collective Bargaining - State Institutions of Higher Education,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/Chapters_noln/CH_814_hb0451e.pdf,Bill Text
0e85aa91-8e26-4bb9-a56f-59a2391a52e3,2019,HB 203,Montgomery County - Maximum Speed Limits Outside Urban Districts MC 24-19,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/bills/hb/hb0203f.pdf,Bill Text
0e85aa91-8e26-4bb9-a56f-59a2391a52e3,2019,HB 203,Montgomery County - Maximum Speed Limits Outside Urban Districts MC 24-19,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/bills/hb/hb0203t.pdf,Bill Text
cc165dc4-8ba0-4bb7-832b-42719e5d48f8,2017,HB 597,Public Health - Clean Indoor Air Act - Repeal of Exception Regarding Hotel and Motel Rooms,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/hb/hb0597f.pdf,Bill Text
e84ea136-3df1-4e08-a12c-deb3f920e714,2017,SB 631,Criminal Law - Animal Abuse Emergency Compensation Fund - Establishment,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/sb/sb0631f.pdf,Bill Text
e84ea136-3df1-4e08-a12c-deb3f920e714,2017,SB 631,Criminal Law - Animal Abuse Emergency Compensation Fund - Establishment,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/sb/sb0631t.pdf,Bill Text
c201dff2-9cf3-463f-9854-41488aa1354b,2017,SB 950,Debt Collection - Attachment and Execution - Exemptions,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/sb/sb0950f.pdf,Bill Text
c0d13286-cec3-4ee0-a78b-73420d065bc2,2017,HB 907,Chesapeake Bay Water Transportation Network,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/hb/hb0907f.pdf,Bill Text
1f500ea7-ebfd-4c9d-b352-3fbb8e8736e6,2017,HB 1229,Correctional Facilities - Unmanned Aircraft Systems - Proximity,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/hb/hb1229f.pdf,Bill Text
3f71c626-0588-40ba-ab6f-bd4ef3ff67f9,2017,HB 1040,Creation of a State Debt - Baltimore County - Towson High School Stadium,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/hb/hb1040f.pdf,Bill Text
8767ae22-8192-4d67-be95-a9eb5e027d0d,2019,HB 1031,Declaration of Rights - Right of Bodily Integrity and Privacy,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/bills/hb/hb1031f.pdf,Bill Text
35704657-1989-4fd2-9450-bf3a7eb7325f,2017,SB 954,Talbot County - Deer Management Permit - Use of Rifles,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/sb/sb0954f.pdf,Bill Text
cd7f05fa-1674-4dd4-8ce9-ef98c541526f,2019,HB 770,Anne Arundel County - Alcoholic Beverages Licenses - Multiple License Interests,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/bills/hb/hb0770f.pdf,Bill Text
cd7f05fa-1674-4dd4-8ce9-ef98c541526f,2019,HB 770,Anne Arundel County - Alcoholic Beverages Licenses - Multiple License Interests,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/bills/hb/hb0770t.pdf,Bill Text
cd7f05fa-1674-4dd4-8ce9-ef98c541526f,2019,HB 770,Anne Arundel County - Alcoholic Beverages Licenses - Multiple License Interests,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2019RS/Chapters_noln/CH_693_hb0770t.pdf,Bill Text
1da7bf20-05bd-44b0-b610-b8e470cce528,2017,SB 838,Creation of a State Debt - Washington County - Hagerstown Urban Improvement Project,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/sb/sb0838f.pdf,Bill Text
11898074-709b-46d9-8969-003939f0e4ac,2017,SB 560,Natural Resources - Wildlife Trafficking Prevention,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2017RS/bills/sb/sb0560f.pdf,Bill Text
077334b9-4d47-4043-8f64-1baa827d12a1,2018,SB 1183,Public School Construction Assessment and Maintenance Reform Act,ocd-jurisdiction/country:us/state:md/government,application/pdf,http://mgaleg.maryland.gov/2018RS/bills/sb/sb1183f.pdf,Bill Text
