id,session,identifier,title,jurisdiction_id,media_type,url,note
80a052bd-fa1b-44c5-b127-f91fc5753469,129,LD 1275,An Act To Support Access To Health Services For Homeless Youth In Maine,ocd-jurisdiction/country:us/state:me/government,text/html,http://www.mainelegislature.org/legis/bills/bills_129th/billtexts/SP039501.asp,Initial Version
80a052bd-fa1b-44c5-b127-f91fc5753469,129,LD 1275,An Act To Support Access To Health Services For Homeless Youth In Maine,ocd-jurisdiction/country:us/state:me/government,application/rtf,http://www.mainelegislature.org/legis/bills/bills_129th/billdocs/SP039501.rtf,Initial Version
80a052bd-fa1b-44c5-b127-f91fc5753469,129,LD 1275,An Act To Support Access To Health Services For Homeless Youth In Maine,ocd-jurisdiction/country:us/state:me/government,application/pdf,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=SP0395&item=1&snum=129,Initial Version
4f07872b-ca8d-4901-a624-b24fd8fd385a,128,LD 1459,An Act To Protect The Public From Dangerous Buildings,ocd-jurisdiction/country:us/state:me/government,text/html,http://www.mainelegislature.org/legis/bills/bills_128th/billtexts/SP050501.asp,Initial Version
4f07872b-ca8d-4901-a624-b24fd8fd385a,128,LD 1459,An Act To Protect The Public From Dangerous Buildings,ocd-jurisdiction/country:us/state:me/government,application/rtf,http://www.mainelegislature.org/legis/bills/bills_128th/billdocs/SP050501.rtf,Initial Version
4f07872b-ca8d-4901-a624-b24fd8fd385a,128,LD 1459,An Act To Protect The Public From Dangerous Buildings,ocd-jurisdiction/country:us/state:me/government,application/pdf,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=SP0505&item=1&snum=128,Initial Version
f73d584d-d6b2-462d-b41d-e2db3e1dd399,129,LD 1659,An Act To Include Additional Corrections Officers And Mental Health Workers Under The 1998 Special Plan For Retirement And To Amend The Laws Governing Retirement Benefits For Capitol Police Officers,ocd-jurisdiction/country:us/state:me/government,text/html,http://www.mainelegislature.org/legis/bills/bills_129th/billtexts/SP053601.asp,Initial Version
f73d584d-d6b2-462d-b41d-e2db3e1dd399,129,LD 1659,An Act To Include Additional Corrections Officers And Mental Health Workers Under The 1998 Special Plan For Retirement And To Amend The Laws Governing Retirement Benefits For Capitol Police Officers,ocd-jurisdiction/country:us/state:me/government,application/rtf,http://www.mainelegislature.org/legis/bills/bills_129th/billdocs/SP053601.rtf,Initial Version
f73d584d-d6b2-462d-b41d-e2db3e1dd399,129,LD 1659,An Act To Include Additional Corrections Officers And Mental Health Workers Under The 1998 Special Plan For Retirement And To Amend The Laws Governing Retirement Benefits For Capitol Police Officers,ocd-jurisdiction/country:us/state:me/government,application/pdf,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=SP0536&item=1&snum=129,Initial Version
ab17f5ca-bb59-4a57-a1f8-49c904d62c73,129,LD 1278,"Resolution, Proposing An Amendment To The Constitution Of Maine Requiring The State To Share Not Less Than 5 Percent Of State Sales And Income Tax Revenue With Municipalities",ocd-jurisdiction/country:us/state:me/government,text/html,http://www.mainelegislature.org/legis/bills/bills_129th/billtexts/SP039801.asp,Initial Version
ab17f5ca-bb59-4a57-a1f8-49c904d62c73,129,LD 1278,"Resolution, Proposing An Amendment To The Constitution Of Maine Requiring The State To Share Not Less Than 5 Percent Of State Sales And Income Tax Revenue With Municipalities",ocd-jurisdiction/country:us/state:me/government,application/rtf,http://www.mainelegislature.org/legis/bills/bills_129th/billdocs/SP039801.rtf,Initial Version
ab17f5ca-bb59-4a57-a1f8-49c904d62c73,129,LD 1278,"Resolution, Proposing An Amendment To The Constitution Of Maine Requiring The State To Share Not Less Than 5 Percent Of State Sales And Income Tax Revenue With Municipalities",ocd-jurisdiction/country:us/state:me/government,application/pdf,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=SP0398&item=1&snum=129,Initial Version
33947340-76c6-4da2-b7ca-9a8a162c8d79,129,LD 1429,An Act To Fund Opioid Use Disorder Prevention And Treatment,ocd-jurisdiction/country:us/state:me/government,text/html,http://www.mainelegislature.org/legis/bills/bills_129th/billtexts/SP044101.asp,Initial Version
33947340-76c6-4da2-b7ca-9a8a162c8d79,129,LD 1429,An Act To Fund Opioid Use Disorder Prevention And Treatment,ocd-jurisdiction/country:us/state:me/government,application/rtf,http://www.mainelegislature.org/legis/bills/bills_129th/billdocs/SP044101.rtf,Initial Version
33947340-76c6-4da2-b7ca-9a8a162c8d79,129,LD 1429,An Act To Fund Opioid Use Disorder Prevention And Treatment,ocd-jurisdiction/country:us/state:me/government,application/pdf,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=SP0441&item=1&snum=129,Initial Version
a5a379bd-1924-463b-87c8-d7fd0d0b82f3,129,LD 171,"Resolve, To Establish A Pilot Project To Evaluate And Address The Transportation Needs Of Maine'S Veterans",ocd-jurisdiction/country:us/state:me/government,text/html,http://www.mainelegislature.org/legis/bills/bills_129th/billtexts/HP013401.asp,Initial Version
a5a379bd-1924-463b-87c8-d7fd0d0b82f3,129,LD 171,"Resolve, To Establish A Pilot Project To Evaluate And Address The Transportation Needs Of Maine'S Veterans",ocd-jurisdiction/country:us/state:me/government,application/rtf,http://www.mainelegislature.org/legis/bills/bills_129th/billdocs/HP013401.rtf,Initial Version
a5a379bd-1924-463b-87c8-d7fd0d0b82f3,129,LD 171,"Resolve, To Establish A Pilot Project To Evaluate And Address The Transportation Needs Of Maine'S Veterans",ocd-jurisdiction/country:us/state:me/government,application/pdf,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=HP0134&item=1&snum=129,Initial Version
1fa87979-bab5-4a66-af57-a12bf4822773,128,LD 1178,An Act To Better Understand And Control Invasive Aquatic Plants And Nuisance Species,ocd-jurisdiction/country:us/state:me/government,text/html,http://www.mainelegislature.org/legis/bills/bills_128th/billtexts/SP039901.asp,Initial Version
1fa87979-bab5-4a66-af57-a12bf4822773,128,LD 1178,An Act To Better Understand And Control Invasive Aquatic Plants And Nuisance Species,ocd-jurisdiction/country:us/state:me/government,application/rtf,http://www.mainelegislature.org/legis/bills/bills_128th/billdocs/SP039901.rtf,Initial Version
