id,session,identifier,title,jurisdiction_id,media_type,url,note
20e329f5-3c1b-43b5-ad06-9a7793186f54,2017,HB 459,Carteret Local Option Sales Tax for Dredging.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/House/PDF/H459v0.pdf,Filed
83ac65a3-6c71-47db-92d3-55058e891248,2017,HB 550,Establish New Nurse Licensure Compact.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/House/PDF/H550v0.pdf,Filed
4a047517-1ce5-4501-8f77-1ea6d633a034,2017,HJR 215,State of State.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/House/PDF/H215v1.pdf,Edition 1
e2dfdc2a-112b-483c-8cab-59fa5823af26,2019,SB 84,Walkertown Zoning Authorizations.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/Senate/PDF/S84v1.pdf,Edition 1
fce42ef0-78fd-4af4-9be2-3bd4bf0209f4,2019,HB 573,Give WC for PTSD in First Responders.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/House/PDF/H573v0.pdf,Filed
4b1ce75d-49b5-40e3-9467-8a42e55164cb,2019,SB 175,Funds/Eliminate NC Pre-K Waitlist Statewide.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/Senate/PDF/S175v1.pdf,Edition 1
e1040299-ff51-4823-a898-b5e452776657,2017,SB 421,Use of Career & Technical Funds/Onslow County.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/Senate/PDF/S421v3.pdf,SL 2017-33
25b8eb55-ce6f-47b5-94e3-dd08cff90c33,2019,SB 355,Land-Use Regulatory Changes.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/Senate/PDF/S355v0.pdf,Filed
3c140659-aaef-47e1-994e-db4bb56005bc,2017,SB 721,Required Training Police Telecommunicators.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/Senate/PDF/S721v0.pdf,Filed
663b91df-93b2-4763-9e7f-c84ade9be145,2017,SB 600,Britny's Law: IPV Homicide.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/Senate/PDF/S600v4.pdf,SL 2017-94
a409ba5b-c8c8-4099-8d00-dba9e3c76c66,2019,HB 325,Opioid Epidemic Response Act.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/House/PDF/H325v4.pdf,Ratified
60832626-82ff-4bd0-b064-8a16d1ba7d22,2019,SB 570,Dental Services/Medicaid Transformation.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/Senate/PDF/S570v1.pdf,Edition 1
61b17b69-0bc7-468b-9114-dea8444883d4,2017,HB 810,Loan Origination/Late Payment Charge Changes.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/House/PDF/H810v1.pdf,Edition 1
13e790aa-c828-4d17-a2d4-a20a39f45f06,2017,SB 745,Fully Fund School Counselors & Psychologists.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/Senate/PDF/S745v1.pdf,Edition 1
a0ff47b5-3dfa-4254-b194-b5ce159f2732,2017,SB 814,Judicial Vacancy Sunshine Amendment.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/Senate/PDF/S814v0.pdf,Filed
cf57f548-f469-4d9f-a8fb-f1797a277d45,2017,SB 583,Occup. Therap./Phys. Therap. Salaries.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/Senate/PDF/S583v1.pdf,Edition 1
7cfd65d9-7682-4d4c-b328-0e408b4782fb,2017,SB 778,Amends Probate/Trusts/Wills Choice of Law.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/Senate/PDF/S778v0.pdf,Filed
26e7ebde-f3f4-4da4-9783-95a61404fa9a,2017,HB 622,Cities/Periodic Building Inspections.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/House/PDF/H622v1.pdf,Edition 1
d6631517-dcad-482c-b4aa-cb5912dbbc79,2019,SB 412,Modify School Qual./Student Success Indicator.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/Senate/PDF/S412v1.pdf,Edition 1
ef85e2f3-fa16-4c63-a52a-9904e3a4126a,2017,HB 54,Protect the Hardworking Taxpayers Act.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/House/PDF/H54v0.pdf,Filed
d4aaf946-4e9f-4657-8ae7-99e2fecf7a75,2019,SB 225,Repeal Tuition Surcharge.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/Senate/PDF/S225v2.pdf,Ratified
2c1ecc97-f551-4e12-abe2-97a864a44f1d,2017,HB 321,Wildlife License Changes.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/House/PDF/H321v0.pdf,Filed
1d1be281-d982-4188-a662-99013d81bd3b,2019,SB 235,Franklin/Nash Municipalities/Unfit Dwellings.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/Senate/PDF/S235v3.pdf,Ratified
004f2c28-7682-41ff-846e-8c63385c5783,2017,HB 741,DHHS Study/Maternal and Neonatal Care.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/House/PDF/H741v0.pdf,Filed
f528e056-fa6d-45dd-8733-279acdeb4fd3,2017,SB 547,Restitution Remission/Notice and Hearing Req.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/Senate/PDF/S547v1.pdf,Edition 1
7af87ddc-516b-4abd-ad2e-a26f47d6a149,2017,SB 494,Ready Mix Concrete Mill Sales Tax Exemption.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/Senate/PDF/S494v1.pdf,Edition 1
f8fc126b-8a50-4ac3-89c4-7d8c5daefaac,2017,HB 500,ABC Omnibus Legislation.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/House/PDF/H500v4.pdf,Edition 4
20f34253-1b6a-4bf4-a455-03d691ba9219,2019,HB 59,Winston-Salem/Real Property Conveyances.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/House/PDF/H59v1.pdf,Edition 1
9aa85f10-e6b2-4273-9dea-7e5a346b26cd,2019,HB 389,ABC/Univ Athletic Facility.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/House/PDF/H389v1.pdf,Edition 1
ac5e9832-7e02-4315-8c3b-b4ab739c2c58,2017,HB 483,Vet. Posttraumatic Stress/Mitigating Factor.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/House/PDF/H483v1.pdf,Edition 1
8bd881bc-b1c1-4edb-9508-2b8e10de6320,2017,HB 409,State Agencies/Adjust Hiring Practices.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/House/PDF/H409v1.pdf,Edition 1
5af68e4d-13ea-404e-b913-3fb5e8106c9a,2019,SB 145,47th Senatorial District Local Act-1.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/Senate/PDF/S145v1.pdf,Edition 1
15c8d7c4-4ec9-450e-a55b-4f9b19c63c06,2017,HB 402,Limit Env. Liability for Certain Recyclers.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/House/PDF/H402v0.pdf,Filed
2f9d7e59-3ff7-42e8-80ea-d0a6cfe5542f,2019,SB 587,Consumer Credit/Finance Charge Rates.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/Senate/PDF/S587v1.pdf,Edition 1
4aacf64e-cd8d-42d1-9a43-6368bbef3dab,2017,SB 42,Reduce Cost & Reg. Burden/Hosp. Construction.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/Senate/PDF/S42v4.pdf,SL 2017-174
c9f9d1d8-6494-4780-ae33-ecba9204dc9c,2017,HB 358,Modernize Respiratory Care Practice Act.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,https://www.ncleg.net/Sessions/2017/Bills/House/PDF/H358v2.pdf,Edition 2
d1afefa6-90dd-4fa2-93b8-754c917366c8,2019,SB 577,Funds for Statesville Regional Airport.,ocd-jurisdiction/country:us/state:nc/government,application/pdf,http://www.ncleg.net/Sessions/2019/Bills/Senate/PDF/S577v0.pdf,Filed
