id,session,identifier,title,jurisdiction_id,media_type,url,note
f00a3278-b77d-4249-94d8-c8da3d40e57e,106,LB 33,Change various provisions relating to retirement and the Nebraska Investment Council and the Public Employees Retirement Board,ocd-jurisdiction/country:us/state:ne/government,application/pdf,http://nebraskalegislature.gov/FloorDocs/106/PDF/Final/LB33.pdf,Final Reading
541252d8-6136-45cc-bde0-035558449308,105,LB 117,Adopt the Investigational Drug Use Act,ocd-jurisdiction/country:us/state:ne/government,application/pdf,http://nebraskalegislature.gov/FloorDocs/105/PDF/Slip/LB117.pdf,Slip Law Copy
a6ad0239-55ad-476d-8dcb-29226dcdb930,105,LB 460,Change provisions regulating the transportation of clients of the Department of Health and Human Services and other authorized agencies as prescribed,ocd-jurisdiction/country:us/state:ne/government,application/pdf,http://nebraskalegislature.gov/FloorDocs/105/PDF/Intro/LB460.pdf,Introduced Copy
c28b5ff8-2f57-4275-aebc-059bd79b5732,106,LR 98,Interim study to examine the special designated license issued by the Nebraska Liquor Control Commission and review potential reforms,ocd-jurisdiction/country:us/state:ne/government,application/pdf,http://nebraskalegislature.gov/FloorDocs/106/PDF/Intro/LR98.pdf,Introduced
20361c66-1cc0-400b-a440-bdca940b092e,106,LR 87,"Interim study to continue the work of the select interim committee created in LR437, 2018, to examine possible improvements to the standing committee system",ocd-jurisdiction/country:us/state:ne/government,application/pdf,http://nebraskalegislature.gov/FloorDocs/106/PDF/Intro/LR87.pdf,Introduced
6527fc74-0ebf-4a2f-bc46-0ef63e10eb96,106,LB 694,Change matching fund requirements under the Nebraska Affordable Housing Act,ocd-jurisdiction/country:us/state:ne/government,application/pdf,http://nebraskalegislature.gov/FloorDocs/106/PDF/Intro/LB694.pdf,Introduced
9d39e423-5d53-480d-aa8e-ac55afd36055,105,LB 840,Change reporting requirements for the Foster Care Review Office,ocd-jurisdiction/country:us/state:ne/government,application/pdf,http://nebraskalegislature.gov/FloorDocs/105/PDF/Final/LB840.pdf,Final Reading Copy
ee4f1faf-f41d-428d-ab08-14c607dc5c04,105,LB 647A,Appropriation Bill,ocd-jurisdiction/country:us/state:ne/government,application/pdf,http://nebraskalegislature.gov/FloorDocs/105/PDF/Intro/LB647A.pdf,Introduced Copy
c6fde7cf-2ff5-4c65-b776-c251b187f15d,105,LR 187,Interim study to determine the strengths and weaknesses of the five primary service areas of the Division of Children and Family Services of the Dept. of Health and Human Services,ocd-jurisdiction/country:us/state:ne/government,application/pdf,http://nebraskalegislature.gov/FloorDocs/105/PDF/Intro/LR187.pdf,Introduced Copy
7bd87e6e-672d-492c-b8c8-0fe340e2b757,106,LB 570,Change transfers to the Nebraska Health Care Cash Fund and provisions regarding the strategic plan for providing services to persons with disabilities,ocd-jurisdiction/country:us/state:ne/government,application/pdf,http://nebraskalegislature.gov/FloorDocs/106/PDF/AM/AM970.pdf,Walz AM970
5038d0a3-c628-49b4-8d1d-308a1c4154a6,106,LB 610,"Adopt the Meadowlark Act, the Employer Matching Contribution Incentive Program, and the College Savings Plan Low-Income Matching Scholarship Program and change the Nebraska educational savings plan trust",ocd-jurisdiction/country:us/state:ne/government,application/pdf,http://nebraskalegislature.gov/FloorDocs/106/PDF/Slip/LB610.pdf,Slip Law
