id,session,identifier,title,jurisdiction_id,media_type,url,note
ddc8234d-7d66-4b14-a970-38cc1b141ce3,2017,HB 501,relative to access to minutes of meetings of condominium unit owner's associations.,ocd-jurisdiction/country:us/state:nh/government,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2017&id=2017-1467s&txtFormat=amend,Amendment #2017-1467s
0e7bb103-00d4-4187-aac7-047afa21ef58,2018,HB 557,relative to school attendance in towns with no public schools.,ocd-jurisdiction/country:us/state:nh/government,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2018&id=2017-0548h&txtFormat=amend,Amendment #2017-0548h
db27aa00-2f8e-4648-9aca-4166e9c86db8,2018,SB 403,relative to the exemption for recreational vehicles from property taxation.,ocd-jurisdiction/country:us/state:nh/government,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2018&id=1772&txtFormat=html,latest version
202a027b-5d70-4f37-ad92-837dccb2a53f,2018,HB 1416,repealing the prohibition on bottle rockets.,ocd-jurisdiction/country:us/state:nh/government,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2018&id=1708&txtFormat=html,latest version
3d6defa5-0cc2-45a4-9ecc-4f57a7f004ee,2018,SB 518,relative to agency reports of real property owned or leased by the department.,ocd-jurisdiction/country:us/state:nh/government,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2018&id=1873&txtFormat=html,latest version
fab0926a-a9a1-42dc-902a-7081aa639870,2019,SB 250,relative to forgery of a certificate of insurance.,ocd-jurisdiction/country:us/state:nh/government,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2019&id=2019-2349h&txtFormat=amend,Amendment #2019-2349h
9e2bc055-9009-4c54-8ab6-30ff6646aa46,2018,SB 409,relative to the taxation of moist snuff tobacco products.,ocd-jurisdiction/country:us/state:nh/government,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2018&id=1852&txtFormat=html,latest version
4dbd2124-c832-4daa-b007-08950038ae27,2019,HB 382,relative to private practice by the Carroll county attorney.,ocd-jurisdiction/country:us/state:nh/government,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2019&id=330&txtFormat=html,latest version
5d544225-9a05-4e4b-8135-204a6dd486ef,2019,CACR 3,relating to hunters' rights. Providing that citizens of the state have the right tohunt subject to laws promoting sound wildlife conservation and management.,ocd-jurisdiction/country:us/state:nh/government,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2019&id=284&txtFormat=html,latest version
3baa3679-b2ce-41cb-b2a2-874f62af012b,2018,HB 1252,relative to certificates of insurance.,ocd-jurisdiction/country:us/state:nh/government,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2018&id=1281&txtFormat=html,latest version
