id,session,identifier,title,jurisdiction_id,media_type,url,note
d739f2f3-1905-47ea-81d9-99e605a1d6e9,2017,HR 280,"Celebrating the life of Ralph McKinley Dillow, Jr.",ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+HR280,House: Prefiled and laid on Speaker's table; offered 01/11/17 17100876D
7af5f62e-4a57-475e-8180-bbf9902a8198,2017,SB 1127,"State Water Control Board; stormwater management programs, regulations, professional license.",ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+SB1127,Senate: Prefiled and ordered printed; offered 01/11/17 17103564D
310e5996-bed8-4342-99b8-0bdb9fa54250,2017,HR 472,Commending the Appomattox Dixie Youth Angels softball team.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+HR472,House: Presented and laid on Speaker's table 17104005D
71c196ce-489e-4d91-b886-d4b3f15d64b4,2017,SB 1047,DCJS training standards; community engaged policing.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+SB1047,Senate: Prefiled and ordered printed; offered 01/11/17 17101806D
e72d64aa-0342-468a-95bc-93c934d7dc36,2018,SB 36,Weekend jail time; replaces provision limiting nonconsecutive days.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?181+ful+SB36H1,House: Committee substitute printed 18107746D-H1
db88d2bc-adb9-4ee2-a42e-ae67edc2987e,2018,SB 734,"Custodial interrogations; length, recording.",ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?181+ful+SB734,Senate: Prefiled and ordered printed; offered 01/10/18 18103257D
bc41cd33-d368-4c31-b397-0a74ce7fbc45,2019,HJ 874,Celebrating the life of Roy Lee Redd.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HJ874ER,House: Bill text as passed House and Senate (HJ874ER)
8165583d-f430-4aa6-bacf-932a7e58248b,2017,HB 2431,School property; retail fee-based electric vehicle charging stations.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+HB2431ER,House: Bill text as passed House and Senate (HB2431ER)
a96ff36c-080d-4e91-8d4b-e4871595d1a1,2017,SB 1573,Appraisal management companies; compensation of appraiser within 30 days of delivery of report.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+SB1573,Senate: Presented and ordered printed 17102071D
4284effa-c749-4d54-87e6-26f9513f7649,2017,SJ 344,Commending Bruce Bernard Smith.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+SJ344ER,Senate: Bill text as passed Senate and House (SJ344ER)
fc8adea0-6172-428d-b529-398e94c6fd08,2018,HB 825,"Herd shares; written shared herd ownership agreements, regulations, penalty.",ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?181+ful+HB825,House: Prefiled and ordered printed; offered 01/10/18 18102330D
50257a4a-2dbb-4fab-a72c-ed19f4d968e9,2019,HB 1903,Criminal history record information; limitations on dissemination of information.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HB1903,House: Prefiled and ordered printed; offered 01/09/19 19100543D
f266328c-a259-47cf-a60c-5f54052b876e,2017,SB 1413,Immunity of persons; statements regarding matters of public concern communicated to a third party.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+SB1413ER,Senate: Bill text as passed Senate and House (SB1413ER)
75c6ccd7-a275-40df-a197-ff0b385f8abb,2018,SB 315,Hearing aid specialists; exemptions for the sale of hearing aids.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?181+ful+SB315,Senate: Prefiled and ordered printed; offered 01/10/18 18101768D
7d4671c2-6ae4-4969-a0e9-9e1eef411a55,2017,HB 2207,Food stamp program; requests for replacement of electronic benefit transfer card.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+HB2207ER,House: Bill text as passed House and Senate (HB2207ER)
ae13d785-729b-4e33-adcc-9254383b4695,2019,SB 1038,"Voter registration; verification of social security numbers, provisional registration status.",ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+SB1038,Senate: Prefiled and ordered printed; offered 01/09/19 19100267D
3ef3e4bb-d837-4773-823f-9743fd758f74,2017,HB 2051,Marijuana offenses; driver's license forfeiture.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+CHAP0695,Governor: Acts of Assembly Chapter text (CHAP0695)
b65ef1c1-614d-4eb2-b81a-8893a05ec04e,2019,HB 1648,Pedestrian crossings; Town of Ashland may provide signs at crosswalks requiring drivers to yield.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HB1648,House: Prefiled and ordered printed; offered 01/09/19 19101366D
e97705e0-7416-4fa0-8c22-43402a231006,2019,HB 2552,Unmanned aircraft systems; search warrants.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HB2552,House: Prefiled and ordered printed; offered 01/09/19 19103317D
fe3cdcea-4f0e-49d6-870a-cef11b6a3b2a,2019,HJ 721,Celebrating the life of William Clinton Walker.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HJ721,House: Presented and laid on Speaker's table 19104260D
fd385bd0-41e9-44cb-b6b2-a364458e69fc,2017,SB 959,Va Residential Landlord and Tenant Act; landlord to inspect vacated dwelling for abandoned animals.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+SB959,Senate: Prefiled and ordered printed; offered 01/11/17 17101755D
10813f38-d357-47bd-9921-9bb0e6c43b9b,2019,HR 252,Commending Richard David Legon.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HR252,House: Presented and laid on Speaker's table 19106271D
c81f9b8c-0718-4e77-9420-117e7815ad8e,2019,SB 816,"Conflict of Interests Act, State and Local Government; disclosure by local government officers.",ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+SB816,Senate: Presented and ordered printed 18103988D
9df99f7d-a249-4bbc-9ded-05f19cb288f2,2018,HB 546,Grand larceny; first offender sentence reduction.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?181+ful+HB546,House: Prefiled and ordered printed; offered 01/10/18 18101075D
90f5eb65-537f-45af-9b67-463a7ea54831,2018,SB 867,Stroke care; Department of Health shall be responsible for quality improvement initiatives.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?181+ful+SB867ER,Senate: Bill text as passed Senate and House (SB867ER)
5966cb9f-1c79-4d1f-8dcc-3fe5ba0c6ced,2017,HJ 831,Commending Andrew Gurowitz.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+HJ831ER,House: Bill text as passed House and Senate (HJ831ER)
e1d47cd9-eedb-46e8-b6f8-0f55b0dd3d1f,2017,HB 1943,Administrative Process Act; economic impact analysis of proposed regulations.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+CHAP0483,Governor: Acts of Assembly Chapter text (CHAP0483)
fd1c169d-6179-4073-8ce1-853274f4f33c,2019,HB 1974,Motor vehicle rental tax; filing returns.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+HB1974,House: Prefiled and ordered printed; offered 01/09/19 19100008D
d3353715-0ab8-4fd9-b7f6-b6ca77409b17,2017,SB 1147,Companion animals; changes penalty to Class 6 felony for cruelty to animals.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+SB1147,Senate: Prefiled and ordered printed; offered 01/11/17 17102430D
68450344-4345-4357-a83b-581a92f35f0e,2017,SB 1408,Step therapy protocols; disclosures.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+SB1408S1,Senate: Committee substitute printed to LIS only 17104550D-S1
40c6f660-cc4f-4271-811e-79ce57d6988e,2018,HB 1124,"Service and Volunteerism, Advisory Board on; membership terms, repeals sunset provision.",ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?181+ful+HB1124ER,House: Bill text as passed House and Senate (HB1124ER)
f12e95ba-6cbc-4773-8721-5fdd291d6ec6,2018,HB 1539,Mass transit; establishing various Funds to improve transportation.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?181+ful+HB1539S1,Senate: Committee substitute printed 18107698D-S1
2a42ed76-905b-4cb9-b717-f45dc56b385d,2018,SB 381,"School buses; passing while stopped, injury to another person, penalty.",ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?181+ful+SB381S1,Senate: Committee substitute printed 18105822D-S1
53c67b63-c05c-444e-96e9-9c560b30e846,2018,HJ 476,Celebrating the life of Patrick William McDonough.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?181+ful+HJ476,House: Presented and laid on Speaker's table 18107447D
ee52e82c-c1ac-4b61-a4f6-ba1f54f259f8,2019,SB 1368,"Virginia College Savings Plan; prepaid tuition contracts, pricing reserves.",ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+SB1368ER,Senate: Bill text as passed Senate and House (SB1368ER)
f98f0240-97c2-4585-8c43-5e62dc552af5,2019,SB 1289,"Pharmacy, Board of; seizure of controlled substances and prescription devices.",ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?191+ful+SB1289,Senate: Prefiled and ordered printed; offered 01/09/19 19101806D
90fa099d-4a08-47e1-9bc4-8a95ab8e3818,2017,SB 960,Absentee ballots; expediting counting of absentee ballots returned by mail prior to election day.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+CHAP0275,Governor: Acts of Assembly Chapter text (CHAP0275)
31e8c2fe-1f63-4045-87f3-51d93e102602,2017,HJ 687,Commending the Rappahannock Emergency Medical Services Council.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+HJ687ER,House: Bill text as passed House and Senate (HJ687ER)
b5be535e-b653-4f9d-8d33-eb1f10df7791,2017,HB 2336,Law-enforcement officer; report of officer involved in accident.,ocd-jurisdiction/country:us/state:va/government,text/html,http://lis.virginia.gov/cgi-bin/legp604.exe?171+ful+HB2336ER2,House: Reenrolled bill text (HB2336ER2)
