id,session,identifier,title,jurisdiction_id,media_type,url,note
1884bb3e-1d59-4324-b109-a6f3741d988a,2019-2020,H 216,An act relating to authorizing the use of crossbows to take deer,ocd-jurisdiction/country:us/state:vt/government,application/pdf,https://legislature.vermont.gov/Documents/2020/Docs/BILLS/H-0216/H-0216%20As%20Introduced.pdf,As Introduced
baa9d3c5-a390-4a9f-b848-3cbb2de69d3c,2019-2020,H 340,An act relating to the dissolution of the State Board of Education,ocd-jurisdiction/country:us/state:vt/government,application/pdf,https://legislature.vermont.gov/Documents/2020/Docs/BILLS/H-0340/H-0340%20As%20Introduced.pdf,As Introduced
7d2f4352-9312-413c-bc5b-724f91fc58d1,2019-2020,H 376,An act relating to creating the Public Safety Dispatch Study Committee,ocd-jurisdiction/country:us/state:vt/government,application/pdf,https://legislature.vermont.gov/Documents/2020/Docs/BILLS/H-0376/H-0376%20As%20Introduced.pdf,As Introduced
543d0559-50ba-4185-aed8-3acefe0631b1,2019-2020,S 155,An act relating to possession of large capacity ammunition feeding devices by out-of-state law enforcement officers,ocd-jurisdiction/country:us/state:vt/government,application/pdf,https://legislature.vermont.gov/Documents/2020/Docs/BILLS/S-0155/S-0155%20As%20Introduced.pdf,As Introduced
9cd30386-3adb-4f64-ba94-5d35fcf2bd34,2019-2020,HCR 49,House concurrent resolution congratulating the 2018 Harwood Union High School Highlanders Division II championship boys’ lacrosse team,ocd-jurisdiction/country:us/state:vt/government,application/pdf,https://legislature.vermont.gov/Documents/2020/Docs/ACTS/ACTR061/ACTR061%20As%20Adopted.pdf,As Adopted
e850e669-20da-47e7-980a-2053e7979910,2019-2020,H 82,An act relating to the taxation of timber harvesting equipment,ocd-jurisdiction/country:us/state:vt/government,application/pdf,https://legislature.vermont.gov/Documents/2020/Docs/BILLS/H-0082/H-0082%20As%20Passed%20by%20the%20House%20Unofficial.pdf,Unofficial
e850e669-20da-47e7-980a-2053e7979910,2019-2020,H 82,An act relating to the taxation of timber harvesting equipment,ocd-jurisdiction/country:us/state:vt/government,application/pdf,https://legislature.vermont.gov/Documents/2020/Docs/BILLS/H-0082/H-0082%20As%20Passed%20by%20Both%20House%20and%20Senate%20Unofficial.pdf,Unofficial
56c7e317-78e4-45b3-a499-38f9ad7754f3,2019-2020,S 158,An act relating to consumer protection and repairing goods under warranty,ocd-jurisdiction/country:us/state:vt/government,application/pdf,https://legislature.vermont.gov/Documents/2020/Docs/BILLS/S-0158/S-0158%20As%20Introduced.pdf,As Introduced
14a7ce2a-c4a7-4140-9ca3-bd1840d0fb0d,2019-2020,H 337,An act relating to energy transformation projects under the Renewable Energy Standard,ocd-jurisdiction/country:us/state:vt/government,application/pdf,https://legislature.vermont.gov/Documents/2020/Docs/BILLS/H-0337/H-0337%20As%20Introduced.pdf,As Introduced
734bf3a1-9a91-4f13-aed7-0dc4d6dc809f,2019-2020,H 521,An act relating to amending the special education laws,ocd-jurisdiction/country:us/state:vt/government,application/pdf,https://legislature.vermont.gov/Documents/2020/Docs/BILLS/H-0521/H-0521%20As%20Passed%20by%20the%20House%20Official.pdf,Official
734bf3a1-9a91-4f13-aed7-0dc4d6dc809f,2019-2020,H 521,An act relating to amending the special education laws,ocd-jurisdiction/country:us/state:vt/government,application/pdf,https://legislature.vermont.gov/Documents/2020/Docs/BILLS/H-0521/H-0521%20Senate%20Proposal%20of%20Amendment%20Official.pdf,Official
3f4bf649-0223-46d7-a170-e36f4bc0e905,2019-2020,S 14,An act relating to extending the moratorium on home health agency certificates of need,ocd-jurisdiction/country:us/state:vt/government,application/pdf,https://legislature.vermont.gov/Documents/2020/Docs/BILLS/S-0014/S-0014%20As%20Passed%20by%20the%20Senate%20Unofficial.pdf,Unofficial
3f4bf649-0223-46d7-a170-e36f4bc0e905,2019-2020,S 14,An act relating to extending the moratorium on home health agency certificates of need,ocd-jurisdiction/country:us/state:vt/government,application/pdf,https://legislature.vermont.gov/Documents/2020/Docs/BILLS/S-0014/S-0014%20As%20Passed%20by%20Both%20House%20and%20Senate%20Unofficial.pdf,Unofficial
1b398f08-5b79-41a4-b1fa-d01ebb38e9c2,2019-2020,S 30,An act relating to the regulation of hydrofluorocarbons,ocd-jurisdiction/country:us/state:vt/government,application/pdf,https://legislature.vermont.gov/Documents/2020/Docs/BILLS/S-0030/S-0030%20As%20Introduced.pdf,As Introduced
84c58c9f-cd58-4388-9c61-16ef52151358,2019-2020,H 75,An act relating to household products containing hazardous substances,ocd-jurisdiction/country:us/state:vt/government,application/pdf,https://legislature.vermont.gov/Documents/2020/Docs/BILLS/H-0075/H-0075%20As%20Introduced.pdf,As Introduced
66a6e9bb-cfae-4dd7-babb-902a0660d3dd,2019-2020,S 59,An act relating to the creation of the Sports Betting Study Committee,ocd-jurisdiction/country:us/state:vt/government,application/pdf,https://legislature.vermont.gov/Documents/2020/Docs/BILLS/S-0059/S-0059%20As%20Introduced.pdf,As Introduced
