id,session,identifier,title,name,classification,jurisdiction_id,date,note,media_type,url
ocd-bill/f5161221-ca0f-443a-9cbd-877ca4fc7ed2,22,B 22-0763,Southwest Waterfront Exemption Temporary Amendment Act of 2018,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,SignedAct,application/pdf,http://lims.dccouncil.us/Download/39978/B22-0763-SignedAct.pdf
ocd-bill/11fa9aaa-e447-445c-b18b-92d1b46caee9,22,B 22-0027,Public School Health Services Amendment Act of 2017,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Introduction,application/pdf,http://lims.dccouncil.us/Download/37183/B22-0027-Introduction.pdf
ocd-bill/9c68cf5d-8611-4e2c-8b74-e0e3bf2ae134,22,PR 22-0986,Modifications to Contract No. CW56663 Approval and Payment Authorization Emergency Declaration Resolution of 2018,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Enrollment,application/pdf,http://lims.dccouncil.us/Download/40864/PR22-0986-Enrollment.pdf
ocd-bill/05574277-f68c-4684-98e6-56dc286bf81a,22,PR 22-0026,Board of Barber and Cosmetology Mr. Jared Scott Confirmation Resolution of 2016,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Introduction,application/pdf,http://lims.dccouncil.us/Download/37109/PR22-0026-Introduction.pdf
ocd-bill/fffbba11-e124-4548-8708-e024e6025eb8,22,B 22-0296,"Change Order Nos. 008 and 009 to Contract No. DCAM-14-CS-0074 with MCN Build, Inc. Approval and Payment Authorization Emergency Act of 2017",Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Introduction,application/pdf,http://lims.dccouncil.us/Download/38211/B22-0296-Introduction.pdf
ocd-bill/e3ae1e76-1647-4561-9faa-bfdaa720642f,22,B 22-0346,Charles Hamilton Houston and Other Diverse Washingtonians Commemorative Works Amendment Act of 2017,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Introduction,application/pdf,http://lims.dccouncil.us/Download/38426/B22-0346-Introduction.pdf
ocd-bill/ea3f6e05-7b4f-4e96-8038-9b5d83c3178e,22,B 22-0162,Advisory Neighborhood Commission Transfer Authorization Emergency Act of 2017,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Introduction,application/pdf,http://lims.dccouncil.us/Download/37583/B22-0162-Introduction.pdf
ocd-bill/ce1278c2-cec0-4ea9-8d5a-64542d9f6f1c,22,REPROG 22-0010,"Request to reprogram $1,250,000 of Special Purpose Revenue Funds Budget Authority within the Department of Energy and Environment ",Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Introduction,application/pdf,http://lims.dccouncil.us/Download/37384/REPROG22-0010-Introduction.pdf
ocd-bill/9fb97be7-4c62-425f-9cfd-3cf0f5a1b256,22,CER 22-0007,Loretta Carter Haynes Ceremonial Recognition Resolution of 2017,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Introduction,application/pdf,http://lims.dccouncil.us/Download/37226/CER22-0007-Introduction.pdf
ocd-bill/35a8f288-5c87-4810-9663-a5b62c69abf3,22,AU 22-0017,Fiscal Year 2016 Annual Report on Advisory Neighborhood Commissions,Council of the District of Columbia,legislature,ocd-jurisdiction/country:us/district:dc/government,,Introduction,application/pdf,http://lims.dccouncil.us/Download/38624/AU22-0017-Introduction.pdf
